timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
3388000,3388000,1310988,-0.00033764116,-0.00052460155,-0.00040664687,0.34906584,2.0545693e-05,2.0545647e-05,9.0519677e-07,1310988,0.0,0.0,0.0010442223,0.4,0.00039533066,0.00039533066,0.00035663974,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
3528000,3528000,1310988,-0.00020065861,-0.0006498164,-0.00042308436,0.34906584,1.5172402e-05,1.5172387e-05,7.652795e-07,1310988,0.0,0.0,0.0020459583,0.4,0.000395989,0.000395989,0.00034992833,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
4016000,4016000,1310988,-1.7686285e-06,-0.00087025744,-0.00040767284,0.34906584,7.682642e-06,7.6826545e-06,4.5285316e-07,1310988,0.0,0.0,0.003238043,0.4,0.0003969004,0.0003969004,0.00031636952,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
4456000,4456000,1310988,6.608188e-05,-0.0010623592,-0.00037832872,0.34906584,2.7085139e-06,2.7085314e-06,3.650248e-07,1310988,0.0,0.0,0.0046440098,0.4,0.00039786022,0.00039786022,0.00028315332,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
4896000,4896000,1310988,3.7898965e-07,-0.0010155878,-0.00036436826,0.34906584,1.8074566e-06,1.8074746e-06,3.6538464e-07,1310988,0.0,0.0,0.0059802984,0.4,0.00039847958,0.00039847958,0.00024915638,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
5148000,5148000,1310988,-2.6390238e-05,-0.0009793898,-0.0003743431,0.34906584,1.6649925e-06,1.6650102e-06,3.660127e-07,1310988,0.0,0.0,0.0070413314,0.4,0.0003995281,0.0003995281,0.00023082188,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
5588000,5588000,1310988,-4.709293e-05,-0.000935916,-0.00037489564,0.34906584,1.6080398e-06,1.6080568e-06,3.6510542e-07,1310988,0.0,0.0,0.008133755,0.4,0.00039984,0.00039984,0.00019986725,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
6008000,6008000,1310988,-4.3370062e-05,-0.00092874386,-0.0003728146,0.34906584,1.6031345e-06,1.6031508e-06,3.6324406e-07,1310988,0.0,0.0,0.009528199,0.4,0.00040003337,0.00040003337,0.00017969184,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
6728000,6728000,1310988,-4.997761e-05,-0.0008635043,-0.00034318608,0.34906584,1.567071e-06,1.5670851e-06,3.5715547e-07,1310988,0.0,0.0,0.010673996,0.4,0.0004002231,0.0004002231,0.000156036,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
6976000,6976000,1310988,-3.8736744e-05,-0.0007113442,-0.0003093078,0.34906584,1.4669362e-06,1.4669458e-06,3.5350928e-07,1310988,0.0,0.0,0.0117794825,0.4,0.0003994594,0.0003994594,0.00014351094,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
