timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
1000000,106.24707,131.4939,0,1,7577,1024000,0,3,253
2000000,161.02051,89.06002,0,55,6946,1024000,0,3,253
3000000,210.19629,74.85623,0,114,10217,1024000,0,3,253
4000000,266.13965,69.88961,0,173,7749,1024000,0,3,253
5000000,321.68555,66.90631,0,232,9835,1024000,0,3,253
6000000,383.48828,66.027596,0,288,7379,1024000,0,3,253
7000000,443.88672,65.20075,0,344,8226,1024000,0,3,253
8000000,507.91016,65.049965,0,394,8005,1024000,0,3,253
9000000,570.0156,64.71567,0,444,8227,1024000,0,3,253
10000000,631.8594,64.42286,0,502,8423,1024000,0,3,253
11000000,694.49805,64.257774,0,566,7847,1024000,0,3,253
12000000,752.9414,63.76536,0,626,11050,1024000,0,3,253
13000000,813.1826,63.490208,0,686,11528,1024000,0,3,253
14000000,878.26855,63.605774,0,739,7714,1024000,0,3,253
15000000,935.7783,63.194103,0,797,11021,1024000,0,3,253
16000000,999.7158,63.241135,0,855,7764,1024000,0,3,253
17000000,1058.0029,62.946392,0,915,10942,1024000,0,3,253
18000000,1118.8926,62.830894,0,976,11045,1024000,0,3,253
19000000,1180.5068,62.76621,0,1037,10927,1024000,0,3,253
20000000,1242.209,62.71249,0,1096,10303,1024000,0,3,253
21000000,1306.9961,62.81219,0,1154,7113,1024000,0,3,253
22000000,1369.1631,62.782608,0,1209,7216,1024000,0,3,253
23000000,1430.291,62.71006,0,1265,7626,1024000,0,3,253
24000000,1492.7197,62.698242,0,1324,7216,1024000,0,3,253
25000000,1554.001,62.641125,0,1384,7037,1024000,0,3,253
26000000,1615.2402,62.586803,0,1442,7435,1024000,0,3,253
27000000,1676.5947,62.540833,0,1495,7497,1024000,0,3,253
28000000,1737.9258,62.49733,0,1549,7125,1024000,0,3,253
29000000,1798.9092,62.44478,0,1613,7166,1024000,0,3,253
30000000,1860.4062,62.412987,0,1666,7254,1024000,0,3,253
31000000,1922.544,62.404053,0,1719,7216,1024000,0,3,253
32000000,1983.748,62.366325,0,1779,7254,1024000,0,3,253
33000000,2045.9424,62.361084,0,1835,7216,1024000,0,3,253
34000000,2107.086,62.32507,0,1894,7316,1024000,0,3,253
35000000,2165.2842,62.20651,0,1946,10609,1024000,0,3,253
36000000,2225.7852,62.15888,0,2005,10659,1024000,0,3,253
37000000,2285.8164,62.101074,0,2063,10813,1024000,0,3,253
38000000,2346.2686,62.057465,0,2124,10763,1024000,0,3,253
39000000,2406.9639,62.022366,0,2178,10668,1024000,0,3,253
40000000,2470.8848,62.070057,0,2237,7216,1024000,0,3,253
41000000,2527.6914,61.94108,0,2300,10223,1024000,0,3,253
42000000,2587.1895,61.88264,0,2355,10730,1024000,0,3,253
43000000,2647.7012,61.850616,0,2414,10863,1024000,0,3,253
44000000,2711.7627,61.901085,0,2464,7257,1024000,0,3,253
45000000,2772.5137,61.87542,0,2521,7166,1024000,0,3,253
46000000,2829.3682,61.76581,0,2579,10734,1024000,0,3,253
47000000,2889.4688,61.730232,0,2637,10834,1024000,0,3,253
48000000,2949.7588,61.700108,0,2698,10784,1024000,0,3,253
49000000,3012.8613,61.728844,0,2751,7650,1024000,0,3,253
50000000,3071.0527,61.65782,0,2810,9849,1024000,0,3,253
51000000,3130.1025,61.60649,0,2871,10875,1024000,0,3,253
52000000,3190.5771,61.58464,0,2926,10886,1024000,0,3,253
53000000,3251.2598,61.56756,0,2981,10824,1024000,0,3,253
54000000,3311.1807,61.536957,0,3041,11032,1024000,0,3,253
