timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
704000,696000,0,nan,nan,1.0084342e-06,2.371627e-06,-7.574307e-09,0.0,0.0,0.0,0.00033095776,0.0006344873,-3.4930727e-05,-3.31422e-05,0.00020649766,0.0006570936,0.0,0.034584116,0.0009991085,-0.013154994,1.5767654,1.5767846,nan,0.10000233,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
708000,708000,0,nan,nan,9.5159685e-06,7.4766394e-06,1.1320241e-06,0.0,0.0,0.0,0.0010608672,0.00025802912,0.00034507632,0.00035095727,0.00020649766,0.0006570936,0.0,0.045986198,-0.01588445,0.050282042,1.5768028,1.5767846,nan,0.10000925,0.7097526,3.5000114,7.071086,0.45004502,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
804000,804000,0,nan,nan,0.00014251654,0.00011200749,-0.00150724,0.0,0.0,0.0,0.002224088,0.002230561,7.862995e-05,-0.0013613545,0.00020649766,0.0006570936,0.0,0.034015987,0.02734453,0.006027456,1.5766555,1.5767846,nan,0.1,0.9506727,2.4750466,7.0723777,0.45057112,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
900000,900000,0,nan,nan,0.0004025432,0.00040968513,-0.0022234889,0.0,0.0,0.0,0.0035844487,0.0029651406,0.0022224078,9.0385685e-05,0.00020649766,0.0006570936,0.0,0.055656116,0.01634924,0.11018004,1.5766335,1.5767846,nan,0.1,0.6306471,1.7504698,4.5242977,0.45162296,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
996000,996000,0,nan,nan,0.0008065057,0.00069727947,-0.00611603,0.0,0.0,0.0,0.0043389127,0.0026740727,0.0032826178,-0.0027806952,0.00020649766,0.0006570936,0.0,-0.005218528,-0.063577056,0.025061825,1.5764977,1.5767846,nan,0.1,0.8984904,1.5665957,4.5309806,0.45323646,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1104000,1104000,1000000,47.3977419,8.5455939,0.0013281486,0.0009960786,-0.0059353486,0.0,0.0,0.0,0.0070225364,0.0036056107,0.005200947,-0.00053753296,0.00020649766,0.0006570936,0.0,0.07408984,-0.02101997,0.06228492,1.5763868,1.5767846,488.03333,0.10404584,0.14053638,1.3253765,1.8749192,0.455576,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1200000,1200000,1000000,47.3977419,8.5455939,0.0018762011,0.0010836564,-0.003976444,0.0,0.0,0.0,0.008522843,0.0031356178,0.008084937,0.004093853,0.00020649766,0.0006570936,0.0,0.016840989,-0.008089907,0.021556327,1.5765203,1.5767846,488.03333,0.10617049,0.23005188,1.1704577,1.8974308,0.45808038,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1300000,1300000,1000000,47.3977419,8.5455939,0.0024647238,0.0011815665,0.0001963873,0.0,0.0,0.0,0.008265161,0.0032487018,0.00782551,0.007500564,0.00020649766,0.0006570936,0.0,0.043608475,0.01942177,-0.03823644,1.5766526,1.5767846,488.03333,0.10982185,0.38218313,1.1136287,1.9340625,0.46166483,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1400000,1400000,1000000,47.3977419,8.5455939,0.0028263824,0.0011263035,0.0075564645,0.0,0.0,0.0,0.011120852,0.002753086,0.008776115,0.01481123,0.00020649766,0.0006570936,0.0,0.020460963,0.029105568,0.039587665,1.5766997,1.5767846,488.03333,0.1111778,0.19865617,1.0207403,0.96745867,0.46604744,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1500000,1500000,1000000,47.3977419,8.5455939,0.0033904477,0.0011169821,0.010949679,0.0,0.0,0.0,0.011931062,0.0023630823,0.011097189,0.018896857,0.00020649766,0.0006570936,0.0,-0.029693319,-0.07718458,0.03584561,1.5766968,1.5767846,488.03333,0.10263931,0.28724548,0.950096,1.0422248,0.47086743,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
