timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
500000,500000,1311004,1311004,9.717948e-06,2.4776373e-05,2.06175e-05,-0.0003042667,-6.0765356e-05,-0.039219055,4000,4000,0,0
1000000,1000000,1311004,1311004,-6.685605e-07,2.1115493e-06,3.9957554e-06,-9.2747075e-07,-6.155951e-05,-0.039198317,4000,4000,0,0
1496000,1496000,1311004,1311004,8.4554285e-06,1.8907658e-05,6.519993e-06,-0.00022470807,0.000100740996,-0.039009284,4000,4000,0,0
2000000,2000000,1311004,1311004,-3.8757867e-06,-2.2437284e-06,1.9706922e-05,0.00020791093,-9.393881e-05,-0.039207347,4000,4000,0,0
2496000,2496000,1311004,1311004,-1.3965218e-06,3.2852122e-06,2.4847177e-06,3.3761753e-05,6.6828485e-05,-0.0391114,4000,4000,0,0
3000000,3000000,1311004,1311004,-1.9304346e-06,-1.4366292e-05,8.628193e-06,-0.00023718586,-1.0770111e-05,-0.039435394,4000,4000,0,0
3500000,3500000,1311004,1311004,1.1373298e-05,-7.780519e-06,-5.5236496e-06,0.00023587327,-0.00010743245,-0.039021097,4000,4000,0,0
4000000,4000000,1311004,1311004,-1.3085068e-05,2.9968814e-06,-4.119376e-05,-0.00016645697,-9.325193e-05,-0.038983025,4000,4000,0,0
4500000,4500000,1311004,1311004,-2.9063888e-06,2.5166025e-07,7.2444063e-06,-7.755503e-06,-0.00049491157,-0.03940073,4000,4000,0,0
5000000,5000000,1311004,1311004,8.809318e-06,9.014502e-06,8.523316e-06,0.00016971718,-0.0005509315,-0.03929303,4000,4000,0,0
5496000,5496000,1311004,1311004,-1.2532855e-05,4.774683e-06,-1.51715185e-05,0.0001684151,-0.00040972728,-0.0391281,4000,4000,0,0
6000000,6000000,1311004,1311004,9.561328e-07,3.3746994e-05,1.122435e-05,0.00014416709,-0.00012829088,-0.039025914,4000,4000,0,0
6500000,6500000,1311004,1311004,-1.3035544e-05,2.5296516e-05,-1.3070914e-05,0.00021040974,-0.00040114688,-0.03898632,4000,4000,0,0
7000000,7000000,1311004,1311004,-4.0950763e-06,-1.6801405e-05,3.3985016e-05,-5.0644976e-05,-0.00053714303,-0.039265677,4000,4000,0,0
7500000,7500000,1311004,1311004,4.238759e-06,-6.020077e-06,1.681235e-05,9.022227e-05,-0.00041079623,-0.039150935,4000,4000,0,0
8000000,8000000,1311004,1311004,2.7071435e-06,1.5908252e-05,1.0420706e-05,9.707849e-05,-0.00060704694,-0.039254412,4000,4000,0,0
8500000,8500000,1311004,1311004,8.490493e-06,-1.666495e-05,-1.3756935e-05,0.00028155273,-0.00043184514,-0.03919175,4000,4000,0,0
9000000,9000000,1311004,1311004,-1.9060983e-05,2.3283796e-05,3.6907882e-06,9.9375095e-05,-0.00015101832,-0.038912743,4000,4000,0,0
9500000,9500000,1311004,1311004,9.65291e-06,-8.004518e-06,-2.2800421e-05,-0.000120695055,-0.00040593525,-0.039032906,4000,4000,0,0
9996000,9996000,1311004,1311004,-1.6006355e-06,-5.466908e-06,2.5978528e-05,-9.010597e-05,-0.00025128163,-0.039002556,4000,4000,0,0
10500000,10500000,1311004,1311004,6.0471375e-06,-4.46547e-06,2.1184464e-05,7.2740215e-07,-0.0006668136,-0.038916305,4000,4000,0,0
11000000,11000000,1311004,1311004,3.087422e-05,-6.1018786e-06,1.2552453e-05,0.00019843903,-0.00047285313,-0.038807824,4000,4000,0,0
11500000,11500000,1311004,1311004,-4.761629e-06,-5.1669663e-06,-1.7077955e-05,4.0099538e-05,-0.00050221704,-0.03918705,4000,4000,0,0
12000000,12000000,1311004,1311004,-4.103576e-06,1.43498e-05,1.5259714e-06,-0.00010962992,-0.00050796795,-0.0388423,4000,4000,0,0
12500000,12500000,1311004,1311004,1.5672427e-06,-1.2407166e-05,8.037918e-06,0.00020956027,-0.00035427642,-0.03892022,4000,4000,0,0
13000000,13000000,1311004,1311004,2.8636446e-06,-1.0596714e-05,6.1262836e-06,-0.00019681637,-0.00013559054,-0.039006583,4000,4000,0,0
13500000,13500000,1311004,1311004,8.804896e-06,8.276823e-06,-3.1092284e-07,0.00010150674,-0.00045230828,-0.038945016,4000,4000,0,0
14000000,14000000,1311004,1311004,1.0070735e-06,-1.1587891e-05,-1.4903381e-05,0.00012865185,-0.0005650991,-0.03875487,4000,4000,0,0
14500000,14500000,1311004,1311004,1.774344e-05,-1.9548195e-05,2.578095e-05,-0.0003200625,-0.00044070333,-0.03888604,4000,4000,0,0
15000000,15000000,1311004,1311004,-3.0991065e-05,-1.195448e-05,1.4645147e-05,0.00013737976,-0.00019789056,-0.039016433,4000,4000,0,0
15500000,15500000,1311004,1311004,1.3190302e-05,1.0479076e-05,7.509135e-06,0.00018564219,-0.00041536812,-0.03882866,4000,4000,0,0
