timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
696000,696000,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.27000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996000,996000,0.0,0.0,0.0,1.222085,1.222085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.315935,0.0,0.0,nan,0.0,0.0,0.25696415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500000,1500000,0.0,0.0,0.0,0.09754526,0.09754526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.225925,0.0,0.0,nan,0.0,0.0,0.010508465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000000,2000000,0.0,0.0,0.0,0.038464896,0.038464904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.930264,0.0,0.0,nan,0.0,0.0,0.010374457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500000,2500000,0.0,0.0,0.0,0.038903173,0.038903076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.862785,0.0,0.0,nan,0.0,0.0,0.010264813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000000,3000000,0.0,0.0,0.0,0.031825118,0.031825047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.880465,0.0,0.0,nan,0.0,0.0,0.010201399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500000,3500000,0.0,0.0,0.0,0.02945472,0.02945469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.938919,0.0,0.0,nan,0.0,0.0,0.0101619195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000000,4000000,0.0,0.0,0.0,0.027707085,0.027707074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.990268,0.0,0.0,nan,0.0,0.0,0.010135304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500000,4500000,0.0,0.0,0.0,0.023888472,0.023888469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.029952,0.0,0.0,nan,0.0,0.0,0.09476613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000000,5000000,0.0,0.0,0.0,0.020739084,0.02073912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.040161,0.0,0.0,nan,0.0,0.0,0.09215658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5500000,5500000,0.0,0.0,0.0,0.021761557,0.021761626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.03425,0.0,0.0,nan,0.0,0.0,0.09140594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000000,6000000,0.13285017,0.13285005,0.25338638,1.5042278,1.5042278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.833035,0.0,0.0,nan,0.0,0.0,0.091069944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6500000,6500000,0.13364863,0.13364823,0.24962649,1.3426955,1.3426955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.691598,0.0,0.0,nan,0.0,0.0,0.09087307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000000,7000000,0.14224803,0.14224717,0.24903879,1.2644849,1.2644848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.625257,0.0,0.0,nan,0.0,0.0,0.09075396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7500000,7500000,0.15226386,0.15226276,0.25027442,1.219659,1.2196589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.588904,0.0,0.0,nan,0.0,0.0,0.09068226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000000,8000000,0.1623402,0.16233948,0.25273624,1.1725262,1.1725262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.568955,0.0,0.0,nan,0.0,0.0,0.09063587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8500000,8500000,0.16237962,0.16237856,0.25339866,1.159343,1.159343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.534263,0.0,0.0,nan,0.0,0.0,0.09060804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000000,9000000,0.16083524,0.16083455,0.25335562,1.149887,1.149887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5280485,0.0,0.0,nan,0.0,0.0,0.090590924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9500000,9500000,0.158529,0.15852863,0.25218728,1.1429713,1.1429713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.527044,0.0,0.0,nan,0.0,0.0,0.09058374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000000,10000000,0.15331514,0.15331465,0.24952446,1.1339926,1.1339926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.503521,0.0,0.0,nan,0.0,0.0,0.090579025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
