timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
700000,700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000,1000000,0.0,0.0,0.0,0.00016396772,0.0003267184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06347656,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492000,1492000,0.0,0.0,0.0,0.0006312222,0.0007370989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020019531,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992000,1992000,0.0,0.0,0.0,0.00260218,0.0019218137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026245117,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2492000,2492000,0.0,0.0,0.0,0.002831204,0.0020040553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024353027,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2992000,2992000,0.0,0.0,0.0,7.688453e-05,0.0022156478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024291992,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3492000,3492000,0.0,0.0,0.0,-0.0011296349,0.0019404832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099731445,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3992000,3992000,0.0,0.0,0.0,-0.0019395016,0.0017987052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013580322,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4492000,4492000,0.0,0.0,0.0,-0.0016564056,0.0016523531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09222412,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4992000,4992000,0.0,0.0,0.0,0.004493369,0.0005065108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032287598,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5492000,5492000,0.0,0.0,0.0,0.012530959,-0.0009937276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084106445,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5992000,5992000,0.0,0.0,0.0,0.017915228,-0.0027265053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007232666,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6492000,6492000,0.0,0.0,0.0,0.016168652,-0.0040168483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06185913,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6992000,6992000,0.0,0.0,0.0,0.008419713,-0.0076710633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095458984,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7492000,7492000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049804688,0.0,0.0,nan,0.0,0.0,-0.009450436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7992000,7992000,-0.010177671,-0.012067585,0.00924304,-0.0015543466,-0.0022719372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0099487305,0.0,0.0,nan,0.0,0.0,0.004827857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8492000,8492000,-0.019875664,-0.02633177,0.033379838,-0.01450154,-0.013090117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020446777,0.0,0.0,nan,0.0,0.0,-0.014782071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8992000,8992000,-0.023417218,-0.022083003,0.025072902,-0.0131772,-0.011215587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023376465,0.0,0.0,nan,0.0,0.0,0.0056883097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9492000,9492000,-0.028114432,-0.020176547,0.020838214,-0.011939294,-0.0014952766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008605957,0.0,0.0,nan,0.0,0.0,-0.0020742416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9992000,9992000,-0.026199201,-0.008313473,0.03546446,0.0014375737,-0.008971936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033843994,0.0,0.0,nan,0.0,0.0,-0.001434803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
