timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
696000,696000,0,nan,nan,1.4945127e-06,8.888815e-07,2.135549e-08,0.0,0.0,0.0,0.0004466895,0.00023170745,-2.4748406e-05,-2.2775263e-05,0.00035822816,0.00025354445,0.0,0.026797507,-0.003030502,-0.011060449,1.5781716,1.5781974,nan,0.10000262,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
996000,996000,0,nan,nan,0.00072823104,0.00078461994,-0.006395533,0.0,0.0,0.0,0.0037980957,0.0033090913,0.0025059222,-0.0037032468,0.00035822816,0.00025354445,0.0,0.00037298334,-0.049653497,0.06971036,1.5779128,1.5781974,nan,0.1,0.89849055,1.5665957,4.5309825,0.45323652,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1496000,1496000,1200000,47.397742,8.545594,0.0037783827,0.0019742493,0.009418234,0.0,0.0,0.0,0.012796515,0.0050302683,0.008783137,0.016303498,0.00035822816,0.00025354445,0.0,-0.022659538,-0.049846638,0.054310013,1.5780452,1.5781974,488.0455,0.103165075,0.6504668,0.94934696,1.8228832,0.47027948,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1996000,1996000,1200000,47.397742,8.545594,0.006291711,0.0018287316,0.012741338,0.0,0.0,0.0,0.014068209,0.0024644195,0.0122714145,0.014689751,0.00035822816,0.00025354445,0.0,0.009685806,0.09545965,-0.09092136,1.5781026,1.5781974,488.0455,0.1,0.5568365,0.82244,1.1384676,0.5022371,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2496000,2496000,1200000,47.397742,8.545594,0.005642502,0.0021299976,0.012949503,0.0,0.0,0.0,0.0073665483,0.0065022847,0.017784642,0.013104722,0.00035822816,0.00025354445,0.0,-0.055026352,0.03420405,0.028270232,1.5777396,1.5781974,488.0455,0.1,0.641233,0.77958304,1.4961159,0.5356599,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2996000,2996000,1200000,47.397742,8.545594,0.0009306155,0.0031663037,0.025003085,0.0,0.0,0.0,-0.00017337973,0.008444926,0.025693266,0.023242384,0.00035822816,0.00025354445,0.0,0.0019940955,-0.031604834,-0.011562432,1.5773767,1.5781974,488.0455,0.1,0.5253204,0.7928574,1.2723169,0.56107944,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3496000,3496000,1200000,47.397742,8.545594,-0.0035047557,0.0035075478,0.0340754,0.0,0.0,0.0,-0.009319363,0.008488604,0.030194933,0.02445813,0.00035822816,0.00025354445,0.0,0.025239445,0.0077731907,0.012503874,1.577448,1.5781974,488.0455,0.1,0.60006726,0.8252498,1.250992,0.5718376,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3996000,3996000,1200000,47.397742,8.545594,-0.006176581,0.0037902512,0.032491244,0.0,0.0,0.0,-0.013221197,0.011911745,0.027336478,0.012560931,0.00035822816,0.00025354445,0.0,-0.012675154,0.044277985,0.022397311,1.577456,1.5781974,488.0455,0.1,0.66125363,0.8541824,1.2213768,0.56726414,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4496000,4496000,1200000,47.397742,8.545594,-0.0055839187,0.0033148753,0.03309981,0.0,0.0,0.0,-0.0023701647,0.0043541985,0.032517355,0.012762758,0.00035822816,0.00025354445,0.0,0.03487056,-0.0530612,0.047803793,1.5775336,1.5781974,488.0455,0.1,0.5161082,0.8713428,0.9568581,0.5516998,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4996000,4996000,1200000,47.397742,8.545594,0.0071245185,-1.937471e-06,0.03366478,0.0,0.0,0.0,0.032780662,-0.0020583367,0.029707626,0.007035372,0.00035822816,0.00025354445,0.0,0.06936277,0.06568403,-0.04427141,1.5772262,1.5781974,488.0455,0.1,0.5696747,0.87607896,0.9734678,0.52987474,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
5496000,5496000,1200000,47.397742,8.545594,0.023120303,-0.0033814812,0.03266756,0.0,0.0,0.0,0.05369024,-0.0077589597,0.030868234,0.006118491,0.00035822816,0.00025354445,0.0,0.06337,0.016133908,0.01768482,1.5770383,1.5781974,488.0455,0.1,0.62332666,0.87261134,0.97719526,0.50620747,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
5996000,5996000,1200000,47.397742,8.545594,0.028192421,-0.0055992743,0.031335175,0.0,0.0,0.0,0.048771054,-0.011470496,0.030275594,0.0033883664,0.00035822816,0.00025354445,0.0,-0.009201333,-0.03795868,0.07781659,1.5769578,1.5781974,488.0455,0.1,0.505346,0.864058,0.782736,0.48262483,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6496000,6496000,1200000,47.397742,8.545594,0.023403503,-0.008703628,0.03838489,0.0,0.0,0.0,0.030703379,-0.020736625,0.03584265,0.0128667,0.00035822816,0.00025354445,0.0,-0.03954833,-0.017130349,0.029061856,1.5771042,1.5781974,488.0455,0.1,0.5455994,0.8526995,0.7680386,0.45993692,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6996000,6996000,1200000,47.397742,8.545594,0.011122765,-0.0125305485,0.035930824,0.0,0.0,0.0,0.004161663,-0.024328183,0.03723638,0.0074180854,0.00035822816,0.00025354445,0.0,-0.0019612021,-0.06279365,0.009756472,1.5772054,1.5781974,488.0455,0.1,0.4510665,0.8404261,0.6172009,0.43856284,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
7496000,7496000,1200000,47.397742,8.545594,-0.009290043,-0.011115274,0.0118157165,-0.005632117,-0.0027353722,0.0,-0.017316634,-0.015670748,0.009219991,-0.026121937,-0.0032320952,0.017627189,-0.03366433,-0.008861554,-0.052507877,0.07714976,1.5686796,-0.012588334,488.0455,0.1,0.8208411,0.70534205,0.27997732,0.20155941,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
7996000,7996000,1200000,47.397742,8.545594,-0.016132655,-0.011485609,0.0064734737,-0.005632117,-0.0027353722,0.0,-0.027677298,-0.02184116,0.01784627,-0.012361649,-0.0032320952,0.017627189,-0.03366433,-0.05679482,0.025298571,-0.0045225653,1.5709203,-0.012588334,488.0455,0.10136289,0.72424823,0.6325708,0.3341508,0.19509791,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
8496000,8496000,1200000,47.397742,8.545594,-0.014626992,-0.012959761,0.011454107,-0.005632117,-0.0027353722,0.0,-0.021309456,-0.025592552,0.02432001,0.0018363475,-0.0032320952,0.017627189,-0.03366433,-0.054822695,-0.059352666,-0.014662804,1.5726931,-0.012588334,488.0455,0.101504065,0.6707575,0.590922,0.36798683,0.19483775,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
8996000,8996000,1200000,47.397742,8.545594,-0.015561403,-0.011249624,0.017649658,-0.005632117,-0.0027353722,0.0,-0.025101101,-0.020108273,0.032747515,0.013254799,-0.0032320952,0.017627189,-0.03366433,-0.02602578,0.045984726,0.04085892,1.573612,-0.012588334,488.0455,0.1,0.64285934,0.56646574,0.3840043,0.19815966,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
9496000,9496000,1200000,47.397742,8.545594,-0.0125860665,-0.0037071041,0.02052867,-0.005632117,-0.0027353722,0.0,-0.026218086,-0.012270673,0.035740457,0.013876165,-0.0032320952,0.017627189,-0.03366433,-0.06447378,-0.004009182,-0.06011507,1.5742849,-0.012588334,488.0455,0.1,0.55269766,0.53413975,0.29498133,0.18603905,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
9996000,9996000,1200000,47.397742,8.545594,-0.008681338,-0.0003743515,0.026979262,-0.005632117,-0.0027353722,0.0,-0.017208658,-0.010833522,0.043322247,0.019871451,-0.0032320952,0.017627189,-0.03366433,-0.045152485,-0.05574048,0.03709079,1.574761,-0.012588334,488.0455,0.1,0.5466898,0.5308625,0.31061408,0.191905,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
10496000,10496000,1200000,47.397742,8.545594,-0.0077038426,-0.0004038715,0.031180007,-0.005632117,-0.0027353722,0.0,-0.017798271,-0.014376143,0.047896486,0.018764803,-0.0032320952,0.017627189,-0.03366433,0.01676495,-0.013777483,0.072940186,1.5750195,-0.012588334,488.0455,0.1,0.54749554,0.5259207,0.32983086,0.19640368,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
10996000,10996000,1200000,47.397742,8.545594,-0.009265507,-0.0030470237,0.030670214,-0.005632117,-0.0027353722,0.0,-0.023116868,-0.018233698,0.051131602,0.01518103,-0.0032320952,0.017627189,-0.03366433,-0.035466198,0.026268326,0.05166878,1.5759642,-0.012588334,488.0455,0.1,0.55386055,0.5240446,0.3519454,0.19991194,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11496000,11496000,1200000,47.397742,8.545594,-0.01015407,-0.0018505859,0.024348626,-0.005632117,-0.0027353722,0.0,-0.023931323,-0.013891858,0.052616615,0.0068057375,-0.0032320952,0.017627189,-0.03366433,0.025974615,0.019949764,-0.010197113,1.5761896,-0.012588334,488.0455,0.1,0.49742576,0.5033542,0.28543928,0.185265,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11996000,11996000,1200000,47.397742,8.545594,-0.007693361,0.0004669082,0.021796826,-0.005632117,-0.0027353722,0.0,-0.0174019,-0.0064590224,0.052251082,0.0037943579,-0.0032320952,0.017627189,-0.03366433,0.027780047,0.012790979,0.07730716,1.5768889,-0.012588334,488.0455,0.1,0.5052765,0.5042006,0.30309197,0.18695314,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12496000,12496000,1200000,47.397742,8.545594,-0.005461073,0.0023455368,0.027705517,-0.005632117,-0.0027353722,0.0,-0.01590103,-0.0032834809,0.061413802,0.016791461,-0.0032320952,0.017627189,-0.03366433,-0.0973928,0.03734286,-0.0066273543,1.5778351,-0.012588334,488.0455,0.1,0.5160824,0.5059028,0.3188771,0.18771085,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12996000,12996000,1200000,47.397742,8.545594,-0.0058917715,0.0024668458,0.036223304,-0.005632117,-0.0027353722,0.0,-0.013768514,0.00026069855,0.067144014,0.023535343,-0.0032320952,0.017627189,-0.03366433,-0.087853305,-0.036123455,0.086508624,1.5781503,-0.012588334,488.0455,0.1,0.5295899,0.50810736,0.3326547,0.18764374,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13496000,13496000,1200000,47.397742,8.545594,-0.0051370454,0.0036502825,0.034339897,-0.005632117,-0.0027353722,0.0,-0.011659682,0.0078023896,0.06591531,0.012815532,-0.0032320952,0.017627189,-0.03366433,-0.006167116,0.050682057,0.03734411,1.5790286,-0.012588334,488.0455,0.1,0.4819301,0.49190322,0.26977515,0.17312819,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13996000,13996000,1200000,47.397742,8.545594,-0.0051813014,0.0039551375,0.034962375,-0.005632117,-0.0027353722,0.0,-0.01040918,0.00940275,0.071119815,0.013500334,-0.0032320952,0.017627189,-0.03366433,-0.033016752,0.075898305,0.0506881,1.5803713,-0.012588334,488.0455,0.1,0.4934,0.49443159,0.27996275,0.17258185,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14496000,14496000,1200000,47.397742,8.545594,-0.004621102,0.0025076866,0.037629023,-0.005632117,-0.0027353722,0.0,-0.012067903,0.009480319,0.08055999,0.019119762,-0.0032320952,0.017627189,-0.03366433,0.03281375,0.025657581,0.043297123,1.5804278,-0.012588334,488.0455,0.1,0.5066578,0.49697617,0.28876433,0.17156923,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14996000,14996000,1200000,47.397742,8.545594,-0.006818478,0.0016989487,0.040105477,-0.005632117,-0.0027353722,0.0,-0.025382478,0.011244518,0.0814504,0.017454127,-0.0032320952,0.017627189,-0.03366433,-0.24182923,0.046205055,0.05488929,1.5807563,-0.012588334,488.0455,0.1,0.5215269,0.49940234,0.29655108,0.17016439,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
15496000,15496000,1200000,47.397742,8.545594,-0.021598408,0.0009957212,0.041909955,-0.005632117,-0.0027353722,0.0,-0.08162987,0.012028223,0.0864408,0.018306686,-0.0032320952,0.017627189,-0.03366433,-0.07962723,0.108589545,0.024982663,1.5818565,-0.012588334,488.0455,0.1,0.47730052,0.48576757,0.24700281,0.1581311,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
15996000,15996000,1200000,47.397742,8.545594,-0.02911249,0.00033103075,0.048602816,-0.005632117,-0.0027353722,0.0,-0.09240973,0.016400674,0.08760915,0.01813051,-0.0032320952,0.017627189,-0.03366433,-0.040824696,0.04534871,0.054024097,1.5826889,-0.012588334,488.0455,0.1,0.48972827,0.48804313,0.25391126,0.15687726,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
16496000,16496000,1200000,47.397742,8.545594,-0.021490935,0.00058973295,0.05702786,-0.005632117,-0.0027353722,0.0,-0.07188821,0.01257695,0.090781525,0.021299725,-0.0032320952,0.017627189,-0.03366433,-0.02254406,0.078331724,0.052415702,1.5837317,-0.012588334,488.0455,0.1,0.503376,0.49013397,0.2638223,0.15541047,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
