timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
696000,696000,3.5717604e-10,2.0552645e-05,0.00028973614,7.03928e-05,0.0007138436,5.3076838e-06,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
708000,708000,3.6552478e-10,2.0904276e-05,0.00029235563,9.179626e-05,0.0013059559,1.29301325e-05,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
888000,888000,3.6820597e-10,2.2242803e-05,0.00028864623,0.00032129642,0.0006421736,0.0066402266,512,0,1.3338206,1.7503711,0.0,nan,nan,0.0014044131,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1092000,1092000,4.085497e-10,2.2921164e-05,0.0002828854,9.2212176e-05,0.0005171126,0.004573368,67109376,0,1.2165875,1.3251052,8.394575e-05,nan,nan,0.0019240075,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1296000,1296000,4.8412413e-10,2.6178412e-05,0.00028466008,7.565772e-05,0.0015432792,0.011902664,512,0,0.36429375,1.1131296,0.0,nan,nan,0.0038740905,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1500000,1500000,5.249083e-10,2.7476346e-05,0.0002808767,2.7175749e-05,0.0008610493,0.004510282,512,0,0.6579917,0.9494052,0.0,nan,nan,0.0010994032,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1700000,1700000,4.9552323e-10,2.773344e-05,0.0002780296,6.016249e-05,0.0016641287,0.003122861,512,0,0.73796964,0.8761855,0.0,nan,nan,0.00040523632,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1900000,1900000,4.908173e-10,2.7666978e-05,0.00028071296,0.00010653893,0.0021232087,0.0022045702,512,0,0.70398116,0.82834405,0.0,nan,nan,0.0011915037,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2100000,2100000,4.5281934e-10,2.6135314e-05,0.00027877666,0.00016392281,0.0023514817,0.004642106,512,0,0.6658278,0.7990599,0.0,nan,nan,0.001962029,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2300000,2300000,4.719383e-10,2.5966294e-05,0.0002781075,0.0002455951,0.002319886,0.0023539772,512,0,0.65010864,0.78409487,0.0,nan,nan,0.0046876855,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2500000,2500000,5.166187e-10,2.8039765e-05,0.000278641,0.00034841726,0.002794324,0.0040461295,512,0,0.6526494,0.7804631,0.0,nan,nan,0.0013614827,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2688000,2688000,5.147575e-10,2.826703e-05,0.00027855404,0.00039347855,0.0029858393,0.002947397,512,0,0.64660615,0.76320755,0.0,nan,nan,0.00019401619,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2900000,2900000,5.4009147e-10,2.856103e-05,0.00026106965,0.00028853567,0.0019494984,0.0015856508,512,0,0.6588578,0.7770955,0.0,nan,nan,0.0031300846,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3100000,3100000,5.0238735e-10,2.8720422e-05,0.0002607089,0.00024914043,0.0016229609,0.001161908,512,0,0.6485082,0.791716,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3300000,3300000,4.8927845e-10,2.8299404e-05,0.00026370576,0.00024575964,0.0021027238,0.0014743614,512,0,0.6313224,0.80875206,0.0,nan,nan,0.0016934631,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3500000,3500000,4.974167e-10,2.7416247e-05,0.00026617432,0.0002596325,0.0046767113,0.0076017925,512,0,0.61115485,0.8265879,0.0,nan,nan,0.005547663,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3688000,3688000,5.224344e-10,2.825213e-05,0.00026665922,0.00028259814,0.004991422,0.007657111,512,0,0.58077,0.8399229,0.0,nan,nan,0.006632956,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3900000,3900000,4.931107e-10,2.6905383e-05,0.0002643695,0.00031311915,0.0045490293,0.005369326,512,0,0.5715573,0.8360605,0.0,nan,nan,0.0011501675,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4100000,4100000,5.2804994e-10,2.6914475e-05,0.0002648375,0.00032235822,0.0046567023,0.0049356516,512,0,0.55407953,0.8500392,0.0,nan,nan,0.0018806459,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4300000,4300000,4.951466e-10,2.6729425e-05,0.0002809643,0.00034898854,0.0054487213,0.007190758,512,0,0.53838325,0.8622316,0.0,nan,nan,0.0021147472,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4488000,4488000,5.060283e-10,2.6809168e-05,0.00027898318,0.00033806553,0.0054055476,0.007237643,512,0,0.5163718,0.8683284,0.0,nan,nan,0.005125519,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4700000,4700000,4.7188436e-10,2.6439193e-05,0.00027189546,0.00023843424,0.004296232,0.006742301,512,0,0.5115371,0.8815746,0.0,nan,nan,0.0027284373,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4888000,4888000,5.079884e-10,2.698378e-05,0.00026949847,0.00015900035,0.00047964294,0.0005363955,512,0,0.49256504,0.8844259,0.0,nan,nan,0.0020761131,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5100000,5100000,5.244424e-10,2.8192631e-05,0.00027997626,0.0004466556,0.005827985,0.007874443,512,0,0.4888598,0.8667791,0.0,nan,nan,0.0038719836,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5300000,5300000,5.492241e-10,2.8168255e-05,0.00027398716,0.00074274465,0.00944635,0.0073842765,512,0,0.478462,0.8710419,0.0,nan,nan,0.00030083358,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
