timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
704000,704000,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.2700047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
992000,992000,0.0,0.0,0.0,1.2221032,1.2221034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.316344,0.0,0.0,nan,0.0,0.0,0.25712907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500000,1500000,0.0,0.0,0.0,0.789296,0.7892965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.224121,0.0,0.0,nan,0.0,0.0,0.25446236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000000,2000000,0.0,0.0,0.0,0.53040314,0.53041446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.928534,0.0,0.0,nan,0.0,0.0,0.2544046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500000,2500000,0.0,0.0,0.0,0.52197087,0.5220218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.861564,0.0,0.0,nan,0.0,0.0,0.2541745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000000,3000000,0.0,0.0,0.0,0.5605388,0.56064725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.879119,0.0,0.0,nan,0.0,0.0,0.25372148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500000,3500000,0.0,0.0,0.0,0.5454792,0.5454589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.937082,0.0,0.0,nan,0.0,0.0,0.2532592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000000,4000000,0.0,0.0,0.0,0.52079153,0.520712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.988751,0.0,0.0,nan,0.0,0.0,0.2528601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500000,4500000,0.0,0.0,0.0,0.49060738,0.49055463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.02899,0.0,0.0,nan,0.0,0.0,0.2525319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000000,5000000,0.0,0.0,0.0,0.4759605,0.47595304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.039692,0.0,0.0,nan,0.0,0.0,0.2522639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5500000,5500000,0.0,0.0,0.0,0.4634282,0.46345863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.034195,0.0,0.0,nan,0.0,0.0,0.2520435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000000,6000000,0.0,0.0,0.0,0.4449287,0.44498095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.026294,0.0,0.0,nan,0.0,0.0,0.25186014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6500000,6500000,0.0,0.0,0.0,0.4323748,0.43243304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.005932,0.0,0.0,nan,0.0,0.0,0.25170588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
