timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
708000,704000,0,nan,nan,0.00010512239,1.2625102e-05,-6.699599e-05,0.0,0.0,0.0,0.002363021,-0.00030551394,-0.011165999,-0.011072709,0.016484033,0.0026206074,0.0,-1.1684947,-0.24491091,-1.0070281,1.5592358,1.5593876,nan,0.100131415,0.70622146,3.5000029,7.071068,0.45002058,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
716000,716000,0,nan,nan,-8.1522685e-06,2.6726442e-05,-0.00034364898,0.0,0.0,0.0,-0.019585213,0.0007742877,-0.030418428,-0.03017336,0.016484033,0.0026206074,0.0,-1.6986214,-0.3045796,-0.70431644,1.5591452,1.5593876,nan,0.10063138,0.7097526,3.5000114,7.0710826,0.45005122,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
800000,800000,0,nan,nan,-0.004416426,0.00032665484,-0.0034460688,0.0,0.0,0.0,-0.05437051,-0.009161053,-0.009919359,-0.010525096,0.016484033,0.0026206074,0.0,-0.4450043,-0.58452034,-0.5874029,1.5594538,1.5593876,nan,0.1,0.9048575,2.4749975,7.07216,0.45047832,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
896000,896000,0,nan,nan,-0.013869988,-0.0002653929,-0.005929663,0.0,0.0,0.0,-0.104669526,-0.00656493,-0.03328482,-0.034863178,0.016484033,0.0026206074,0.0,-0.9397318,-0.0618007,0.3818664,1.5596592,1.5593876,nan,0.1,1.3338332,1.7503946,7.0757723,0.4515584,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1004000,1004000,0,nan,nan,-0.026504774,-0.00318907,-0.011000323,0.0,0.0,0.0,-0.13798447,-0.031511117,-0.012771823,-0.018272609,0.016484033,0.0026206074,0.0,0.030320609,0.062193632,0.5713719,1.5597025,1.5593876,nan,0.1,0.89851797,1.5666338,4.531937,0.45342898,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1100000,1100000,0,nan,nan,-0.039788675,-0.0073485263,-0.0107381735,0.0,0.0,0.0,-0.15659334,-0.05658691,0.0005875939,-0.0036598165,0.016484033,0.0026206074,0.0,-0.38604987,-0.124143444,-0.17025979,1.5596479,1.5593876,nan,0.107093886,1.2166739,1.3252208,4.5420637,0.45554304,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1208000,1208000,1200000,47.3977419,8.5455939,-0.05187218,-0.012835886,-0.008012093,0.0,0.0,0.0,-0.18745705,-0.05938075,0.0044179726,0.0026039397,0.016484033,0.0026206074,0.0,-0.95846826,0.026348118,0.06837112,1.5597275,1.5593876,488.03336,0.108012035,0.79332924,1.1706251,2.7495775,0.4584384,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1300000,1300000,1200000,47.3977419,8.5455939,-0.06378309,-0.018253569,-0.0019830565,0.0,0.0,0.0,-0.22027317,-0.06610213,0.011370732,0.014056071,0.016484033,0.0026206074,0.0,-0.842788,-0.1269351,-0.23776856,1.5598037,1.5593876,488.03336,0.110174574,1.0132911,1.1138908,2.7774103,0.46224928,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1400000,1400000,1200000,47.3977419,8.5455939,-0.072636336,-0.020281175,0.0047189617,0.0,0.0,0.0,-0.2462328,-0.047263823,-0.014082674,-0.004439934,0.016484033,0.0026206074,0.0,-0.25412685,-0.117636874,-0.09289949,1.5597858,1.5593876,488.03336,0.11329618,0.70798236,1.0210832,1.833709,0.46685332,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1500000,1500000,1200000,47.3977419,8.5455939,-0.08680277,-0.02199811,0.0055098645,0.0,0.0,0.0,-0.28337145,-0.058649708,-0.011189113,0.00038817545,0.016484033,0.0026206074,0.0,0.014720129,-0.22860594,0.06006465,1.5597644,1.5593876,488.03336,0.10669069,0.87002975,0.95046765,1.8887671,0.47197735,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1600000,1600000,1200000,47.3977419,8.5455939,-0.09690274,-0.022899712,0.004123561,0.0,0.0,0.0,-0.28339866,-0.06397246,-0.010662183,0.0002634276,0.016484033,0.0026206074,0.0,-0.9331493,-0.044196755,0.13996188,1.5600694,1.5593876,488.03336,0.1,0.6371136,0.92605394,1.3931211,0.47834995,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1700000,1700000,1200000,47.3977419,8.5455939,-0.11018483,-0.025088161,0.0027402139,0.0,0.0,0.0,-0.3172782,-0.0779168,0.0045364304,0.013885211,0.016484033,0.0026206074,0.0,-0.9414967,-0.12657732,0.36383507,1.560183,1.5593876,488.03336,0.1,0.7568049,0.8775783,1.4860227,0.48410928,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1800000,1800000,1200000,47.3977419,8.5455939,-0.121512815,-0.027016101,0.0016946691,0.0,0.0,0.0,-0.34747586,-0.07572697,-0.016220724,-0.007905219,0.016484033,0.0026206074,0.0,-1.1619716,-0.16441727,-0.20856787,1.5600685,1.5593876,488.03336,0.1,0.58637094,0.8639437,1.238539,0.49149576,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
