timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
1952000,1952000,1310996,-0.0019815627,0.00023616235,-3.5502078e-06,0.34906584,9.129321e-05,9.127907e-05,5.6650835e-05,1310996,0.0,0.0,0.0001320455,0.4,0.00037939043,0.00037939043,0.0003783849,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2164000,2164000,1310996,-0.0036843177,0.00045741085,-5.814245e-06,0.34906584,8.7382476e-05,8.736773e-05,4.625603e-05,1310996,0.0,0.0,0.00030655751,0.4,0.00038381523,0.00038381523,0.00038171714,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2372000,2372000,1310996,-0.005759809,0.00062204443,-1.0744538e-05,0.34906584,7.971331e-05,7.970009e-05,3.7035454e-05,1310996,0.0,0.0,0.00078103057,0.4,0.00038611397,0.00038611397,0.0003814084,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2584000,2584000,1310996,-0.007842459,0.0006887684,-2.5089921e-05,0.34906584,6.9791015e-05,6.97824e-05,2.9598084e-05,1310996,0.0,0.0,0.0010073696,0.4,0.00038936944,0.00038936944,0.00038148143,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2792000,2792000,1310996,-0.009075738,0.00052787777,-3.7964193e-05,0.34906584,5.893459e-05,5.892944e-05,2.3592234e-05,1310996,0.0,0.0,0.0012962467,0.4,0.00039065324,0.00039065324,0.00037830498,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
3072000,3072000,1310996,-0.009517188,0.00031960834,-4.417879e-05,0.34906584,4.919984e-05,4.9196817e-05,1.7635615e-05,1310996,0.0,0.0,0.0023194766,0.4,0.00039280995,0.00039280995,0.00036965753,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
3324000,3324000,1310996,-0.009277094,6.2937695e-05,-4.4106528e-05,0.34906584,4.0983257e-05,4.0982082e-05,1.3791652e-05,1310996,0.0,0.0,0.0034246326,0.4,0.0003950809,0.0003950809,0.00036003336,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
3452000,3452000,1310996,-0.008656444,-0.00021566181,-4.226051e-05,0.34906584,3.399289e-05,3.3994438e-05,1.21610865e-05,1310996,0.0,0.0,0.0047254045,0.4,0.00039493965,0.00039493965,0.00035299797,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
3632000,3632000,1310996,-0.007835229,-0.00032959078,-4.0173327e-05,0.34906584,2.8344302e-05,2.8348384e-05,1.03045395e-05,1310996,0.0,0.0,0.0060086306,0.4,0.00039570298,0.00039570298,0.00034223104,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
3824000,3824000,1310996,-0.00785131,-0.0003312705,-4.0304967e-05,0.34906584,2.8448007e-05,2.8453047e-05,8.73139e-06,1310996,0.0,0.0,0.0074174125,0.4,0.00039716583,0.00039716583,0.00033079047,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
4012000,4012000,1310996,-0.0069310605,-0.00025608396,-3.8861293e-05,0.34906584,2.3686176e-05,2.3693348e-05,7.4218137e-06,1310996,0.0,0.0,0.008945944,0.4,0.00039693128,0.00039693128,0.00031694546,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
4144000,4144000,1310996,-0.0061624497,-9.503624e-05,-3.7832953e-05,0.34906584,1.9755851e-05,1.9763882e-05,6.6896196e-06,1310996,0.0,0.0,0.009993969,0.4,0.00039805062,0.00039805062,0.00030837604,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
4272000,4272000,1310996,-0.005455482,-7.942253e-05,-3.621239e-05,0.34906584,1.633884e-05,1.634645e-05,6.024045e-06,1310996,0.0,0.0,0.011109501,0.4,0.00039754136,0.00039754136,0.0002982435,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
4452000,4452000,1310996,-0.0054492196,-7.9464655e-05,-3.6215217e-05,0.34906584,1.6351363e-05,1.6360123e-05,5.250401e-06,1310996,0.0,0.0,0.012714933,0.4,0.0003978803,0.0003978803,0.00028375065,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
