timestamp,rtl_time_s,rtl_limit_fraction
8208000,1.100852e-11,1.22316885e-14
9228000,0.032799944,3.6444384e-05
10240000,0.03195548,3.550609e-05
11252000,0.027207024,3.0230029e-05
12260000,0.0048238006,5.3597787e-06
13272000,0.030910866,3.434541e-05
14280000,0.022752903,2.5281006e-05
15280000,0.026384983,2.9316649e-05
16292000,0.01714572,1.9050802e-05
17300000,0.028716361,3.1907068e-05
18312000,0.037833653,4.2037394e-05
19320000,0.053454746,5.9394166e-05
20320000,0.5689519,0.0006321688
21332000,1.0910956,0.0012123284
22340000,1.5097079,0.0016774534
23352000,1.7888418,0.001987602
24360000,2.1995485,0.002443943
25360000,2.2566566,0.0025073963
26372000,2.207584,0.0024528713
27380000,2.1596465,0.0023996073
28400000,1.8685255,0.0020761394
29412000,1.2040248,0.0013378054
30420000,0.51938725,0.00057709694
31432000,0.0826619,9.184656e-05
32440000,0.11463523,0.00012737249
33440000,0.15618038,0.00017353377
34452000,0.16080515,0.0001786724
