timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
500000,500000,1310988,1310988,-0.0013305156,-7.669809e-05,-4.261369e-05,0.0012593501,0.004884173,-0.046289504,4000,4000,0,0
1000000,1000000,1310988,1310988,-1.0652639e-05,-1.2783167e-05,4.2610986e-06,-0.0004261679,-0.0024085667,-0.03752672,4000,4000,0,0
1500000,1500000,1310988,1310988,-9.587381e-06,6.3915936e-06,1.1717906e-05,-0.00057460845,-0.0021930882,-0.04002627,4000,4000,0,0
2000000,2000000,1310988,1310988,5.326365e-06,2.5566338e-05,3.195812e-06,0.0010582374,-0.0014125783,-0.038000777,4000,4000,0,0
2500000,2500000,1310988,1310988,-2.4587082e-12,-2.1305295e-06,1.0652641e-06,-1.915362e-05,-0.0010965437,-0.040912118,4000,4000,0,0
3000000,3000000,1310988,1310988,-3.9414765e-05,4.261101e-06,7.4569416e-06,0.0023032222,-0.0026048906,-0.04049553,4000,4000,0,0
3500000,3500000,1310988,1310988,3.195794e-05,-1.4913702e-05,-1.0652643e-05,0.00036391872,0.0022505505,-0.040682275,4000,4000,0,0
4000000,4000000,1310988,1310988,6.3916596e-06,-2.6631615e-05,-2.7696862e-05,0.001599327,0.002245762,-0.037948098,4000,4000,0,0
4500000,4500000,1310988,1310988,-2.6631606e-05,8.522122e-06,6.3916127e-06,2.3942017e-05,-0.0025186995,-0.038790856,4000,4000,0,0
5000000,5000000,1310988,1310988,8.522127e-06,2.2370554e-05,1.0652628e-06,0.00039743754,0.0009624699,-0.04000711,4000,4000,0,0
5500000,5500000,1310988,1310988,-1.3848523e-05,-7.456833e-06,-1.1717823e-05,-6.703766e-05,-0.0025330647,-0.03940857,4000,4000,0,0
6000000,6000000,1310988,1310988,-1.9174775e-05,-6.391565e-06,7.4568393e-06,0.00041180273,-0.00230801,-0.03804866,4000,4000,0,0
6500000,6500000,1310988,1310988,-2.1305312e-05,2.0240012e-05,7.456829e-06,5.746084e-05,-0.0010342946,-0.04001191,4000,4000,0,0
7000000,7000000,1310988,1310988,-3.195864e-06,-2.4501074e-05,1.5978972e-05,0.0032321727,-0.0012928683,-0.043488283,4000,4000,0,0
7500000,7500000,1310988,1310988,8.5221045e-06,-2.5566344e-05,1.06526695e-05,0.0004836288,0.0024756053,-0.039111685,4000,4000,0,0
8000000,8000000,1310988,1310988,3.195797e-06,1.5978967e-05,4.261062e-06,0.0011683706,0.0021547826,-0.038302444,4000,4000,0,0
8500000,8500000,1310988,1310988,7.456834e-06,-1.2783185e-05,-1.7044234e-05,0.00021547818,0.0014173681,-0.040414125,4000,4000,0,0
9000000,9000000,1310988,1310988,-8.522123e-06,8.522115e-06,2.1305134e-06,0.000675165,0.0012641392,-0.039293647,4000,4000,0,0
9500000,9500000,1310988,1310988,-1.2783219e-05,-1.0652852e-06,-2.0239997e-05,0.0021978773,-0.0011396394,-0.035443764,4000,4000,0,0
10000000,10000000,1310988,1310988,1.2783181e-05,-5.326318e-06,1.7044233e-05,0.0001436521,0.0023894145,-0.03992571,4000,4000,0,0
10500000,10500000,1310988,1310988,3.1957734e-06,-1.8109478e-05,2.7696891e-05,-3.830723e-05,-0.0013886363,-0.039930496,4000,4000,0,0
11000000,11000000,1310988,1310988,4.4741126e-05,-2.8762117e-05,9.587382e-06,0.00071826053,0.0024803937,-0.03831202,4000,4000,0,0
11500000,11500000,1310988,1310988,-3.8349524e-05,-1.0652655e-05,-1.1717885e-05,0.0024325093,-0.001632845,-0.043239288,4000,4000,0,0
12000000,12000000,1310988,1310988,-2.5566338e-05,2.0240042e-05,8.522106e-06,-0.0001197101,-0.0026479866,-0.03921224,4000,4000,0,0
12500000,12500000,1310988,1310988,1.2783178e-05,-2.2370557e-05,3.1957861e-06,0.00039743754,0.001187525,-0.040260896,4000,4000,0,0
13000000,13000000,1310988,1310988,-3.195821e-06,-4.1545307e-05,6.3916245e-06,0.0009289504,0.0015418666,-0.038374264,4000,4000,0,0
13500000,13500000,1310988,1310988,2.024002e-05,1.1717926e-05,-3.1957577e-06,0.0012066779,0.0020398605,-0.038187522,4000,4000,0,0
14000000,14000000,1310988,1310988,3.1958355e-06,-2.4501085e-05,-1.2783165e-05,0.0010199299,0.0021068987,-0.03964798,4000,4000,0,0
14500000,14500000,1310988,1310988,4.047995e-05,-5.539384e-05,1.38484065e-05,0.0013168111,0.0017190377,-0.036444545,4000,4000,0,0
