timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
704000,704000,5.740876e-08,0.00014050837,0.0026730464,0.00018423765,0.02063084,0.00017586235,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
716000,716000,5.6584142e-08,0.00014072558,0.0026097142,0.00043161973,0.03816413,0.00031861739,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
896000,896000,5.09536e-08,0.00015019275,0.002436565,0.022017224,0.06912488,0.012561788,512,0,1.3338194,1.7504442,0.0,nan,nan,0.0013243825,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1100000,1100000,3.7843026e-08,0.00013936221,0.0026284966,0.0052655656,0.019862372,0.007071222,512,0,1.216547,1.3253,0.0,nan,nan,0.0014333335,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1300000,1300000,2.3310593e-08,9.975349e-05,0.0024826168,0.001202851,0.042911123,0.025795745,512,0,0.9879558,1.1134963,0.0,nan,nan,0.0032193542,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1500000,1500000,1.4493001e-08,7.3915355e-05,0.0022463,0.001083504,0.064745426,0.045696937,512,0,0.869501,0.9500185,0.0,nan,nan,0.00021986935,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1700000,1700000,9.072434e-09,5.859922e-05,0.0022921201,0.0013559168,0.07616671,0.06403438,512,0,0.75968665,0.877073,0.0,nan,nan,0.0011430293,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1900000,1900000,5.8203917e-09,4.7173202e-05,0.001966625,0.002761868,0.07152792,0.06750175,512,0,0.6912748,0.8296047,0.0,nan,nan,0.0018303257,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2100000,2100000,3.800339e-09,4.0293715e-05,0.0020387706,0.0054546446,0.07340276,0.06860797,512,0,0.6580311,0.800801,0.0,nan,nan,0.0021316777,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2300000,2300000,2.667863e-09,3.976595e-05,0.0020275738,0.009680237,0.08811016,0.07316674,512,0,0.65044355,0.7863208,0.0,nan,nan,0.0051632724,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2500000,2500000,1.9958117e-09,4.0254912e-05,0.002112959,0.013831286,0.10903229,0.08011088,512,0,0.65400755,0.7830104,0.0,nan,nan,0.00026545083,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2700000,2700000,1.4911645e-09,3.622146e-05,0.0019049576,0.015658572,0.11819378,0.08183709,512,0,0.6559613,0.76876044,0.0,nan,nan,0.0017680036,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2900000,2900000,1.2989345e-09,3.6460882e-05,0.0020517786,0.013531181,0.10187024,0.07009312,512,0,0.65020573,0.77917546,0.0,nan,nan,0.0005119728,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3100000,3100000,1.1122576e-09,3.700444e-05,0.0020388716,0.009088522,0.064528935,0.045804374,512,0,0.63694423,0.7934281,0.0,nan,nan,0.00306981,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3300000,3300000,1.1165623e-09,3.763762e-05,0.0021727732,0.004419313,0.015474435,0.014469428,512,0,0.61952287,0.81010514,0.0,nan,nan,0.0019141047,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3500000,3500000,1.096617e-09,3.622598e-05,0.002102386,0.0010773398,0.033649262,0.025526844,512,0,0.6003346,0.8276559,0.0,nan,nan,0.0016969298,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3700000,3700000,9.978833e-10,3.4867193e-05,0.0021011634,0.0018673433,0.07046401,0.05642258,512,0,0.58135396,0.8215748,0.0,nan,nan,0.0011916811,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3900000,3900000,9.954342e-10,3.469959e-05,0.002146881,0.0029175188,0.09377588,0.07904202,512,0,0.5636555,0.83668333,0.0,nan,nan,0.0053118765,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4100000,4100000,1.0214848e-09,3.5138553e-05,0.0021395315,0.0035751043,0.10647118,0.092281945,512,0,0.54741377,0.8505252,0.0,nan,nan,0.0062849605,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4300000,4300000,8.9873115e-10,3.2375858e-05,0.0019896762,0.003985595,0.111843795,0.09831139,512,0,0.53245026,0.862603,0.0,nan,nan,0.0021942018,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4500000,4500000,7.9739587e-10,3.119073e-05,0.0019108301,0.0049877916,0.12037352,0.10467588,512,0,0.5187718,0.8731072,0.0,nan,nan,0.00088100886,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4700000,4700000,7.199295e-10,3.079914e-05,0.0018039587,0.006532326,0.13470326,0.11421104,512,0,0.50627595,0.8817978,0.0,nan,nan,0.0017073567,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4900000,4900000,9.2368363e-10,3.5303932e-05,0.0019504022,0.008351109,0.15299131,0.12728222,512,0,0.49456036,0.8617059,0.0,nan,nan,0.0016377874,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5100000,5100000,9.990312e-10,3.6363606e-05,0.0020240291,0.009153945,0.16221593,0.13473894,512,0,0.48333994,0.8669045,0.0,nan,nan,0.00020787798,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5300000,5300000,9.450597e-10,3.4647062e-05,0.0018573506,0.0034614403,0.086629525,0.08274705,512,0,0.64323527,0.8711648,0.0,nan,nan,0.0043519074,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5500000,5500000,8.6381935e-10,3.2205433e-05,0.0017875895,0.0035462084,0.08171203,0.07826124,512,0,0.62523055,0.8743101,0.0,nan,nan,0.00095157156,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5700000,5700000,8.313146e-10,3.2067182e-05,0.0019894124,0.003461743,0.07241628,0.06983784,512,0,0.6082168,0.87680346,0.0,nan,nan,0.0041494286,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5900000,5900000,8.309236e-10,3.402432e-05,0.0019267249,0.0033519296,0.06236626,0.059866924,512,0,0.5917487,0.8785078,0.0,nan,nan,0.0040215445,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6100000,6100000,8.742639e-10,3.800999e-05,0.0020147122,0.0034165562,0.05396149,0.05144475,512,0,0.57556605,0.85326934,0.0,nan,nan,0.0036355446,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6300000,6300000,8.432666e-10,3.6702433e-05,0.0020363694,0.0035135774,0.047649156,0.044379637,512,0,0.55989164,0.85393834,0.0,nan,nan,0.0035710693,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6500000,6500000,7.561267e-10,3.316601e-05,0.0018531642,0.0037333942,0.043370515,0.03906115,512,0,0.54488546,0.85442495,0.0,nan,nan,0.00080395216,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6700000,6700000,6.48011e-10,3.0562947e-05,0.0019738325,0.0039643203,0.04150439,0.037139058,512,0,0.5307186,0.8545431,0.0,nan,nan,0.0010191625,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6900000,6900000,7.816998e-10,3.349726e-05,0.0020610932,0.004236135,0.04110511,0.03695075,512,0,0.5173754,0.8543543,0.0,nan,nan,0.0026874468,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
7100000,7100000,9.809461e-10,3.785733e-05,0.0021070295,0.0055708005,0.04162081,0.06319919,535,0,1.0003716,0.7975708,0.010147896,1.1754944e-38,1.1754944e-38,0.0060634874,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
7300000,7300000,8.3874657e-10,3.3301683e-05,0.0020541563,0.0011722994,0.0059189503,0.016023764,535,0,1.0035299,0.7460767,0.006594793,1.1754944e-38,1.1754944e-38,0.00068663876,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
7500000,7500000,1.0998774e-09,3.7631627e-05,0.002098099,0.0057591815,0.021259166,0.009566218,535,0,0.82112914,0.70453364,0.013575965,0.09342859,0.006040734,0.00172705,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
7700000,7700000,1.2072113e-09,4.1062194e-05,0.0022565292,0.0012170494,0.013538241,0.026312752,535,0,0.82928604,0.6756,0.0049771294,0.09342859,0.006040734,0.00142034,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
7900000,7900000,1.1543347e-09,4.0247214e-05,0.0020884383,0.0061500967,0.02327584,0.02073767,535,0,0.7191391,0.6463283,0.015596527,0.069916934,0.0077232765,0.003474533,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
8100000,8100000,1.3726056e-09,4.4784196e-05,0.002289953,0.0014410766,0.017794179,0.03091158,535,0,0.73266345,0.6303836,0.009064428,0.069916934,0.0077232765,0.0007480567,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
8300000,8300000,1.4109635e-09,4.699064e-05,0.00243982,0.0068576387,0.04505951,0.04132271,535,0,0.65392005,0.59844583,0.00471005,0.06297142,0.008033924,0.00030927258,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
8500000,8500000,1.1035802e-09,3.945215e-05,0.00210832,0.0017581332,0.024492456,0.035125095,535,0,0.67191815,0.5911617,0.02438517,0.06297142,0.008033924,0.0016449798,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
8700000,8700000,1.16652e-09,4.0993837e-05,0.0020976446,0.006894158,0.05213432,0.056830406,535,0,0.6092528,0.5725967,0.051201932,0.082361035,0.007396617,0.0020285016,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
8900000,8900000,1.2310581e-09,4.2029613e-05,0.0021636279,0.0018568662,0.02293734,0.034483474,535,0,0.6304265,0.5706647,0.0045128693,0.082361035,0.007396617,0.0037151997,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
9100000,9100000,1.1041847e-09,4.0293904e-05,0.0021416363,0.0041535655,0.048415985,0.065603495,535,0,0.5773175,0.55419797,0.037771087,0.08888997,0.005753157,0.0015723666,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
