timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
7220000,7220000,0.7077968,-0.005251895,0.0028204834,0.70639104,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
7228000,7228000,0.7077729,-0.0054444177,0.0029357553,0.706413,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
7720000,7720000,0.70673347,-0.0061564213,0.0024422708,0.707449,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
8216000,8216000,0.706627,-0.0057777213,0.0018290319,0.70756036,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
8720000,8720000,0.70589614,-0.0029895336,0.0026321395,0.70830417,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
9216000,9216000,0.70532906,-0.001644417,0.0040877922,0.7088664,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
9716000,9716000,0.7048163,-0.0013293441,0.003145326,0.7093817,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
10216000,10216000,0.7042426,-0.00027220979,0.004189097,0.70994705,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
10716000,10716000,0.7040354,-0.0009024379,0.0054675695,0.71014327,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
11220000,11220000,0.7038682,-0.0017723939,0.0041654315,0.71031624,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
11720000,11720000,0.70409256,-0.0030858666,0.0032129982,0.7100943,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
12216000,12216000,0.7040512,-0.0036787363,0.0027624175,0.7101344,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
12716000,12716000,0.7041435,-0.0032518944,0.00274439,0.710045,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
13220000,13220000,0.70444745,-0.003925361,0.0022106627,0.70974195,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
13720000,13720000,0.70489335,-0.0048306757,0.0028585205,0.7092912,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
14220000,14220000,0.7054347,-0.0057475823,0.002732285,0.70874643,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
14720000,14720000,0.7060436,-0.0064238803,0.0010507521,0.70813847,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
15220000,15220000,0.7063191,-0.006641011,-0.0003434091,0.7078624,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
15720000,15720000,0.7061538,-0.0072042816,-0.0011668515,0.70802087,0.99976647,3.2789793e-10,1.4244163e-11,-0.021614421,2
