timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
656000,656000,0,nan,nan,6.909377e-05,2.0462085e-05,2.1359274e-06,0.0,0.0,0.0,0.01858876,0.005879548,0.0025890619,0.0024980942,0.019019563,0.0051862937,0.0,0.087146185,0.23494269,0.8725132,1.5471259,1.5471104,nan,0.1,0.70622146,3.5000029,7.071068,0.4500216,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
992000,992000,0,nan,nan,-0.037165333,-0.015405461,0.008676451,0.0,0.0,0.0,-0.2003022,-0.110791996,0.029998228,0.035875227,0.019019563,0.0051862937,0.0,-0.4709,-0.37188154,-0.5206317,1.5466698,1.5471104,nan,0.1,1.0142282,1.4304745,4.5343723,0.4544524,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1500000,1500000,1200000,47.3977419,8.5455939,-0.13031477,-0.05756341,0.038279485,0.0,0.0,0.0,-0.38977677,-0.14775953,0.04901047,0.05897378,0.019019563,0.0051862937,0.0,-1.1286056,-0.31398144,-0.20279181,1.5466342,1.5471104,488.0501,0.1,0.5826741,0.95313114,1.387494,0.47576985,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1988000,1988000,1200000,47.3977419,8.5455939,-0.20530206,-0.07123687,0.057028305,0.0,0.0,0.0,-0.5464342,-0.17163877,0.08958349,0.08529169,0.019019563,0.0051862937,0.0,-1.0837166,-0.2275619,-0.22217822,1.5464125,1.5471104,488.0501,0.1,0.5958734,0.80757236,1.3007472,0.51079476,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2500000,2500000,1200000,47.3977419,8.5455939,-0.24218032,-0.06786635,0.07007843,0.0,0.0,0.0,-0.41308707,-0.08769548,0.06791989,0.04149938,0.019019563,0.0051862937,0.0,-0.76996404,-0.149918,-0.497696,1.5460148,1.5471104,488.0501,0.1,0.71772677,0.7757047,1.6468984,0.5448548,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3000000,3000000,1200000,47.3977419,8.5455939,-0.06666071,-0.0020975792,0.06531954,0.0,0.0,0.0,0.05009742,0.052601658,0.021052327,-0.015515878,0.019019563,0.0051862937,0.0,0.8226765,-0.00074009184,-0.24431668,1.5459533,1.5471104,488.0501,0.1,0.5793514,0.7909236,1.357419,0.562029,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3488000,3488000,1200000,47.3977419,8.5455939,0.13984355,0.06143752,0.05212504,0.0,0.0,0.0,0.41727304,0.14282392,0.009507262,-0.026981961,0.019019563,0.0051862937,0.0,0.52992857,0.33465412,0.14831863,1.5463616,1.5471104,488.0501,0.1,0.6455317,0.8183058,1.3271012,0.5688018,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4000000,4000000,1200000,47.3977419,8.5455939,0.25897384,0.070526294,0.04247769,0.0,0.0,0.0,0.43465188,0.10775999,0.0133272745,-0.025179869,0.019019563,0.0051862937,0.0,0.16766247,0.07035813,-0.09996264,1.5461595,1.5471104,488.0501,0.1,0.5050549,0.8500798,1.0136355,0.56436235,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4500000,4500000,1200000,47.3977419,8.5455939,0.2283188,0.06319979,0.02377354,0.0,0.0,0.0,0.34250233,0.091236636,0.0077262996,-0.028544571,0.019019563,0.0051862937,0.0,-0.24568792,-0.072916135,-0.44491705,1.5463904,1.5471104,488.0501,0.1,0.5607882,0.8654779,1.0303977,0.5476027,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
5000000,5000000,1200000,47.3977419,8.5455939,0.14464389,0.032956723,0.023446586,0.0,0.0,0.0,0.21232735,0.04265532,0.03935001,0.007897015,0.019019563,0.0051862937,0.0,0.2222,0.21660869,0.5818381,1.5461456,1.5471104,488.0501,0.1,0.6162579,0.86915106,1.0307972,0.5250933,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
5488000,5488000,1200000,47.3977419,8.5455939,0.07634984,0.008736783,0.03414249,0.0,0.0,0.0,0.12563726,0.0022560232,0.05527934,0.027968243,0.019019563,0.0051862937,0.0,-0.4901757,-0.044427253,-0.34984297,1.5460207,1.5471104,488.0501,0.1,0.48891413,0.86076826,0.8174943,0.5000937,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
