timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
396000,1660043462775026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,0.049999997,0.0,0.01,0.06457718,0,nan,nan,3,0,1,10,0
796000,1660043463175026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,0.03,0.0,0.01,0.09285151,0,nan,nan,3,0,1,10,0
1196000,1660043463575026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.751686,0,nan,nan,3,0,1,10,0
1596000,1660043463976026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,2.4609141,0,nan,nan,3,0,1,10,0
1996000,1660043464376026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,1.542522,0,nan,nan,3,0,1,10,0
2396000,1660043464775026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,2.3568926,0,nan,nan,3,0,1,10,0
2796000,1660043465176026,473977419,85455939,488038,488038,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,5.4154077,0,nan,nan,3,0,1,10,0
3196000,1660043465575026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.3453732,0,nan,nan,3,0,1,10,0
3596000,1660043465975026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.4076817,0,nan,nan,3,0,1,10,0
3996000,1660043466376026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.3074261,0,nan,nan,3,0,1,10,0
4396000,1660043466775026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,3.3243287,0,nan,nan,3,0,1,10,0
4796000,1660043467175026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,3.125361,0,nan,nan,3,0,1,10,0
5196000,1660043467576026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.6093681,0,nan,nan,3,0,1,10,0
5596000,1660043467976026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.557679,0,nan,nan,3,0,1,10,0
5996000,1660043468376026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.02,1.0723302,0,nan,nan,3,0,1,10,0
6396000,1660043468775026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.02,0.014660765,0,nan,nan,3,0,1,10,0
6796000,1660043469175026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.354321,0,nan,nan,3,0,1,10,0
7196000,1660043469576026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,5.031435,0,nan,nan,3,0,1,10,0
7596000,1660043469976026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,4.691271,0,nan,nan,3,0,1,10,0
7996000,1660043470376026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.6951838,0,nan,nan,3,0,1,10,0
8396000,1660043470776026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,4.859869,0,nan,nan,3,0,1,10,0
8796000,1660043471175026,473977419,85455939,488038,488038,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,6.219306,0,nan,nan,3,0,1,10,0
9196000,1660043471576026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,0.20874138,0,nan,nan,3,0,1,10,0
9596000,1660043471975026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.374567,0,nan,nan,3,0,1,10,0
9996000,1660043472376026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9234537,0,nan,nan,3,0,1,10,0
10396000,1660043472776026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.136283,0,nan,nan,3,0,1,10,0
10796000,1660043473175026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.097463,0,nan,nan,3,0,1,10,0
11196000,1660043473576026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.1061896,0,nan,nan,3,0,1,10,0
11596000,1660043473975026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.3088224,0,nan,nan,3,0,1,10,0
11996000,1660043474376026,473977419,85455939,488041,488041,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.0304424,0,nan,nan,3,0,1,10,0
12396000,1660043474776026,473977419,85455939,488039,488039,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.09998,0,nan,nan,3,0,1,10,0
12796000,1660043475175026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.90704757,0,nan,nan,3,0,1,10,0
13196000,1660043475576026,473977419,85455939,488041,488041,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.7139869,0,nan,nan,3,0,1,10,0
13596000,1660043475975026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,6.1013217,0,nan,nan,3,0,1,10,0
13996000,1660043476376026,473977419,85455939,488040,488040,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.4481733,0,nan,nan,3,0,1,10,0
