timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
996000,1659979323621245,0,473977419,85455939,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,3.7735763,0,nan,nan,0,3,0,1,10
1796000,1659979324420245,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,1.9786797,0,nan,nan,0,3,0,1,10
2996000,1659979325620245,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.02,3.782652,0,nan,nan,0,3,0,1,10
3796000,1659979326420245,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.2901473,0,nan,nan,0,3,0,1,10
4996000,1659979327621245,0,473977419,85455939,488033,488033,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,-0.01,4.8635345,0,nan,nan,0,3,0,1,10
5796000,1659979328420245,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.3500122,0,nan,nan,0,3,0,1,10
6996000,1659979329621245,0,473977419,85455940,488033,488033,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.9680332,0,nan,nan,0,3,0,1,10
7796000,1659979330421244,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,5.844933,0,nan,nan,0,3,0,1,10
8996000,1659979331621245,0,473977419,85455939,488034,488034,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.0780898,0,nan,nan,0,3,0,1,10
9796000,1659979332420245,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,2.8555331,0,nan,nan,0,3,0,1,10
10996000,1659979333621245,0,473977419,85455940,488033,488033,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.1700687,0,nan,nan,0,3,0,1,10
11796000,1659979334420245,0,473977419,85455940,488033,488033,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,5.4272757,0,nan,nan,0,3,0,1,10
12796000,1659979335420245,0,473977419,85455940,488034,488034,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.94125605,0,nan,nan,0,3,0,1,10
13996000,1659979336621245,0,473977419,85455940,488034,488034,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.3821998,0,nan,nan,0,3,0,1,10
14796000,1659979337420245,0,473977419,85455939,488034,488034,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.572138,0,nan,nan,0,3,0,1,10
15996000,1659979338620245,0,473977419,85455940,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,3.4454544,0,nan,nan,0,3,0,1,10
16796000,1659979339420245,0,473977419,85455939,488033,488033,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,1.7104226,0,nan,nan,0,3,0,1,10
17996000,1659979340620245,0,473977419,85455939,488035,488035,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,4.4745007,0,nan,nan,0,3,0,1,10
18796000,1659979341420245,0,473977419,85455939,488034,488034,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.5710907,0,nan,nan,0,3,0,1,10
19996000,1659979342620245,0,473977416,85455936,488701,488701,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.02,0.0,-0.66999996,6.170088,0,nan,nan,0,3,0,1,10
20796000,1659979343420245,0,473977420,85455938,489189,489189,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.07,0.07,0.02,-0.51,0.25848326,0,nan,nan,0,3,0,1,10
21996000,1659979344620245,0,473977425,85455942,489677,489677,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,0.02,0.02,-0.32,0.7787659,0,nan,nan,0,3,0,1,10
22796000,1659979345420245,0,473977426,85455943,489975,489975,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.65,2.2783527,0,nan,nan,0,3,0,1,10
23996000,1659979346620245,0,473977423,85455942,490359,490359,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,-0.049999997,-0.01,-0.089999996,3.4529593,0,nan,nan,0,3,0,1,10
24796000,1659979347420245,0,473977418,85455941,490381,490381,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,-0.049999997,-0.02,0.02,3.5739105,0,nan,nan,0,3,0,1,10
25996000,1659979348620245,0,473977416,85455938,490333,490333,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,-0.01,0.0,0.06,2.73528,0,nan,nan,0,3,0,1,10
26796000,1659979349420245,0,473977416,85455937,490284,490284,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.02,-0.01,0.06,5.7183967,0,nan,nan,0,3,0,1,10
27996000,1659979350620245,0,473977422,85456068,490225,490225,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.23,0.049999997,1.22,0.08,1.5252432,0,nan,nan,0,3,0,1,10
28796000,1659979351420245,0,473977424,85456176,490177,490177,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.71999997,0.01,0.71999997,0.04,1.5514232,0,nan,nan,0,3,0,1,10
29996000,1659979352620245,0,473977425,85456228,490139,490139,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.0,0.03,0.03,1.8460346,0,nan,nan,0,3,0,1,10
30796000,1659979353420245,0,473977424,85456221,490126,490126,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.099999994,-0.01,-0.12,0.04,4.574508,0,nan,nan,0,3,0,1,10
31996000,1659979354621245,0,473977425,85456206,490111,490111,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.06,0.0,-0.049999997,0.0,4.727748,0,nan,nan,0,3,0,1,10
32796000,1659979355421244,0,473977425,85456201,490092,490092,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.0,-0.01,0.0,5.1026444,0,nan,nan,0,3,0,1,10
33796000,1659979356421244,0,473977425,85456201,490067,490067,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.01,3.2965777,0,nan,nan,0,3,0,1,10
