timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
696000,696000,0,nan,nan,4.5527122e-05,5.5199635e-06,-2.2957433e-06,0.0,0.0,0.0,0.010290174,0.0007698754,-0.0021356624,-0.0020747297,0.014866304,0.0023718919,0.0,-1.0361714,-0.39243427,-0.6849524,1.5600787,1.5601585,nan,0.10007594,0.70622146,3.5000029,7.071068,0.4500201,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
708000,708000,0,nan,nan,5.717237e-05,1.0901788e-05,-0.00012725205,0.0,0.0,0.0,-0.009908088,0.002743927,-0.025245747,-0.025050085,0.014866304,0.0023718919,0.0,-1.9524746,0.51274306,-2.7621033,1.5599972,1.5601585,nan,0.100458354,0.7097526,3.5000114,7.0710816,0.45005018,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
792000,792000,0,nan,nan,-0.0042363284,0.00044430053,-0.003416673,0.0,0.0,0.0,-0.054241467,-0.0042101815,-0.008599642,-0.009445986,0.014866304,0.0023718919,0.0,-0.020777458,-1.5867437,1.4311063,1.5602994,1.5601585,nan,0.1,0.9048577,2.4749975,7.072163,0.4504765,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
888000,888000,0,nan,nan,-0.013444764,6.856363e-05,-0.005811128,0.0,0.0,0.0,-0.1005307,-0.0036345902,-0.038293976,-0.03971913,0.014866304,0.0023718919,0.0,0.102550514,-0.06533899,0.5786334,1.5604334,1.5601585,nan,0.1,1.3338265,1.7503711,7.075447,0.45155004,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
996000,996000,0,nan,nan,-0.025935572,-0.00236518,-0.011393973,0.0,0.0,0.0,-0.13835098,-0.028421411,-0.019721985,-0.024913875,0.014866304,0.0023718919,0.0,-0.55353385,0.116909094,0.6173122,1.5604018,1.5601585,nan,0.1,0.8984986,1.566596,4.531287,0.4534059,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1092000,1092000,0,nan,nan,-0.039053116,-0.005951344,-0.0122315055,0.0,0.0,0.0,-0.15327904,-0.051163886,-0.0014845207,-0.005979017,0.014866304,0.0023718919,0.0,-1.0477014,-0.02910341,-0.26848823,1.5603393,1.5601585,nan,0.10830025,1.2166148,1.3251063,4.5413136,0.45550498,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1188000,1188000,0,nan,nan,-0.04948089,-0.0104916915,-0.010078457,0.0,0.0,0.0,-0.18222491,-0.052719325,0.0040538167,0.0018967675,0.014866304,0.0023718919,0.0,-0.07176049,0.0272465,-0.21377024,1.5603538,1.5601585,nan,0.10497479,0.76996875,1.2415848,2.7467651,0.45815805,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1296000,1296000,1200000,47.3977419,8.5455939,-0.06427627,-0.016465457,-0.0045767743,0.0,0.0,0.0,-0.21952215,-0.06000202,0.008258398,0.010458007,0.014866304,0.0023718919,0.0,-1.182189,-0.12293134,-0.22943228,1.5604968,1.5601585,488.03293,0.11201237,0.98804533,1.1131355,2.773063,0.46167806,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1396000,1396000,1200000,47.3977419,8.5455939,-0.07355563,-0.018532617,0.001844096,0.0,0.0,0.0,-0.24716674,-0.041158013,-0.017637718,-0.008344903,0.014866304,0.0023718919,0.0,-0.57106787,-0.11446018,-0.07731753,1.5605193,1.5601585,488.03293,0.115215436,0.70508486,1.020104,1.8631637,0.46621794,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1496000,1496000,1200000,47.3977419,8.5455939,-0.08782137,-0.0200831,0.003080471,0.0,0.0,0.0,-0.28440768,-0.051932257,-0.01517194,-0.0031194221,0.014866304,0.0023718919,0.0,0.03350675,-0.19167382,0.12767215,1.5604699,1.5601585,488.03293,0.1081181,0.8696597,0.9493718,1.9176885,0.47130767,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
