timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
632000,632000,0,nan,nan,6.2402294e-05,-2.0903542e-05,-2.1627293e-06,0.0,0.0,0.0,0.01710088,-0.005266132,0.00073911087,0.0006398951,0.016805287,-0.0061804624,0.0,0.2531488,0.17338331,0.42962554,1.5885009,1.5885102,nan,0.1,0.70622146,3.5000029,7.071068,0.45002097,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
992000,992000,0,nan,nan,-0.038120538,0.00082091405,0.0071691717,0.0,0.0,0.0,-0.17760354,0.021458602,0.021442901,0.022357734,0.016805287,-0.0061804624,0.0,0.3189938,-0.05092285,0.23260519,1.5881362,1.5885102,nan,0.1,1.0939807,1.430853,4.5364804,0.4548928,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1496000,1496000,1200000,47.3977419,8.5455939,-0.095095865,0.003711367,0.031447582,0.0,0.0,0.0,-0.24787688,-0.0025821757,0.05088097,0.058332834,0.016805287,-0.0061804624,0.0,0.11561771,-0.19829494,-0.18668552,1.5884125,1.5885102,488.0491,0.1,0.61268395,0.92103785,1.4198741,0.47485387,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1996000,1996000,1200000,47.3977419,8.5455939,-0.13032454,-0.0013095723,0.059834875,0.0,0.0,0.0,-0.3440921,0.00024149819,0.0915148,0.086622484,0.016805287,-0.0061804624,0.0,-0.67546666,0.23472956,-0.03843388,1.588393,1.5885102,488.0491,0.1,0.63659316,0.79158103,1.3622597,0.5075249,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2496000,2496000,1200000,47.3977419,8.5455939,-0.15571278,0.0063865283,0.077652924,0.0,0.0,0.0,-0.32681167,0.03596467,0.06629198,0.04346316,0.016805287,-0.0061804624,0.0,-0.6079905,0.022689225,-0.36663008,1.5880375,1.5885102,488.0491,0.1,0.51735604,0.78008395,1.3294088,0.5421564,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2996000,2996000,1200000,47.3977419,8.5455939,-0.09452092,0.0138765825,0.09448493,0.0,0.0,0.0,-0.13004798,0.034821134,0.091938496,0.05871578,0.016805287,-0.0061804624,0.0,0.747002,1.3117115,-1.4023175,1.5875021,1.5885102,488.0491,0.1,0.6131036,0.79762244,1.4046221,0.5646079,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3496000,3496000,1200000,47.3977419,8.5455939,0.020107746,0.009348219,0.10241886,0.0,0.0,0.0,0.09118218,-0.008718286,0.10726261,0.063222036,0.016805287,-0.0061804624,0.0,-0.35335445,-0.028892355,-0.41149375,1.5873597,1.5885102,488.0491,0.1,0.69223404,0.83061713,1.3836845,0.57263094,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3996000,3996000,1200000,47.3977419,8.5455939,0.11875046,-0.013564633,0.11537847,0.0,0.0,0.0,0.279237,-0.014252555,0.09575764,0.03788943,0.016805287,-0.0061804624,0.0,0.01644884,0.42113152,0.59355694,1.5873322,1.5885102,488.0491,0.1,0.5300026,0.85812396,1.0504776,0.56630474,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4496000,4496000,1200000,47.3977419,8.5455939,0.17941637,-0.008919674,0.10942777,0.0,0.0,0.0,0.38123494,-0.014646804,0.078958474,0.008354625,0.016805287,-0.0061804624,0.0,0.982357,-0.10797616,0.017339299,1.5874871,1.5885102,488.0491,0.1,0.58730155,0.87356734,1.061903,0.54984665,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4996000,4996000,1200000,47.3977419,8.5455939,0.19599576,-0.022928381,0.10989274,0.0,0.0,0.0,0.30418575,-0.09024944,0.1376147,0.058921512,0.016805287,-0.0061804624,0.0,0.5630262,-0.078598134,-0.26200715,1.5869967,1.5885102,488.0491,0.1,0.6440423,0.8773976,1.0604342,0.5277901,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
5496000,5496000,1200000,47.3977419,8.5455939,0.14628725,-0.03585107,0.115798734,0.0,0.0,0.0,0.22461212,-0.054967787,0.097804494,0.012948321,0.016805287,-0.0061804624,0.0,0.5585872,-0.9530086,0.9996172,1.5868047,1.5885102,488.0491,0.1,0.5165387,0.872878,0.8499792,0.50378305,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
5996000,5996000,1200000,47.3977419,8.5455939,0.08160868,-0.023172818,0.103008635,0.0,0.0,0.0,0.09693178,0.00076084206,0.0551049,-0.035482988,0.016805287,-0.0061804624,0.0,0.72848976,0.2860384,0.72702754,1.5865086,1.5885102,488.0491,0.1,0.56164265,0.86392474,0.8405834,0.48025268,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6496000,6496000,1200000,47.3977419,8.5455939,0.02925724,0.013545767,0.07276661,0.0,0.0,0.0,0.05720319,0.06409962,0.002771248,-0.08077252,0.016805287,-0.0061804624,0.0,-0.2589814,0.019092076,-0.3867932,1.5865974,1.5885102,488.0491,0.1,0.46113276,0.8521487,0.67545485,0.45763308,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6996000,6996000,1200000,47.3977419,8.5455939,0.021718338,0.046424873,0.030121911,0.0,0.0,0.0,0.11324492,0.10761383,-0.025206722,-0.10252044,0.016805287,-0.0061804624,0.0,0.4444537,1.3905565,-1.9494472,1.5868164,1.5885102,488.0491,0.10327552,0.49530536,0.8396701,0.6598755,0.4363731,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
7496000,7496000,1200000,47.3977419,8.5455939,-0.00018991396,0.01853073,0.00018974957,-0.03606945,-0.02853343,0.0,0.008699717,-0.03522813,0.04989396,-0.015299591,-0.13070586,-0.074590124,0.018758528,-0.5497109,0.000985513,0.18832453,1.5745101,-0.012017297,488.0491,0.10767652,1.0003003,0.79794556,0.27488288,0.21897314,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
7996000,7996000,1200000,47.3977419,8.5455939,-0.023880847,-0.009692031,0.00074762286,-0.03606945,-0.02853343,0.0,-0.005886423,0.005285413,-0.011482437,-0.058988795,-0.13070586,-0.074590124,0.018758528,-0.44575423,-0.069352895,-0.26180133,1.5766658,-0.012017297,488.0491,0.112596,0.82402515,0.6822526,0.303287,0.20272748,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
8496000,8496000,1200000,47.3977419,8.5455939,-0.0070422874,0.0013484682,-0.0039418535,-0.03606945,-0.02853343,0.0,0.06459324,-0.0007900327,0.0124395685,-0.0153871225,-0.13070586,-0.074590124,0.018758528,0.34070042,-0.110773355,-0.31419197,1.5784754,-0.012017297,488.0491,0.11493054,0.7314338,0.62002844,0.3606541,0.19553538,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
8996000,8996000,1200000,47.3977419,8.5455939,-0.0012425297,-0.007448352,0.013259087,-0.03606945,-0.02853343,0.0,0.0042657647,-0.04603925,0.06328059,0.045934156,-0.13070586,-0.074590124,0.018758528,0.36546147,0.000818172,0.10512855,1.5784539,-0.012017297,488.0491,0.1034776,0.68249065,0.584075,0.39159065,0.1939024,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
9496000,9496000,1200000,47.3977419,8.5455939,-0.018965077,-0.022072634,0.03782693,-0.03606945,-0.02853343,0.0,-0.02022053,-0.069021285,0.08987858,0.05883809,-0.13070586,-0.074590124,0.018758528,0.5546108,0.2487323,0.41772604,1.5782096,-0.012017297,488.0491,0.1,0.57621384,0.54724455,0.29898244,0.18023461,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
9996000,9996000,1200000,47.3977419,8.5455939,-0.002309862,-0.0050783157,0.034390252,-0.03606945,-0.02853343,0.0,0.016635332,-0.011309314,0.06356204,0.016930077,-0.13070586,-0.074590124,0.018758528,-0.45242488,-0.032364856,-0.31144175,1.5786921,-0.012017297,488.0491,0.1,0.56379807,0.533226,0.3118199,0.18399857,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
10496000,10496000,1200000,47.3977419,8.5455939,0.026231905,0.008476873,0.030458247,-0.03606945,-0.02853343,0.0,0.0867853,0.026497865,0.04316422,-0.0061359312,-0.13070586,-0.074590124,0.018758528,-0.16645142,-0.002606494,-0.24034832,1.5796391,-0.012017297,488.0491,0.1,0.5601719,0.5313369,0.32482627,0.18918094,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
10996000,10996000,1200000,47.3977419,8.5455939,0.041626744,0.0071302163,0.025496978,-0.03606945,-0.02853343,0.0,0.13744938,-0.0028777947,0.04857359,0.0013192889,-0.13070586,-0.074590124,0.018758528,-0.21933262,0.7681822,-0.48928058,1.5810548,-0.012017297,488.0491,0.1,0.56324697,0.5272661,0.34135407,0.19326831,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11496000,11496000,1200000,47.3977419,8.5455939,0.03404374,-0.004684066,0.023021879,-0.03606945,-0.02853343,0.0,0.12921363,-0.039311927,0.056467645,0.0055867047,-0.13070586,-0.074590124,0.018758528,-0.11107123,0.24962194,-0.53351843,1.5811957,-0.012017297,488.0491,0.1,0.50356245,0.5060934,0.2785454,0.180935,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11996000,11996000,1200000,47.3977419,8.5455939,0.011474892,0.00365983,0.0068597826,-0.03606945,-0.02853343,0.0,0.03310812,0.021117948,-0.01883191,-0.065087244,-0.13070586,-0.074590124,0.018758528,0.735925,-0.1269116,-0.07798901,1.5817106,-0.012017297,488.0491,0.10619353,0.51001686,0.50586444,0.2973489,0.18357828,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12496000,12496000,1200000,47.3977419,8.5455939,-0.009775335,0.0037849331,0.007763594,-0.03606945,-0.02853343,0.0,0.000852505,-0.0020996504,0.028155226,-0.0012153696,-0.13070586,-0.074590124,0.018758528,-0.60605204,0.020211697,-0.27771297,1.582711,-0.012017297,488.0491,0.10818225,0.470541,0.4899029,0.2553177,0.17199725,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12996000,12996000,1200000,47.3977419,8.5455939,-0.035619013,-0.008956469,0.02588676,-0.03606945,-0.02853343,0.0,-0.06532767,-0.023994803,0.07614703,0.047904577,-0.13070586,-0.074590124,0.018758528,-0.06895517,0.27585632,0.43019924,1.5824233,-0.012017297,488.0491,0.1,0.48186105,0.49237254,0.27862686,0.17451009,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13496000,13496000,1200000,47.3977419,8.5455939,-0.02980236,0.0022903024,0.021829935,-0.03606945,-0.02853343,0.0,-0.00907772,0.019234708,0.047085773,0.00717935,-0.13070586,-0.074590124,0.018758528,-0.5879019,0.103905365,-0.1390819,1.5833888,-0.012017297,488.0491,0.1,0.4965396,0.49536216,0.2984878,0.17605786,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13996000,13996000,1200000,47.3977419,8.5455939,-0.015658388,0.01377516,0.020386562,-0.03606945,-0.02853343,0.0,-0.0163248,-0.005209789,0.075351104,0.03479253,-0.13070586,-0.074590124,0.018758528,-0.35566047,0.31811672,-0.100947045,1.5846899,-0.012017297,488.0491,0.1,0.5138157,0.49856856,0.3134286,0.17671935,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14496000,14496000,1200000,47.3977419,8.5455939,-0.0347271,0.011043914,0.022058384,-0.03606945,-0.02853343,0.0,-0.065937884,0.044264477,0.048928857,0.002330883,-0.13070586,-0.074590124,0.018758528,-0.33010575,0.45973033,0.89868146,1.5844133,-0.012017297,488.0491,0.1,0.47236696,0.48524916,0.2599242,0.16486631,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14996000,14996000,1200000,47.3977419,8.5455939,-0.0274269,0.028225813,0.012061409,-0.03606945,-0.02853343,0.0,-0.03312773,0.08023222,0.018993996,-0.025064358,-0.13070586,-0.074590124,0.018758528,-0.1437622,0.0015108115,-0.3481899,1.5846498,-0.012017297,488.0491,0.10287986,0.48601115,0.4882773,0.26969707,0.16470844,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
15496000,15496000,1200000,47.3977419,8.5455939,-0.02907606,0.0109712295,0.036474187,-0.03606945,-0.02853343,0.0,-0.0715176,0.019475002,0.085414365,0.048920855,-0.13070586,-0.074590124,0.018758528,0.32899362,0.4969172,0.76416034,1.5852578,-0.012017297,488.0491,0.1,0.5009819,0.4912127,0.27695253,0.1640586,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
15996000,15996000,1200000,47.3977419,8.5455939,-0.017017458,-0.0065632784,0.05276855,-0.03606945,-0.02853343,0.0,-0.004974852,-0.0055410415,0.094329484,0.050689958,-0.13070586,-0.074590124,0.018758528,0.5690726,-0.12454451,-0.26610124,1.5852638,-0.012017297,488.0491,0.1,0.5170858,0.49396428,0.2843322,0.16299953,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
16496000,16496000,1200000,47.3977419,8.5455939,0.008396579,-0.009557305,0.05503236,-0.03606945,-0.02853343,0.0,-0.013197185,0.03462868,0.07815978,0.022778064,-0.13070586,-0.074590124,0.018758528,-0.47660857,0.00079544506,-0.10222296,1.5853183,-0.012017297,488.0491,0.1,0.47438836,0.4817887,0.24199913,0.15241207,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
16996000,16996000,1200000,47.3977419,8.5455939,0.004453907,-0.0041371547,0.056254204,-0.03606945,-0.02853343,0.0,-0.004069648,0.018531682,0.075124025,0.011893296,-0.13070586,-0.074590124,0.018758528,-0.22265303,0.018715901,0.26979756,1.5846266,-0.012017297,488.0491,0.10029788,0.48760003,0.4841798,0.2794502,0.15134586,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
17496000,17496000,1200000,47.3977419,8.5455939,-0.003456609,0.0010654373,0.050363217,-0.03606945,-0.02853343,0.0,-0.0004218026,0.009397124,0.05152872,-0.01159195,-0.13070586,-0.074590124,0.018758528,-0.42206827,0.015857283,-0.09926787,1.5846628,-0.012017297,488.0491,0.10618888,0.5023335,0.48634163,0.3153699,0.15006618,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
