timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
7132000,7132000,0.70136636,-0.006377785,-0.0007096622,0.71277213,0.70081633,1.0498679e-09,-1.7156652e-09,0.7133418,1
7140000,7140000,0.7056509,-0.00637256,-0.0006443905,0.7085308,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7184000,7184000,0.7056661,-0.0064286175,-0.0006250856,0.7085151,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7236000,7236000,0.7057172,-0.0064225374,-0.00053403043,0.7084643,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7288000,7288000,0.705894,-0.006675788,-0.00038987715,0.708286,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7336000,7336000,0.70602435,-0.00680303,-0.00025228405,0.7081549,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7388000,7388000,0.7061562,-0.0068926257,-0.00011018241,0.70802253,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7436000,7436000,0.7060894,-0.0070786346,-2.0960955e-05,0.7080873,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7488000,7488000,0.70581204,-0.007144226,-0.00013371058,0.70836323,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7532000,7532000,0.7055482,-0.0071329726,-0.00014899354,0.70862603,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7588000,7588000,0.7052372,-0.0072650993,-0.00022266898,0.7089342,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7636000,7636000,0.70506793,-0.0072720656,-0.00025093337,0.70910245,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7684000,7684000,0.70498693,-0.007274465,-0.0002951657,0.7091829,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7732000,7732000,0.70496845,-0.0071928524,-0.00033047324,0.7092022,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7788000,7788000,0.7049517,-0.007218618,-0.00052863517,0.7092184,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7836000,7836000,0.7049562,-0.0072545134,-0.00060910144,0.7092136,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7884000,7884000,0.7049875,-0.0072118235,-0.00072934147,0.70918274,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7932000,7932000,0.7049681,-0.0071917553,-0.00089561497,0.70920205,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
7984000,7984000,0.70497644,-0.0072328206,-0.0010435985,0.7091931,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8036000,8036000,0.70496184,-0.0072179497,-0.0011464073,0.7092077,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8088000,8088000,0.70491177,-0.007228693,-0.0012425849,0.7092572,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8136000,8136000,0.7047677,-0.0072878073,-0.0013965153,0.7093994,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8188000,8188000,0.7046829,-0.0073561594,-0.0015527225,0.70948267,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8236000,8236000,0.7046364,-0.0074582524,-0.0013427814,0.7095281,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8288000,8288000,0.70459044,-0.0074020033,-0.0012338138,0.7095746,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8336000,8336000,0.7045388,-0.0073494404,-0.0011112897,0.7096266,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8384000,8384000,0.7044323,-0.007434318,-0.0011077557,0.70973146,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8436000,8436000,0.7044083,-0.007610588,-0.0009298728,0.70975363,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8488000,8488000,0.7043388,-0.007865339,-0.0008338477,0.70982003,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8536000,8536000,0.7043355,-0.007865096,-0.0009039289,0.7098231,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8588000,8588000,0.704374,-0.007883873,-0.001003834,0.70978457,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8636000,8636000,0.70435554,-0.0078230975,-0.00079796487,0.7098039,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8688000,8688000,0.7043211,-0.007509777,-0.0006247452,0.70984155,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8736000,8736000,0.7042576,-0.0072687897,-0.00043503952,0.70990723,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8788000,8788000,0.7042615,-0.0070718904,-0.00029469887,0.70990545,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8832000,8832000,0.7042494,-0.007078107,-9.113436e-05,0.7099174,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8888000,8888000,0.7043096,-0.0069788652,0.000109090426,0.7098588,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8936000,8936000,0.70432436,-0.0069292914,0.00012003343,0.7098445,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
8984000,8984000,0.7043579,-0.007129802,0.00024258104,0.70980924,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9032000,9032000,0.7043995,-0.007244478,0.00033377277,0.7097667,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9084000,9084000,0.7044247,-0.0072290665,0.0003052642,0.7097419,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9136000,9136000,0.70440894,-0.0070602014,0.00015472126,0.7097593,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9188000,9188000,0.7044023,-0.007114075,0.00012331543,0.70976526,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9232000,9232000,0.70445365,-0.007089651,-7.561819e-06,0.70971465,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9284000,9284000,0.70445484,-0.007063628,-0.00014547708,0.7097137,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9332000,9332000,0.7044201,-0.0072180517,-0.00011576795,0.7097466,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9388000,9388000,0.7043832,-0.007202611,-0.00022230242,0.7097833,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9436000,9436000,0.70439893,-0.007082149,-0.00034442326,0.70976895,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9488000,9488000,0.7044575,-0.006954442,-0.00059641525,0.70971185,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9536000,9536000,0.70446056,-0.0068132966,-0.0008835538,0.7097099,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9588000,9588000,0.70448875,-0.0067323437,-0.0011867627,0.70968235,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9632000,9632000,0.7045194,-0.0067350785,-0.0013157616,0.7096516,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9688000,9688000,0.70446014,-0.006689078,-0.001458633,0.70971066,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9736000,9736000,0.70443213,-0.0067149396,-0.0016212091,0.7097378,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9788000,9788000,0.7044424,-0.0067474283,-0.0016944822,0.70972717,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9836000,9836000,0.70441496,-0.0067223744,-0.0017720477,0.7097544,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9888000,9888000,0.7043535,-0.006669446,-0.0018514406,0.7098156,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9932000,9932000,0.7043235,-0.0065451707,-0.0019024878,0.70984644,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
9984000,9984000,0.70430285,-0.0065708044,-0.0018145844,0.709867,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
10032000,10032000,0.7042371,-0.0065021687,-0.0018860985,0.70993257,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
10084000,10084000,0.7041641,-0.0064966558,-0.001910422,0.71000504,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
10132000,10132000,0.70411247,-0.0065036546,-0.0019936124,0.7100559,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
10188000,10188000,0.7040767,-0.0065478557,-0.002093369,0.7100907,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
10236000,10236000,0.7040336,-0.0066231713,-0.002112162,0.71013266,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
10288000,10288000,0.7039864,-0.006645104,-0.0019569886,0.7101797,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
10332000,10332000,0.7039883,-0.006665548,-0.0019711063,0.7101776,0.99998194,-9.730767e-10,-2.851599e-10,-0.006008612,2
