timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
20000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
524000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1028000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1220000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1520000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2024000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2528000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3032000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3536000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4040000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4544000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5048000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5552000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6056000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6560000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7064000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7568000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8072000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8408000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
8420000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
8924000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
9428000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
9596000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
10100000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
10604000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
11108000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
11612000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
12116000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
12620000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
13124000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
13628000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
14132000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
14624000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
15128000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
15632000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
16136000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
16640000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
17144000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
17648000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
18152000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
18656000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
19160000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
19664000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
20168000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
20672000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21176000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21680000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22184000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22688000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23192000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23696000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24200000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24704000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25208000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25712000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26216000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26720000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27224000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27728000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28232000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28736000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29240000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29744000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
30248000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
30752000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
31256000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
31760000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
32264000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
32768000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
33272000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
33776000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
34280000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
34784000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
35288000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
35792000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
36296000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
36800000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
37304000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
37808000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
38312000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
38816000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
39320000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
39824000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
40328000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
40832000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
41336000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
41840000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
42344000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
42848000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
43352000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
43856000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
44360000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
44864000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
45368000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
45872000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
46376000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
46880000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
47384000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
47888000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
48392000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
48896000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
49400000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
49904000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
50408000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
50912000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
51416000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
51920000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
52424000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
52928000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
53432000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
53936000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
54440000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
54944000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
55448000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
55952000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
56456000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
56960000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
57464000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
57968000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
58472000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
58976000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
59480000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
59984000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
60488000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
60992000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
61496000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
62000000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
62504000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
63008000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
63512000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
64016000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
64520000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
65024000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
65528000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
