timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
7000000,7000000,0.69867295,-0.0142598795,-0.0011704474,0.71529824,0.69796216,-1.277691e-09,-4.0302197e-09,0.7161347,1
7004000,7004000,0.69867176,-0.014230167,-0.0011554529,0.71529996,0.69796216,-1.277691e-09,-4.0302197e-09,0.7161347,1
7500000,7500000,0.7129096,-0.013193424,0.00035578996,0.7011318,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
8000000,8000000,0.71217567,-0.01136464,0.0017716606,0.70190716,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
8500000,8500000,0.7111332,-0.008131173,0.0013248078,0.7030092,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
9000000,9000000,0.7096633,-0.006030518,0.00084117893,0.70451474,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
9500000,9500000,0.7083088,-0.004833495,5.5428125e-05,0.7058862,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
10000000,10000000,0.70702416,-0.005012042,0.0002405041,0.7071716,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
10500000,10500000,0.7061017,-0.0039343885,0.0012834469,0.70809835,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
11000000,11000000,0.70511764,-0.0036022963,0.002723745,0.70907605,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
11500000,11500000,0.70483476,-0.0031820107,0.0037163654,0.7093547,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
12000000,12000000,0.70436907,-0.0030769645,0.0032575452,0.70981985,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
12496000,12496000,0.7037987,-0.0020302725,0.0033231461,0.7103888,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
13000000,13000000,0.7034979,-0.00069980125,0.0035490815,0.7106882,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
13500000,13500000,0.70312786,-0.0010175973,0.0044608912,0.7110487,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
14000000,14000000,0.7028629,-0.0009648809,0.005275125,0.71130514,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
14500000,14500000,0.7032645,-0.0008288418,0.005873888,0.71090364,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
15000000,15000000,0.7035196,-0.001235058,0.0058942717,0.71065044,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
15500000,15500000,0.7035055,-0.00090764754,0.005315682,0.7106694,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
16000000,16000000,0.7033236,-0.0011633049,0.005211705,0.7108499,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
16500000,16500000,0.70302147,-0.00057479035,0.0052256593,0.7111492,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
17000000,17000000,0.7031151,-0.00038482115,0.0058470694,0.71105194,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
17500000,17500000,0.7029722,6.648813e-05,0.006205416,0.71119034,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
18000000,18000000,0.7029542,0.0004882843,0.0063794777,0.71120644,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
18500000,18500000,0.702785,0.00041723376,0.006433144,0.7113731,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
19000000,19000000,0.7027268,0.0078333905,-0.018054256,0.7111876,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
19500000,19500000,0.6976892,0.03627085,-0.039851245,0.71437114,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
20000000,20000000,0.7114828,-0.027162474,0.029113984,0.70157456,0.99976325,-9.0016367e-10,-1.1093989e-09,-0.021761624,2
