timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
700000,700000,3.5821895e-08,0.00012991914,0.001920287,0.0011070778,0.021996632,0.00018508465,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
712000,712000,3.5483723e-08,0.0001305517,0.0018765643,0.0013963014,0.03785433,0.00034214798,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
892000,892000,3.508821e-08,0.00014091776,0.0018859212,0.022516707,0.07244174,0.012766622,512,0,1.3338184,1.7504191,0.0,nan,nan,0.0013696678,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1096000,1096000,2.7143065e-08,0.00013236629,0.0021548572,0.00618827,0.02348989,0.00788233,512,0,1.2165458,1.3252609,0.0,nan,nan,0.001384916,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1300000,1300000,1.6527727e-08,9.082382e-05,0.002078163,0.0010505955,0.03745597,0.02301237,512,0,0.9879532,1.1133945,0.0,nan,nan,0.003146629,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1500000,1500000,1.02601305e-08,6.4881984e-05,0.0019186689,0.0010542424,0.05511215,0.03953853,512,0,0.88620424,0.9498349,0.0,nan,nan,9.902665e-05,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1700000,1700000,6.3783534e-09,4.8786562e-05,0.001982659,0.0011934693,0.068819016,0.058005974,512,0,0.77561885,0.87691236,0.0,nan,nan,0.0012680969,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1900000,1900000,4.0466555e-09,3.7379214e-05,0.0016870333,0.0023300312,0.06460664,0.061255857,512,0,0.70489097,0.82939297,0.0,nan,nan,0.0019862698,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2100000,2100000,2.6176754e-09,3.0933355e-05,0.0017229809,0.004532568,0.06500525,0.061540335,512,0,0.670262,0.8005248,0.0,nan,nan,0.0023185571,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2300000,2300000,1.8420411e-09,3.0826555e-05,0.0017490655,0.008018434,0.07658036,0.06462151,512,0,0.6622681,0.7860992,0.0,nan,nan,0.0049235374,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
