timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
1508000,4000000.0,1.0,0.0,0.0,187,0,0.0,37,0,0,0,0,0.0,0,2,0,1,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1852000,4000000.0,1.0,0.0,0.0,238,0,0.0,55,0,0,0,0,0.0,0,2,0,1,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2844000,4000000.0,1.0,21008.965,0.0,397,0,2486.056,107,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3840000,4000000.0,1.0,13692.231,0.0,554,0,2562.749,159,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4832000,4000000.0,1.0,13508.965,0.0,712,0,2457.1714,211,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5832000,4000000.0,1.0,13861.554,0.0,870,0,2473.1077,263,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6824000,4000000.0,1.0,13602.59,0.0,1028,0,2476.0957,315,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7824000,4000000.0,1.0,14611.555,0.0,1398,0,2476.0957,367,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8824000,4000000.0,1.0,23571.713,0.0,1808,0,2500.996,419,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9816000,4000000.0,1.0,24170.32,0.0,2213,0,2476.0957,472,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10816000,4000000.0,1.0,24309.762,0.0,2624,0,2494.024,524,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11812000,4000000.0,1.0,24225.1,0.0,3699,0,2476.0957,577,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12812000,4000000.0,1.0,48833.668,0.0,4109,0,2554.781,629,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
13808000,4000000.0,1.0,24443.229,0.0,4518,0,2476.0957,680,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14808000,4000000.0,1.0,24144.424,0.0,4929,0,2476.0957,733,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
15800000,4000000.0,1.0,24232.072,0.0,5332,0,2520.9165,785,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
16796000,4000000.0,1.0,24264.941,0.0,5744,0,2476.0957,843,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
17792000,4000000.0,1.0,24474.104,0.0,6152,0,2566.7332,895,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
18788000,4000000.0,1.0,24267.93,0.0,6564,0,2501.9922,946,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19784000,4000000.0,1.0,24215.14,0.0,6969,0,2412.3506,998,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20780000,4000000.0,1.0,24268.926,0.0,7378,0,2541.8328,1050,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
21780000,4000000.0,1.0,24269.922,0.0,7787,0,2501.9922,1102,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
22680000,4000000.0,1.0,24554.781,0.0,8158,0,2477.0918,1150,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23676000,4000000.0,1.0,24216.137,0.0,8565,0,2501.9922,1201,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
24620000,4000000.0,1.0,24167.332,0.0,8954,0,2477.0918,1253,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
25572000,4000000.0,1.0,24256.973,0.0,9346,0,2501.9922,1301,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
26468000,4000000.0,1.0,24408.367,0.0,9715,0,2501.9922,1348,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
27468000,4000000.0,1.0,24273.904,0.0,10124,0,2412.3506,1399,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
