timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
944000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0025662552,0.00016987359,5.063391e-08,0.33124846,0.016446386,-9.8057375,-0.1190954,-0.0055402443,-0.002462462,11.827728,11.827728
1944000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0019070286,4.6973586e-05,5.4837686e-09,0.13472995,-0.039660018,-9.762218,0.0017722043,-0.0027340676,-0.0012157569,11.827728,11.827728
2944000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0019645127,3.561665e-05,1.2502409e-09,0.15968405,-0.30796233,-9.9728155,-0.001892986,-0.0004411407,-0.00028337078,11.827728,11.827728
3944000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0020288357,3.383788e-05,9.3883e-10,0.2496119,0.1976001,-9.920423,0.001008353,-0.002033217,-0.0004172131,11.827728,11.827728
4944000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0020630339,3.4881756e-05,9.1115926e-10,0.2885034,-0.04690088,-9.932721,0.0011754488,-0.0020025836,-0.00059846905,11.827728,11.827728
5944000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.002071521,3.6672765e-05,8.407773e-10,-0.009673722,0.17793733,-9.656976,0.000120335404,0.001721459,-0.00094610965,11.827728,11.827728
6944000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.00202458,3.2905726e-05,7.6192336e-10,0.2007697,-0.041705083,-9.971924,-0.0010767062,-0.0014106093,0.0019139647,11.827728,11.827728
7944000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0022625185,4.230739e-05,1.2493893e-09,-0.009729395,-0.20097035,-9.562765,-0.0011260108,0.0024283808,-0.00022138687,11.827728,11.827728
8944000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0021063136,4.0710987e-05,1.1765122e-09,0.1638326,0.1913762,-9.785843,0.00023486142,-0.002069743,-6.580563e-05,11.827728,11.827728
9944000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.002322414,3.9394876e-05,1.02725e-09,-0.22523043,0.011410133,-9.470284,0.0022019767,0.0074204025,-6.61006e-05,11.827728,11.827728
