timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
632000,632000,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.26999918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
992000,992000,0.0,0.0,0.0,1.2220905,1.2220905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.705488,0.0,0.0,nan,0.0,0.0,0.25627822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496000,1496000,0.0,0.0,0.0,0.6581218,0.6581368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.161718,0.0,0.0,nan,0.0,0.0,0.25442103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996000,1996000,0.0,0.0,0.0,0.53157556,0.53161323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.912493,0.0,0.0,nan,0.0,0.0,0.25439662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496000,2496000,0.0,0.0,0.0,0.5381638,0.5384423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86525,0.0,0.0,nan,0.0,0.0,0.25412998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2996000,2996000,0.0,0.0,0.0,0.5604584,0.56070256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.891731,0.0,0.0,nan,0.0,0.0,0.25367746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3496000,3496000,0.0,0.0,0.0,0.5480055,0.54780084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.944457,0.0,0.0,nan,0.0,0.0,0.25321445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3996000,3996000,0.0,0.0,0.0,0.5108693,0.51042426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.000962,0.0,0.0,nan,0.0,0.0,0.25281852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4496000,4496000,0.0,0.0,0.0,0.4905532,0.4902501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.030427,0.0,0.0,nan,0.0,0.0,0.2524974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996000,4996000,0.0,0.0,0.0,0.47632658,0.47626793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038319,0.0,0.0,nan,0.0,0.0,0.25223592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5496000,5496000,0.0,0.0,0.0,0.4570797,0.45734912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038445,0.0,0.0,nan,0.0,0.0,0.252021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5996000,5996000,0.0,0.0,0.0,0.44439352,0.44470185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.021915,0.0,0.0,nan,0.0,0.0,0.2518416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6496000,6496000,0.0,0.0,0.0,0.42653173,0.42680687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.007597,0.0,0.0,nan,0.0,0.0,0.25169137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6996000,6996000,0.0,0.0,0.0,0.41516846,0.4153881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.984638,0.0,0.0,nan,0.0,0.0,0.25156137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
