timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
1000000,102.27637,128.4879,0,15,9621,1024000,0,3,253
2000000,157.1709,87.511635,0,71,8891,1024000,0,3,253
3000000,212.19336,75.89176,0,135,8619,1024000,0,3,253
4000000,267.8877,70.571045,0,184,10075,1024000,0,3,253
5000000,324.15625,67.588875,0,236,9086,1024000,0,3,253
6000000,379.79004,65.52623,0,300,8410,1024000,0,3,253
7000000,434.57324,63.945446,0,355,8303,1024000,0,3,253
8000000,497.7627,63.848473,0,419,9064,1024000,0,3,253
9000000,560.54297,63.72703,0,472,6799,1024000,0,3,253
10000000,617.62305,63.048492,0,527,10403,1024000,0,3,253
11000000,678.24805,62.824017,0,586,9570,1024000,0,3,253
12000000,738.77344,62.62915,0,643,8946,1024000,0,3,253
13000000,798.01855,62.36469,0,701,9918,1024000,0,3,253
14000000,858.08496,62.1981,0,762,9432,1024000,0,3,253
15000000,917.34863,61.99977,0,823,10778,1024000,0,3,253
16000000,981.05566,62.107857,0,881,6880,1024000,0,3,253
17000000,1041.833,62.02864,0,929,7676,1024000,0,3,253
18000000,1100.1631,61.820805,0,994,9774,1024000,0,3,253
19000000,1162.7129,61.85959,0,1050,7531,1024000,0,3,253
20000000,1220.8447,61.67128,0,1106,10230,1024000,0,3,253
21000000,1281.124,61.604347,0,1159,10684,1024000,0,3,253
22000000,1341.9541,61.56882,0,1217,10239,1024000,0,3,253
23000000,1402.0693,61.505062,0,1273,10383,1024000,0,3,253
24000000,1466.4238,61.6248,0,1328,6812,1024000,0,3,253
25000000,1523.2012,61.42931,0,1385,10646,1024000,0,3,253
26000000,1584.416,61.420994,0,1436,10168,1024000,0,3,253
27000000,1644.2754,61.362717,0,1494,10626,1024000,0,3,253
28000000,1705.4355,61.35543,0,1558,9674,1024000,0,3,253
29000000,1768.4404,61.412712,0,1614,7111,1024000,0,3,253
30000000,1829.5332,61.401974,0,1670,7028,1024000,0,3,253
31000000,1886.7217,61.265152,0,1730,10341,1024000,0,3,253
32000000,1951.6719,61.381054,0,1782,6858,1024000,0,3,253
33000000,2008.6055,61.24544,0,1842,10722,1024000,0,3,253
34000000,2073.4004,61.350468,0,1899,6820,1024000,0,3,253
35000000,2130.541,61.22948,0,1955,10590,1024000,0,3,253
36000000,2195.2148,61.325703,0,2010,6861,1024000,0,3,253
37000000,2254.9492,61.28245,0,2070,7304,1024000,0,3,253
38000000,2311.4795,61.156723,0,2135,10335,1024000,0,3,253
39000000,2372.4053,61.15077,0,2190,9679,1024000,0,3,253
40000000,2434.9531,61.18588,0,2245,7084,1024000,0,3,253
41000000,2494.623,61.148716,0,2303,6978,1024000,0,3,253
42000000,2550.746,61.028473,0,2361,10382,1024000,0,3,253
43000000,2613.6846,61.0731,0,2420,7031,1024000,0,3,253
44000000,2672.9111,61.03094,0,2479,7195,1024000,0,3,253
45000000,2732.62,61.00143,0,2541,6770,1024000,0,3,253
46000000,2788.2852,60.884907,0,2599,10441,1024000,0,3,253
47000000,2848.8555,60.878185,0,2659,10185,1024000,0,3,253
48000000,2912.127,60.928257,0,2712,7757,1024000,0,3,253
49000000,2969.9648,60.86492,0,2768,9829,1024000,0,3,253
50000000,3032.6445,60.90137,0,2828,7727,1024000,0,3,253
51000000,3094.6816,60.923725,0,2877,7119,1024000,0,3,253
52000000,3155.166,60.915245,0,2934,7175,1024000,0,3,253
53000000,3215.3945,60.902237,0,2988,7028,1024000,0,3,253
54000000,3272.1572,60.825287,0,3044,10137,1024000,0,3,253
55000000,3335.3408,60.868324,0,3093,7003,1024000,0,3,253
56000000,3394.7188,60.841614,0,3156,7222,1024000,0,3,253
57000000,3455.0098,60.83192,0,3206,7322,1024000,0,3,253
58000000,3511.9414,60.764435,0,3268,10078,1024000,0,3,253
59000000,3575.0508,60.804317,0,3318,7260,1024000,0,3,253
60000000,3632.0967,60.741467,0,3378,9999,1024000,0,3,253
61000000,3690.9062,60.70969,0,3440,10392,1024000,0,3,253
62000000,3750.9277,60.69855,0,3490,9998,1024000,0,3,253
63000000,3810.3496,60.678223,0,3550,10442,1024000,0,3,253
64000000,3870.6445,60.672215,0,3593,10143,1024000,0,3,253
65000000,3934.5635,60.72232,0,3654,6288,1024000,0,3,253
66000000,3995.1162,60.719746,0,3711,6288,1024000,0,3,253
67000000,4055.5703,60.715767,0,3767,7315,1024000,0,3,253
68000000,4117.1953,60.729176,0,3820,6485,1024000,0,3,253
69000000,4177.329,60.720524,0,3876,7397,1024000,0,3,253
70000000,4239.042,60.73474,0,3925,7485,1024000,0,3,253
71000000,4300.414,60.74374,0,3977,6914,1024000,0,3,253
72000000,4361.5156,60.748726,0,4031,7222,1024000,0,3,253
73000000,4422.4355,60.751076,0,4088,6808,1024000,0,3,253
74000000,4480.5947,60.715958,0,4141,10335,1024000,0,3,253
75000000,4541.2285,60.71486,0,4193,10279,1024000,0,3,253
76000000,4606.042,60.768932,0,4251,7069,1024000,0,3,253
77000000,4663.5635,60.726643,0,4301,10373,1024000,0,3,253
78000000,4727.996,60.77428,0,4354,6288,1024000,0,3,253
79000000,4783.8584,60.71194,0,4413,10223,1024000,0,3,253
80000000,4846.841,60.7404,0,4475,6770,1024000,0,3,253
81000000,4908.133,60.747227,0,4528,7019,1024000,0,3,253
82000000,4966.407,60.71699,0,4586,9780,1024000,0,3,253
83000000,5026.0723,60.704285,0,4652,10356,1024000,0,3,253
