timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
16612000,16612000,3.0079389,3.7977512,-2.5132742,-1.2566371,0.0,1.2566371,2.5132742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
16620000,16620000,-3.0253015,3.8152602,-2.5132458,-1.2566087,2.8341663e-05,1.2566655,2.5133026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
17612000,17612000,2.572394,3.5547502,-2.5114496,-1.2547601,0.0020815027,1.2587929,2.5152712,0.03241075,0.03388807,-0.011473882,-0.040975984,-0.013854034,-0.0201437,0.02802798,0.044315312,0.0062068184,-0.03362439,0.20003206,0.1999317,0.19992575,0.20002241,0.20008801
18612000,18612000,2.8996074,3.6944335,-2.5092993,-1.2526871,0.004301595,1.2611811,2.517617,0.053254303,0.07865946,-0.0046647703,-0.08153754,-0.045724314,-0.06353062,0.032309335,0.086086564,0.023444002,-0.06899976,0.20010503,0.19991307,0.19984132,0.19998887,0.20015168
19612000,19612000,1.2166822,3.345872,-2.5035558,-1.2134753,0.051455922,1.2798178,2.5106254,-0.34178185,-0.011021517,0.19246854,-0.012116864,-0.34260947,-0.45801753,-0.5644683,-0.28308734,-0.0023434758,-0.11028953,0.18741512,0.18852445,0.20542128,0.21510755,0.20353167
20612000,20612000,1.2794888,1.7156157,-2.7072783,-1.1345229,0.22692564,1.2428445,2.2435145,-0.65616155,-0.082686156,0.23581341,-0.047879517,-0.5175568,-0.7774955,-1.0338378,-0.55409807,-0.1701318,-0.22699368,0.08732302,0.08234765,0.22156896,0.37077785,0.2379826
21612000,21612000,1.2601107,1.411545,-2.7339203,-1.1017811,0.28006795,1.2395935,2.1889524,-0.3713781,-0.13044277,-0.03115508,-0.15439911,-0.32003284,-0.45841697,-0.5440203,-0.33896747,-0.22208226,-0.24007052,0.06575403,0.062794864,0.22428803,0.41075385,0.2364092
22612000,22612000,1.2734263,1.4493192,-2.712497,-1.1032747,0.29424545,1.2501531,2.2054713,0.035294056,-0.16872676,-0.35202932,-0.30120593,-0.13046244,-0.0373286,0.1639651,-0.0037197173,-0.17840442,-0.22497863,0.06902329,0.0657305,0.22478686,0.40392303,0.23653626
23612000,23612000,1.3543503,1.4298999,-2.7245755,-1.1086675,0.32153124,1.2785006,2.2226174,0.22026029,-0.12986773,-0.42345473,-0.31329778,-0.024022967,0.13558668,0.4474502,0.14941126,-0.12888733,-0.18933554,0.07328248,0.062296584,0.21104898,0.40213275,0.25123912
24612000,24612000,1.5115885,1.2613431,-2.7774868,-1.1158086,0.38371357,1.3314408,2.2324278,0.29309234,-0.09042469,-0.44262826,-0.31029665,0.00923413,0.22463608,0.6104834,0.26141122,-0.051124632,-0.119900346,0.07412975,0.046806265,0.17814869,0.41256732,0.2883479
25612000,25612000,1.6084499,1.1221687,-2.8164346,-1.120218,0.42913362,1.3698486,2.2376513,0.26916707,-0.04281661,-0.40776923,-0.3055673,-0.024989933,0.23092708,0.64023626,0.33886752,0.042327717,-0.044977803,0.07277426,0.035894915,0.15427196,0.4201296,0.31692928
26612000,26612000,1.7190689,0.9842883,-2.8577666,-1.134233,0.47691953,1.4161884,2.249983,0.20110452,0.045633048,-0.31306827,-0.2785363,-0.07925415,0.15874283,0.55705214,0.38008988,0.1262423,0.011984315,0.073479466,0.026008174,0.12592596,0.4206036,0.35398284
27612000,27612000,1.7898306,0.93633,-2.8711305,-1.147063,0.49984443,1.4460402,2.2670658,0.12148595,0.09546855,-0.26578122,-0.2941454,-0.15160748,0.079344735,0.46442702,0.40093035,0.17058036,0.027170114,0.07728164,0.022567283,0.11065273,0.41300464,0.3764937
28612000,28612000,1.8712152,0.91461,-2.8777163,-1.1695242,0.5135827,1.4752225,2.2903569,0.040107638,0.2018739,-0.13692006,-0.26360196,-0.2068625,-0.039120205,0.29083636,0.40923196,0.22229041,0.039800137,0.0857234,0.020745074,0.095793,0.396888,0.4008505
29612000,29612000,1.9231931,0.9146862,-2.8743255,-1.1818984,0.51987195,1.4933276,2.3085597,-0.0034874976,0.25494364,-0.074346066,-0.2567095,-0.24169245,-0.10546355,0.19640398,0.414511,0.24606907,0.03850165,0.09271181,0.020477386,0.0882821,0.38446832,0.4140604
30612000,30612000,1.9859492,0.8977704,-2.8711262,-1.1978494,0.52694505,1.5139083,2.328874,-0.037937492,0.34217787,-0.0012459159,-0.260067,-0.28697637,-0.22125614,0.0713192,0.4171196,0.25377283,0.0008361116,0.101903975,0.02009752,0.07932875,0.36841968,0.43025005
31612000,31612000,2.0223153,0.87384814,-2.869699,-1.205101,0.53428876,1.5273862,2.3405848,-0.039218396,0.38910028,0.06330383,-0.22549334,-0.27729988,-0.23385637,0.031034023,0.43244928,0.28480333,0.021514677,0.10678961,0.019528342,0.07397747,0.3595254,0.44017914
32612000,32612000,2.0590785,0.8316365,-2.8723552,-1.212901,0.54532593,1.5423768,2.3506994,-0.07183318,0.40903664,0.10837075,-0.21223862,-0.29257762,-0.2867287,-0.060100622,0.4037965,0.27610254,0.0045532063,0.110814385,0.018210046,0.06749506,0.35079533,0.4526851
33612000,33612000,2.0799656,0.7952393,-2.8754432,-1.2154782,0.5567286,1.5539373,2.3567946,-0.06119573,0.43139705,0.1387721,-0.18751566,-0.2741339,-0.2958032,-0.08317766,0.39578712,0.27326134,0.002235949,0.11171172,0.016844396,0.06311847,0.34676406,0.4615614
34612000,34612000,2.1023264,0.7409403,-2.883558,-1.2202263,0.57213354,1.5678015,2.3616843,-0.06229859,0.42506087,0.14992575,-0.1689219,-0.2578132,-0.2913042,-0.102211885,0.37508154,0.26109406,0.0018200576,0.11144098,0.014709041,0.05717673,0.34242502,0.4742482
35612000,35612000,2.1101704,0.70806056,-2.8874102,-1.2187831,0.5841002,1.5766468,2.364447,-0.06941803,0.40870813,0.15017849,-0.15989359,-0.2502193,-0.3102759,-0.14010751,0.33021563,0.22462296,-0.023261033,0.10940015,0.013357654,0.054342456,0.34228706,0.4806127
36612000,36612000,2.1293569,0.6642459,-2.88179,-1.2045351,0.6126341,1.5999645,2.3789527,-0.047663897,0.37641853,0.14300695,-0.12796697,-0.20533822,-0.28010762,-0.13038404,0.28514436,0.18855777,-0.028437428,0.10566759,0.011546576,0.050740942,0.34314486,0.48890007
37612000,37612000,2.1302001,0.6373264,-2.8893807,-1.2061894,0.6205288,1.6042259,2.3772676,-0.021837018,0.36636704,0.15048532,-0.09517747,-0.16450565,-0.26299363,-0.12678441,0.25259805,0.16262999,-0.03426356,0.10299636,0.010436418,0.048484784,0.3439022,0.49418026
38612000,38612000,2.1325955,0.6069186,-2.8975995,-1.2076471,0.6308216,1.6103325,2.376288,-0.014531888,0.30431235,0.1365753,-0.06277488,-0.12259333,-0.216797,-0.117405936,0.1954298,0.12708175,-0.029127177,0.09992657,0.009217087,0.04579723,0.34447387,0.50058526
39612000,39612000,2.05079,0.42169812,-2.9860005,-1.1942419,0.70836055,1.6236181,2.327458,0.6502865,1.5764157,0.5243469,-0.0237661,0.014926493,-0.96066666,-0.14414863,0.6394718,0.105599366,-0.49751103,0.05887794,0.0028035466,0.03607648,0.38898167,0.51326036
40612000,40612000,2.0260668,0.33906665,-3.0342622,-1.1808262,0.7691981,1.6441487,2.3063338,0.32259583,0.91063046,0.35794955,0.074647725,0.05203104,-0.48274946,-0.10772635,0.35704386,0.10753982,-0.18247557,0.04031984,0.0010886271,0.02922241,0.41159707,0.517772
41612000,41612000,2.0328388,0.31776682,-3.0525696,-1.1911303,0.78491056,1.6525548,2.3011935,0.051629722,0.30884206,0.24897408,0.11469203,0.04452744,-0.10516678,-0.13237892,0.1335776,0.119987704,0.043793738,0.0378224,0.0007846557,0.025406035,0.4075959,0.528391
42612000,42612000,2.0399175,0.31594872,-3.0522604,-1.1936189,0.7876642,1.6564705,2.3037212,-0.034593374,0.10893956,0.20224005,0.11380449,0.032797545,0.010604271,-0.13347493,0.06255709,0.12024276,0.10725385,0.0383976,0.0007664297,0.024615403,0.40398335,0.5322373
43612000,43612000,2.042192,0.31526327,-3.0512652,-1.1924257,0.7892261,1.6582382,2.3051767,-0.12255402,-0.07104106,0.12914614,0.079445794,-0.0049690455,0.09439634,-0.12607972,0.006004771,0.11314642,0.14700392,0.038550552,0.0007667705,0.024515515,0.40333638,0.53283083
