timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
724000,724000,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.2700012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000,1000000,0.0,0.0,0.0,1.2220819,1.2220823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.316343,0.0,0.0,nan,0.0,0.0,0.25730354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496000,1492000,0.0,0.0,0.0,0.78921753,0.7892179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.295763,0.0,0.0,nan,0.0,0.0,0.25449264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996000,1992000,0.0,0.0,0.0,0.5301868,0.5301889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.948498,0.0,0.0,nan,0.0,0.0,0.2544061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496000,2492000,0.0,0.0,0.0,0.5223808,0.5223888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.863376,0.0,0.0,nan,0.0,0.0,0.2541974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2996000,2992000,0.0,0.0,0.0,0.3155609,0.31557804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.877523,0.0,0.0,nan,0.0,0.0,0.010501297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3496000,3492000,0.0,0.0,0.0,0.039410777,0.0394098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936171,0.0,0.0,nan,0.0,0.0,0.010246086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3996000,3992000,0.0,0.0,0.0,0.03039248,0.030391674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.98737,0.0,0.0,nan,0.0,0.0,0.010206603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4496000,4492000,0.0,0.0,0.0,0.027192071,0.027192324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.028005,0.0,0.0,nan,0.0,0.0,0.010177576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996000,4992000,0.0,0.0,0.0,0.02552047,0.025520768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038623,0.0,0.0,nan,0.0,0.0,0.09828717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5496000,5492000,0.0,0.0,0.0,0.021386955,0.021387061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.033173,0.0,0.0,nan,0.0,0.0,0.09274917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5996000,5992000,0.1525,0.1525,0.26500002,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.908601,0.0,0.0,nan,0.0,0.0,0.091643594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6496000,6492000,0.1373825,0.13738295,0.25321552,1.5042535,1.5042535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.733933,0.0,0.0,nan,0.0,0.0,0.09121881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6996000,6992000,0.14440364,0.14440468,0.24912232,1.3429127,1.3429127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.658515,0.0,0.0,nan,0.0,0.0,0.09099525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7496000,7492000,0.1590131,0.15901345,0.2491153,1.2203269,1.2203268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.592928,0.0,0.0,nan,0.0,0.0,0.09087459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7996000,7992000,0.15964162,0.15964182,0.25053668,1.1921546,1.1921546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.565064,0.0,0.0,nan,0.0,0.0,0.09081216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8496000,8492000,0.15846737,0.15846688,0.25130045,1.1732585,1.1732587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.549605,0.0,0.0,nan,0.0,0.0,0.090783484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8996000,8992000,0.15715763,0.15715663,0.2519902,1.1600618,1.1600618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.543019,0.0,0.0,nan,0.0,0.0,0.090768196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9496000,9492000,0.15547308,0.15547305,0.2510124,1.1436352,1.1436353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.514843,0.0,0.0,nan,0.0,0.0,0.09076523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9996000,9992000,0.15474805,0.15474787,0.25000587,1.1384555,1.1384556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.514665,0.0,0.0,nan,0.0,0.0,0.09076296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10496000,10492000,0.15365058,0.15365121,0.24864617,1.1345454,1.1345456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.515099,0.0,0.0,nan,0.0,0.0,0.09076428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10996000,10992000,0.15211087,0.15211137,0.24662507,1.1315598,1.13156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.516741,0.0,0.0,nan,0.0,0.0,0.090760164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
