timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
704000,704000,1.1513889e-08,4.6231067e-05,0.001500038,0.00011791727,0.0026274198,1.5707552e-05,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
716000,716000,1.1189952e-08,4.562701e-05,0.0014695644,0.00020137809,0.0014770161,2.2606211e-05,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
908000,908000,7.096233e-09,3.824031e-05,0.0011488881,0.00022984153,0.0011445009,0.0032431474,512,0,0.6306471,1.7505512,0.0,nan,nan,0.0012096128,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1100000,1100000,4.5428643e-09,3.3094573e-05,0.00090649055,8.550252e-05,0.0007238673,0.005974792,512,0,1.2165852,1.3252962,0.0,nan,nan,0.0019159542,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1304000,1300000,2.983383e-09,3.232423e-05,0.0007604655,2.7064238e-05,0.0041613416,0.012600372,512,0,0.9880142,1.1134714,0.0,nan,nan,0.004016346,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1504000,1500000,2.050244e-09,3.1330626e-05,0.0006762455,3.9693703e-05,0.0048601534,0.0058423933,512,0,0.8695315,0.9499052,0.0,nan,nan,0.0012151673,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1704000,1700000,1.4338715e-09,2.9897823e-05,0.00060428167,9.442116e-05,0.004649033,0.005288524,512,0,0.7595018,0.8767666,0.0,nan,nan,0.00030729087,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1904000,1900000,1.0751813e-09,2.9026454e-05,0.0005677739,0.00018209832,0.003998803,0.004499829,512,0,0.69078606,0.8289708,0.0,nan,nan,0.0012558558,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2104000,2100000,8.24454e-10,2.77046e-05,0.00054924225,0.00031443354,0.0037932384,0.0059176083,512,0,0.6573506,0.7996959,0.0,nan,nan,0.0019041934,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2304000,2300000,7.1169565e-10,2.695848e-05,0.0006139183,0.00046870668,0.003748841,0.0036885578,512,0,0.64923143,0.7847047,0.0,nan,nan,0.0046977084,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2504000,2500000,7.0640294e-10,3.0014919e-05,0.0007362928,0.000631818,0.004498815,0.0052216197,512,0,0.653049,0.7810156,0.0,nan,nan,0.001550334,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2704000,2700000,6.5247024e-10,2.9438765e-05,0.0006394787,0.00089692284,0.005763019,0.004008705,512,0,0.65565896,0.76684844,0.0,nan,nan,0.000413549,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2904000,2900000,6.368089e-10,3.0105104e-05,0.0005908316,0.0013377031,0.008699141,0.005646865,512,0,0.6503159,0.77744234,0.0,nan,nan,0.0033460513,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3104000,3100000,5.968731e-10,3.058633e-05,0.0005412304,0.0012843416,0.009651863,0.006371896,512,0,0.6372741,0.79196525,0.0,nan,nan,0.0002294924,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3304000,3300000,5.7664323e-10,2.980246e-05,0.0005540269,0.0009416473,0.0077958973,0.005445503,512,0,0.61973625,0.80890644,0.0,nan,nan,0.0017630843,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3504000,3500000,5.886358e-10,2.927559e-05,0.00056096254,0.00047921395,0.0057594273,0.008612469,512,0,0.60049945,0.82665706,0.0,nan,nan,0.005751276,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3704000,3700000,5.736441e-10,2.9386933e-05,0.0005875642,0.00028549414,0.0067064636,0.0107448185,512,0,0.58148307,0.8207925,0.0,nan,nan,0.0030378539,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3904000,3900000,5.661621e-10,2.8471406e-05,0.0005531687,0.00033361875,0.007347054,0.0070820292,512,0,0.56367314,0.83601016,0.0,nan,nan,0.0009367377,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4104000,4100000,5.507599e-10,2.8021439e-05,0.00057591987,0.00042029645,0.009385171,0.008125306,512,0,0.5473378,0.84995484,0.0,nan,nan,0.0018281812,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4304000,4300000,5.7077343e-10,2.8839611e-05,0.0006573948,0.00044065938,0.01049961,0.010552608,512,0,0.53242606,0.8621272,0.0,nan,nan,0.0022737926,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
