timestamp,rtl_time_s,rtl_limit_fraction
6600000,2.7482622e-11,3.0536246e-14
7632000,0.008787426,9.763808e-06
8640000,0.0012703363,1.4114848e-06
9680000,0.0027572056,3.0635622e-06
10680000,0.012807243,1.4230271e-05
11692000,0.018270802,2.0300891e-05
12700000,0.032169674,3.5744084e-05
13712000,0.03443247,3.8258306e-05
14712000,0.0026301201,2.9223559e-06
15712000,0.023078501,2.564278e-05
16720000,0.0018551255,2.0612506e-06
17732000,0.016682643,1.8536271e-05
18740000,0.03529373,3.9215258e-05
19752000,0.01366242,1.5180468e-05
20752000,0.02872412,3.191569e-05
21760000,0.04184027,4.648919e-05
22772000,0.059028856,6.558762e-05
23780000,0.052987967,5.887552e-05
24780000,0.05218546,5.798385e-05
25792000,0.035620414,3.957824e-05
26800000,0.01783612,1.9817911e-05
27832000,0.0052895555,5.8772844e-06
28832000,0.017135557,1.903951e-05
29840000,0.02558039,2.8422657e-05
30852000,0.029701715,3.3001907e-05
31860000,0.039226785,4.3585318e-05
32880000,0.046006363,5.1118186e-05
