timestamp,load,ram_usage
1004000,0.10204082,0.46989942
1504000,0.078431375,0.46997282
2004000,0.1,0.47001076
2504000,0.08,0.47002357
3004000,0.078431375,0.47010484
3504000,0.078431375,0.46831414
4004000,0.08,0.46813384
4504000,0.078431375,0.4677151
5004000,0.08,0.4682048
5504000,0.078431375,0.46727666
6004000,0.08,0.46759146
6504000,0.1,0.46764958
7004000,0.078431375,0.4674028
7504000,0.08,0.46746683
8004000,0.06,0.46775797
8504000,0.1,0.46766633
9004000,0.078431375,0.46787423
9504000,0.08,0.46791217
10004000,0.1,0.4680018
10504000,0.06,0.4679634
11004000,0.1,0.46777472
11504000,0.05882353,0.4687319
12004000,0.1,0.46911022
12504000,0.078431375,0.46912897
13004000,0.08,0.46905458
13504000,0.08,0.46901122
14004000,0.08,0.4689038
14504000,0.08,0.4688585
15004000,0.08196721,0.46897772
15504000,0.06666667,0.46925262
16004000,0.08,0.4692201
16504000,0.078431375,0.46909842
17004000,0.08,0.46915653
17504000,0.1,0.469325
18004000,0.06,0.46930137
18504000,0.08,0.4693196
19004000,0.1,0.46929052
19504000,0.06,0.46939695
20004000,0.1,0.46928313
20504000,0.08,0.46918362
21004000,0.07692308,0.46911368
21504000,0.08,0.46927378
22004000,0.1,0.46917772
22504000,0.08,0.46934277
23004000,0.08,0.46930876
23504000,0.06,0.46929547
24004000,0.078431375,0.46916246
24504000,0.08,0.46932602
25004000,0.09803922,0.46931812
25504000,0.06,0.46890825
26004000,0.08,0.46895605
26504000,0.08,0.4690915
27004000,0.1,0.46874866
27504000,0.06,0.46871218
28004000,0.08,0.46848163
28504000,0.1,0.4690536
29004000,0.06,0.46911418
29504000,0.1,0.46910137
30004000,0.08,0.4700216
30504000,0.05882353,0.46979943
31004000,0.09803922,0.46889693
31504000,0.1,0.47012112
32004000,0.09803922,0.46824616
32504000,0.08,0.4685984
33004000,0.1,0.4683117
33504000,0.08,0.46839297
