timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
696000,696000,0,nan,nan,3.8401163e-06,3.7427346e-06,-2.1312152e-07,0.0,0.0,0.0,0.0011169804,0.0008825847,-4.107179e-05,-4.436406e-05,0.0009571417,0.0011784724,0.0,0.051667847,-0.0647207,-0.0021691134,1.5608001,1.5608191,nan,0.1,0.70622146,3.5000029,7.071068,0.4500181,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
996000,996000,0,nan,nan,0.00077575224,-0.0029848441,-0.0040495135,0.0,0.0,0.0,0.0041594002,-0.019934226,0.005259569,0.000759962,0.0009571417,0.0011784724,0.0,0.0027424786,-0.29590273,0.0042439736,1.5605519,1.5608191,nan,0.1,0.8984919,1.5665957,4.5309987,0.45323795,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1500000,1500000,1200000,47.3977419,8.545594,0.0022236633,-0.012318222,0.017769193,0.0,0.0,0.0,0.0052430388,-0.034918252,0.018570153,0.028815007,0.0009571417,0.0011784724,0.0,-0.045061305,-0.13714254,0.06777228,1.5606071,1.5608191,488.04523,0.10187352,0.88665634,0.9500965,1.9216045,0.47088268,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2000000,2000000,1200000,47.3977419,8.545594,0.0037538577,-0.016550314,0.02644752,0.0,0.0,0.0,0.0112447,-0.04657854,0.026431995,0.029375598,0.0009571417,0.0011784724,0.0,0.04361433,0.0276644,-0.11426775,1.5606171,1.5608191,488.04523,0.1,0.5661518,0.8019159,1.2577382,0.5012645,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2500000,2500000,1200000,47.3977419,8.545594,0.004512063,-0.017705433,0.034020353,0.0,0.0,0.0,0.005154452,-0.037842017,0.041064147,0.034361057,0.0009571417,0.0011784724,0.0,-0.028041556,-0.2187397,0.0012013428,1.5602357,1.5608191,488.04523,0.1,0.22688471,0.76298076,1.1849808,0.5329319,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3000000,3000000,1200000,47.3977419,8.545594,-0.0005579265,-0.0020053373,0.050669137,0.0,0.0,0.0,-0.0005162414,0.004742376,0.04404411,0.0359994,0.0009571417,0.0011784724,0.0,0.015390799,0.00036615922,-0.073865116,1.5602835,1.5608191,488.04523,0.1,0.12707755,0.79556197,0.48756006,0.56215656,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3500000,3500000,1200000,47.3977419,8.545594,-0.0031577747,0.010908374,0.06140801,0.0,0.0,0.0,-0.009729767,0.025384229,0.045497205,0.030521544,0.0009571417,0.0011784724,0.0,-0.13591588,0.18260616,0.040010486,1.5606377,1.5608191,488.04523,0.1,0.14803186,0.8280436,0.4686716,0.5727978,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4000000,4000000,1200000,47.3977419,8.545594,-0.004932668,0.01495461,0.060193423,0.0,0.0,0.0,-0.0054261344,0.03552722,0.041896217,0.015032425,0.0009571417,0.0011784724,0.0,0.029714784,0.053025275,-0.01626468,1.5607346,1.5608191,488.04523,0.1,0.1751305,0.8572856,0.48660636,0.56832093,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4500000,4500000,1200000,47.3977419,8.545594,0.00034416633,0.019870961,0.05656735,0.0,0.0,0.0,0.0058884374,0.046429213,0.04323086,0.009152228,0.0009571417,0.0011784724,0.0,0.0055403216,0.1404903,0.5676317,1.5607847,1.5608191,488.04523,0.1,0.12209091,0.8738904,0.33061105,0.55237496,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
5000000,5000000,1200000,47.3977419,8.545594,0.0028765027,0.014809593,0.053429894,0.0,0.0,0.0,0.005926708,0.024193348,0.04124444,0.0037426758,0.0009571417,0.0011784724,0.0,0.008351361,0.044134714,-0.02104702,1.5651507,0.007743701,488.04523,0.1,0.1307528,0.87883675,0.25616753,0.5306759,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,2
