timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
196000,1310988,1310988,1310996,1311004,0,0.087519705,0.08005605,0.019454684,0.0,1310988,1310988,1310996,1311004,0,0.0043597845,0.0020986327,0.0023624678,0.0,1,1,1,0,1,1,1,0
396000,1310988,1310988,1310996,1311004,0,0.0040731262,0.0044559916,0.0021188904,0.0,1310988,1310988,1310996,1311004,0,0.0002329301,0.0002745259,0.00022137498,0.0,1,1,1,0,1,1,1,0
596000,1310988,1310988,1310996,1311004,0,0.0016917512,0.003007627,0.0044663986,0.0,1310988,1310988,1310996,1311004,0,9.996956e-05,4.7372534e-05,0.000117035685,0.0,1,1,1,0,1,1,1,0
796000,1310988,1310988,1310996,1311004,0,0.0010117057,0.00050652365,0.0014615777,0.0,1310988,1310988,1310996,1311004,0,0.00014408401,4.039422e-05,0.000158913,0.0,1,1,1,0,1,1,1,0
996000,1310988,1310988,1310996,1311004,0,0.005865816,0.0043400247,0.0022209124,0.0,1310988,1310988,1310996,1311004,0,0.00012209723,0.00026772052,0.00016964266,0.0,1,1,1,0,1,1,1,0
1200000,1310988,1310988,1310996,1311004,0,0.004308919,0.004392041,0.008551474,0.0,1310988,1310988,1310996,1311004,0,0.00044081005,0.00019988698,0.0005188984,0.0,1,1,1,0,1,1,1,0
1400000,1310988,1310988,1310996,1311004,0,0.003946716,0.004725985,0.0050178925,0.0,1310988,1310988,1310996,1311004,0,0.00020877516,0.00019161953,0.00010835626,0.0,1,1,1,0,1,1,1,0
1600000,1310988,1310988,1310996,1311004,0,0.00652433,0.0076156454,0.0017719851,0.0,1310988,1310988,1310996,1311004,0,0.0002720694,0.00017961705,0.00021977343,0.0,1,1,1,0,1,1,1,0
1796000,1310988,1310988,1310996,1311004,0,0.006761022,0.006455288,0.00073365483,0.0,1310988,1310988,1310996,1311004,0,0.00011973259,0.0002518978,0.00021404585,0.0,1,1,1,0,1,1,1,0
2000000,1310988,1310988,1310996,1311004,0,0.0025459619,0.0029826856,0.0026264335,0.0,1310988,1310988,1310996,1311004,0,0.0001931158,0.00011223657,0.00028672413,0.0,1,1,1,0,1,1,1,0
2196000,1310988,1310988,1310996,1311004,0,0.015040483,0.015060067,0.0018340676,0.0,1310988,1310988,1310996,1311004,0,0.0004662473,0.00026252487,0.00036739948,0.0,1,1,1,0,1,1,1,0
2396000,1310988,1310988,1310996,1311004,0,0.010319444,0.0060041216,0.0051060105,0.0,1310988,1310988,1310996,1311004,0,0.0005067214,0.0005316778,0.00023609557,0.0,1,1,1,0,1,1,1,0
2600000,1310988,1310988,1310996,1311004,0,0.005050031,0.0091455355,0.009983635,0.0,1310988,1310988,1310996,1311004,0,0.00027363357,0.00030642448,0.00043557253,0.0,1,1,1,0,1,1,1,0
2800000,1310988,1310988,1310996,1311004,0,0.00076621387,0.005590343,0.0051670587,0.0,1310988,1310988,1310996,1311004,0,0.00018681426,0.00019191367,0.00030389384,0.0,1,1,1,0,1,1,1,0
3000000,1310988,1310988,1310996,1311004,0,0.004650266,0.0029850458,0.0018310721,0.0,1310988,1310988,1310996,1311004,0,0.0005370132,0.00016531926,0.00037734793,0.0,1,1,1,0,1,1,1,0
3196000,1310988,1310988,1310996,1311004,0,0.0068768533,0.004962398,0.010746621,0.0,1310988,1310988,1310996,1311004,0,9.590855e-05,0.00014963209,0.00020954102,0.0,1,1,1,0,1,1,1,0
3400000,1310988,1310988,1310996,1311004,0,0.009026341,0.005183881,0.009292601,0.0,1310988,1310988,1310996,1311004,0,0.00018437629,0.0003442181,0.00019294288,0.0,1,1,1,0,1,1,1,0
3596000,1310988,1310988,1310996,1311004,0,0.008569599,0.008557684,0.0018219219,0.0,1310988,1310988,1310996,1311004,0,0.00029648317,0.00011539752,0.00027541182,0.0,1,1,1,0,1,1,1,0
3800000,1310988,1310988,1310996,1311004,0,0.0076606693,0.0022003714,0.006613423,0.0,1310988,1310988,1310996,1311004,0,0.00023438889,0.00026697194,0.0004971592,0.0,1,1,1,0,1,1,1,0
4000000,1310988,1310988,1310996,1311004,0,0.002606143,0.0024077857,0.004451937,0.0,1310988,1310988,1310996,1311004,0,0.00015888001,0.00024612335,0.00025358528,0.0,1,1,1,0,1,1,1,0
4200000,1310988,1310988,1310996,1311004,0,0.0054975413,0.016597318,0.013704037,0.0,1310988,1310988,1310996,1311004,0,0.00020806878,0.00020555135,0.00029565982,0.0,1,1,1,0,1,1,1,0
4400000,1310988,1310988,1310996,1311004,0,0.009719502,0.014956906,0.02439195,0.0,1310988,1310988,1310996,1311004,0,0.00045638444,0.00023886347,0.00039173284,0.0,1,1,1,0,1,1,1,0
4600000,1310988,1310988,1310996,1311004,0,0.008814514,0.009231806,0.016151875,0.0,1310988,1310988,1310996,1311004,0,0.00032633214,0.00023288776,0.0004553819,0.0,1,1,1,0,1,1,1,0
4796000,1310988,1310988,1310996,1311004,0,0.008776723,0.0040342426,0.0053466037,0.0,1310988,1310988,1310996,1311004,0,0.00018305249,0.0003765722,0.00025758243,0.0,1,1,1,0,1,1,1,0
5000000,1310988,1310988,1310996,1311004,0,0.0047943504,0.0045258184,0.004772514,0.0,1310988,1310988,1310996,1311004,0,0.000183101,0.0003846413,0.00028604604,0.0,1,1,1,0,1,1,1,0
5196000,1310988,1310988,1310996,1311004,0,0.0031484421,0.002944652,0.003668998,0.0,1310988,1310988,1310996,1311004,0,0.00013153518,0.000272922,0.00037543246,0.0,1,1,1,0,1,1,1,0
5396000,1310988,1310988,1310996,1311004,0,0.0025009543,0.003121846,0.0037419598,0.0,1310988,1310988,1310996,1311004,0,0.00035903815,0.00020460018,0.00017436742,0.0,1,1,1,0,1,1,1,0
5600000,1310988,1310988,1310996,1311004,0,0.004277323,0.007934135,0.008985125,0.0,1310988,1310988,1310996,1311004,0,0.000109501736,0.00021880357,0.00019115879,0.0,1,1,1,0,1,1,1,0
