timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
4820000,4820000,0.7102381,0.0077101355,0.01074752,0.70383734,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
4824000,4824000,0.7102476,0.007667349,0.010709597,0.70382875,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
5320000,5320000,0.7087497,0.0059489533,0.009106422,0.7053762,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
5820000,5820000,0.7087102,0.006083492,0.009234072,0.7054131,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
6320000,6320000,0.708525,0.006920602,0.010059522,0.7055801,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
6820000,6820000,0.7085088,0.007907022,0.010486417,0.70557976,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
7320000,7320000,0.70844746,0.006382929,0.008648266,0.7056818,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
7820000,7820000,0.707849,0.0037039735,0.0057672793,0.70633054,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
8320000,8320000,0.70738804,0.0014059884,0.002719385,0.7068189,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
8820000,8820000,0.7067546,0.0012316233,0.0021719194,0.7074544,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
9320000,9320000,0.7064036,0.0027125054,0.0034581895,0.7077956,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
9820000,9820000,0.706081,0.004209109,0.004544763,0.7081041,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
10320000,10320000,0.7055795,0.0062930025,0.0065372167,0.7085726,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
10820000,10820000,0.70504785,0.007136359,0.007102403,0.7090883,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
11320000,11320000,0.7046708,0.007760186,0.0077864584,0.7094493,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
11820000,11820000,0.7044869,0.007471008,0.0075474456,0.70963764,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
12320000,12320000,0.70403796,0.0080308495,0.007612096,0.7100762,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
12820000,12820000,0.7037531,0.008563588,0.007727822,0.71035105,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
13320000,13320000,0.7035341,0.009768107,0.008384452,0.71054494,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
13820000,13820000,0.7031589,0.010703977,0.008955069,0.71089584,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
14320000,14320000,0.70291406,0.010767783,0.008588098,0.7111415,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
14820000,14820000,0.70270437,0.01090198,0.008531919,0.71134734,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
15320000,15320000,0.7023194,0.010283828,0.0076282937,0.7117469,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
15820000,15820000,0.7019108,0.009816148,0.007074004,0.71216214,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
16320000,16320000,0.7014944,0.008767713,0.0055872155,0.7125992,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
16820000,16820000,0.7013312,0.008036274,0.0047802837,0.71277434,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
17320000,17320000,0.70110226,0.0075848913,0.0047614668,0.7130046,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
17820000,17820000,0.70106345,0.0073242905,0.0049091936,0.7130444,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
18320000,18320000,0.700857,0.00720574,0.005022079,0.71324784,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
18820000,18820000,0.7007917,-0.007566542,-0.008999955,0.71326905,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
19320000,19320000,0.7168457,-0.005330239,0.011218338,0.6971213,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
19820000,19820000,0.7113253,0.018762343,0.011079606,0.70252514,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
20320000,20320000,0.70979285,0.02074276,0.008181887,0.70405746,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
20820000,20820000,0.7092995,0.012863482,0.0036610845,0.7047804,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
21320000,21320000,0.7088558,0.004227846,-0.0011226952,0.7053399,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
21820000,21820000,0.7084049,-0.0016354357,-0.0037000317,0.70579475,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
22320000,22320000,0.7082441,-0.003514699,-0.0038559986,0.7059485,0.9999826,3.7428805e-10,-5.6100397e-10,-0.0059004575,2
22820000,22820000,0.70862335,-0.0030229646,-0.0036972193,0.7055708,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
23320000,23320000,0.70742524,-0.001320407,-0.0027068246,0.70678186,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
23820000,23820000,0.70728594,-0.00016492436,-0.0018841838,0.7069251,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
24320000,24320000,0.7075029,0.0016119055,-0.0021681462,0.70670533,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
24820000,24820000,0.70732063,0.0016343537,-0.0031208524,0.7068842,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
25320000,25320000,0.70715827,0.002836112,-0.0019147015,0.707047,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
25820000,25820000,0.7074331,0.0042499267,-0.0006967072,0.7067672,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
26320000,26320000,0.7074077,0.004636904,0.00031702564,0.70679045,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
26820000,26820000,0.7049519,0.06187427,-0.055611867,0.7043592,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
27320000,27320000,0.7050554,0.05127324,-0.045043286,0.7058605,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
27820000,27820000,0.7068204,0.014625629,-0.0062307306,0.70721436,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
28320000,28320000,0.7070713,-0.0075930897,0.01657508,0.7069073,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
28820000,28820000,0.70699626,-0.014507282,0.021518748,0.7067409,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
29320000,29320000,0.70707786,-0.012002844,0.018062236,0.70680314,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
29820000,29820000,0.7070929,-0.007373358,0.011047776,0.70699596,0.9999983,-3.334718e-10,-1.8688079e-10,-0.0019081781,3
