timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
704000,704000,6.8360433e-09,9.3071074e-05,0.0053483606,8.737334e-05,0.020344377,0.00015499818,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
716000,716000,6.6526975e-09,9.129481e-05,0.00544286,0.00028017344,0.037404202,0.00026007782,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
908000,908000,4.5542423e-09,7.045591e-05,0.0050438065,0.001073175,0.016637119,0.0053439285,512,0,0.6306472,1.7505515,0.0,nan,nan,0.0013621356,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1100000,1100000,3.1692322e-09,5.4992695e-05,0.0045499755,0.0003095369,0.008545315,0.005754224,512,0,1.216567,1.3252965,0.0,nan,nan,0.0018368624,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1304000,1304000,2.2606594e-09,4.6266658e-05,0.004432501,7.1277405e-05,0.016040388,0.014610491,512,0,0.9879884,1.1134752,0.0,nan,nan,0.0037402106,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1496000,1496000,1.7321774e-09,4.005972e-05,0.0042669913,0.00019600459,0.025316687,0.01904997,512,0,0.8688218,0.9491815,0.0,nan,nan,0.0009164662,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1708000,1708000,1.3447803e-09,3.51081e-05,0.0040271166,0.0006554286,0.034025837,0.029288672,512,0,0.77549475,0.87714016,0.0,nan,nan,0.0004255058,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1908000,1908000,1.0771978e-09,3.2854296e-05,0.0037459608,0.0017666833,0.04236622,0.039111048,512,0,0.7048017,0.8296956,0.0,nan,nan,0.0012388494,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2108000,2108000,9.101366e-10,2.9352035e-05,0.0039936192,0.00428105,0.056516275,0.050967604,512,0,0.67072695,0.80105704,0.0,nan,nan,0.0013878709,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2308000,2308000,8.695033e-10,2.8546172e-05,0.004432618,0.008779366,0.08365744,0.06799228,512,0,0.66239375,0.78660387,0.0,nan,nan,0.005758375,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2496000,2496000,9.2222147e-10,3.0158419e-05,0.0040534325,0.011555674,0.101073064,0.076836474,512,0,0.6530955,0.7803925,0.0,nan,nan,0.0001208326,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2708000,2708000,7.654328e-10,2.929977e-05,0.004466258,0.010404352,0.089034334,0.067250974,512,0,0.667966,0.76937824,0.0,nan,nan,0.0017321975,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2908000,2908000,7.2999606e-10,3.0410236e-05,0.004205741,0.0076647364,0.0623053,0.048397858,512,0,0.66212463,0.7802422,0.0,nan,nan,0.0010700426,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3108000,3108000,6.1169597e-10,2.940869e-05,0.003997269,0.0037090208,0.021798791,0.020089217,512,0,0.64886653,0.7950093,0.0,nan,nan,0.0021607457,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3308000,3308000,5.745553e-10,2.9016808e-05,0.0040244795,0.0005049808,0.021690654,0.014446754,512,0,0.6309789,0.81200415,0.0,nan,nan,0.00062850176,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3496000,3496000,6.057932e-10,2.9191333e-05,0.0045936136,0.0023670648,0.056329913,0.041268222,512,0,0.6005641,0.82574254,0.0,nan,nan,0.0033773235,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3708000,3708000,6.633589e-10,3.1588606e-05,0.004653572,0.0038557267,0.081859946,0.06464884,512,0,0.59204566,0.8239636,0.0,nan,nan,0.000645935,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3896000,3896000,6.297451e-10,3.0340607e-05,0.0049728407,0.0051350105,0.10159368,0.08290968,512,0,0.564173,0.8350605,0.0,nan,nan,0.0035371454,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4108000,4108000,6.5809846e-10,3.0250658e-05,0.00443722,0.006329383,0.11528568,0.09584421,512,0,0.5566845,0.85343254,0.0,nan,nan,0.004343935,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4308000,4308000,6.1289135e-10,2.9984585e-05,0.0043392484,0.0068738144,0.12158536,0.10254946,512,0,0.5412832,0.86583513,0.0,nan,nan,0.00027070538,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4508000,4508000,6.167529e-10,2.9985089e-05,0.0041481038,0.006740487,0.120213285,0.10282837,512,0,0.52712154,0.8763388,0.0,nan,nan,0.0027920932,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4708000,4708000,5.518056e-10,2.8902752e-05,0.0043801917,0.0060756765,0.109316856,0.0951269,512,0,0.5142197,0.85822296,0.0,nan,nan,0.0014167421,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4908000,4908000,6.1578537e-10,3.0093734e-05,0.004576997,0.0051835026,0.09434252,0.08310334,512,0,0.5021001,0.86477697,0.0,nan,nan,0.003666356,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5108000,5108000,6.368717e-10,3.2113712e-05,0.00439533,0.0048611653,0.083321415,0.072496235,512,0,0.4906596,0.8701789,0.0,nan,nan,0.0014265256,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5308000,5308000,6.3456845e-10,3.0951975e-05,0.0042935256,0.004534958,0.07321658,0.062508464,512,0,0.4798512,0.87432724,0.0,nan,nan,0.0029865792,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
