timestamp,saturation_status
996000,1533
1996000,1533
2996000,1533
4000000,1533
5000000,1533
5996000,1533
7000000,1533
8000000,1533
9000000,1533
10000000,1533
11000000,1533
12000000,1533
13000000,1529
14000000,1533
15000000,1533
15996000,1
17000000,1
18000000,1
19000000,1
20000000,3
21000000,1
22000000,1
23000000,3
24000000,3
25000000,3
26000000,3
27000000,3
28000000,3
29000000,3
30000000,3
30996000,3
32000000,1
32996000,3
34000000,1
35000000,3
36000000,3
37000000,3
37996000,3
39000000,1
39996000,3
41000000,1
42000000,1
43000000,3
44000000,3
45000000,3
46000000,3
46996000,3
48000000,3
49000000,3
50000000,3
50996000,3
52000000,1
53000000,1
54000000,3
55000000,3
55996000,1
57000000,1
58000000,3
59000000,3
60000000,3
61000000,3
61996000,3
63000000,3
63996000,3
65000000,3
66000000,3
67000000,3
68000000,3
69000000,3
70000000,3
71000000,3
72000000,3
73000000,1
74000000,1
74996000,3
76000000,1
77000000,1
78000000,1
79000000,1
80000000,1
81000000,1533
