timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
796000,1660411324618326,0,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.5447909,0,nan,nan,0,3,0,1,10
1996000,1660411325818326,0,473977419,85455939,488043,488043,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.5610224,0,nan,nan,0,3,0,1,10
2796000,1660411326617326,0,473977419,85455939,488041,488041,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.3461725,0,nan,nan,0,3,0,1,10
3996000,1660411327817326,0,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.525914,0,nan,nan,0,3,0,1,10
4796000,1660411328618326,0,473977419,85455939,488043,488043,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.90233517,0,nan,nan,0,3,0,1,10
5996000,1660411329817326,0,473977419,85455939,488043,488043,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,6.020513,0,nan,nan,0,3,0,1,10
6796000,1660411330618326,0,473977419,85455939,488043,488043,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.545489,0,nan,nan,0,3,0,1,10
7996000,1660411331818326,0,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.645442,0,nan,nan,0,3,0,1,10
8796000,1660411332618326,0,473977419,85455939,488041,488041,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.69319,0,nan,nan,0,3,0,1,10
9996000,1660411333818326,0,473977419,85455939,488043,488043,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.7942993,0,nan,nan,0,3,0,1,10
10996000,1660411334818326,0,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.1594222,0,nan,nan,0,3,0,1,10
11796000,1660411335618326,0,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.9004345,0,nan,nan,0,3,0,1,10
12996000,1660411336818326,0,473977419,85455939,488044,488044,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.6183702,0,nan,nan,0,3,0,1,10
13796000,1660411337618326,0,473977419,85455939,488043,488043,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.992615,0,nan,nan,0,3,0,1,10
14996000,1660411338818326,0,473977419,85455939,488043,488043,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.78629,0,nan,nan,0,3,0,1,10
15796000,1660411339618326,0,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,2.1720622,0,nan,nan,0,3,0,1,10
16996000,1660411340817326,0,473977419,85455939,488042,488042,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,6.1840506,0,nan,nan,0,3,0,1,10
17996000,1660411341817326,0,473977419,85455939,488044,488044,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,4.3989277,0,nan,nan,0,3,0,1,10
18796000,1660411342618326,0,473977419,85455939,488043,488043,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,2.2307053,0,nan,nan,0,3,0,1,10
19996000,1660411343817326,0,473977421,85455942,488117,488117,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.11,0.04,0.099999994,-0.17999999,1.1789699,0,nan,nan,0,3,0,1,10
20796000,1660411344618326,0,473977424,85455955,488380,488380,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,0.02,0.02,-0.48,0.7110471,0,nan,nan,0,3,0,1,10
21796000,1660411345618326,0,473977423,85455941,489025,489025,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.06,-0.03,-0.049999997,-0.58,4.172908,0,nan,nan,0,3,0,1,10
22996000,1660411346817326,0,473977418,85455923,489611,489611,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.11,-0.04,-0.099999994,-0.34,4.294906,0,nan,nan,0,3,0,1,10
23796000,1660411347618326,0,473977414,85455933,489766,489766,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,-0.04,0.0,-0.26,3.1943014,0,nan,nan,0,3,0,1,10
24996000,1660411348817326,0,473977411,85455912,490127,490127,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,0.0,0.03,-0.22,1.6395622,0,nan,nan,0,3,0,1,10
25796000,1660411349618326,0,473977412,85455898,490520,490520,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.14,0.02,-0.13,-0.42999998,4.9169416,0,nan,nan,0,3,0,1,10
26996000,1660411350817326,0,473977418,85455917,490578,490578,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.19,0.049999997,-0.19,0.17,4.9745374,0,nan,nan,0,3,0,1,10
27796000,1660411351618326,0,473977423,85455956,490302,490302,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.29,0.08,1.3,1.4399999,1.5056955,0,nan,nan,0,3,0,1,10
28996000,1660411352817326,0,473977430,85456108,488109,488109,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.07,0.0,0.06,-0.35,1.4934782,0,nan,nan,0,3,0,1,10
29796000,1660411353618326,0,473977432,85456146,488379,488379,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.61,0.02,0.61,-0.35,1.5280356,0,nan,nan,0,3,0,1,10
30996000,1660411354817326,0,473977436,85456240,489254,489254,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.69,0.04,0.69,-0.79999995,1.5058701,0,nan,nan,0,3,0,1,10
31796000,1660411355618326,0,473977438,85456316,489967,489967,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.59,-0.02,0.59999996,-0.81,1.608321,0,nan,nan,0,3,0,1,10
32996000,1660411356818326,0,473977425,85456304,490519,490519,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.22999999,-0.14,-0.19,0.04,4.0453243,0,nan,nan,0,3,0,1,10
