timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
504000,inf,0,1,1,1,0,0,1,1,0,1
1508000,inf,0,1,1,1,0,0,1,0,0,1
2508000,inf,0,1,1,1,0,0,1,0,0,1
3508000,inf,0,1,1,1,0,0,1,0,0,1
4508000,inf,0,1,1,1,0,0,1,0,0,1
5508000,inf,0,1,1,1,0,0,1,0,0,1
6508000,inf,0,1,1,1,0,0,1,0,0,1
6628000,inf,0,1,1,1,1,1,1,0,0,1
7628000,inf,0,1,1,1,1,1,1,0,0,1
8628000,inf,0,1,1,1,1,1,1,0,0,1
9628000,inf,0,1,1,1,0,0,1,0,0,1
10628000,inf,0,1,1,1,0,0,1,0,0,1
11628000,inf,0,1,1,1,0,0,1,0,0,1
12628000,inf,0,1,1,1,0,0,1,0,0,1
13628000,inf,0,1,1,1,0,0,1,0,0,1
14628000,inf,0,1,1,1,0,0,1,0,0,1
15628000,inf,0,1,1,1,0,0,1,0,0,1
15660000,inf,0,1,1,1,1,0,1,0,0,1
16360000,inf,0,1,0,0,1,0,1,0,0,1
16368000,inf,0,0,0,0,1,0,1,0,0,1
17368000,inf,0,0,0,0,1,0,0,0,0,1
18368000,inf,0,0,0,0,1,0,0,0,0,1
19368000,inf,0,0,0,0,1,0,0,0,0,1
20368000,inf,0,0,0,0,1,0,0,1,0,1
21360000,inf,0,0,0,0,0,0,0,1,0,1
22360000,inf,0,0,0,0,0,0,0,1,0,1
23360000,inf,0,0,0,0,0,0,0,0,0,1
24360000,inf,0,0,0,0,0,0,0,1,0,1
25360000,inf,0,0,0,0,0,0,0,1,0,1
26360000,inf,0,0,0,0,0,0,0,1,0,1
27360000,inf,0,0,0,0,0,0,0,1,0,1
28360000,inf,0,0,0,0,0,0,0,1,0,1
29360000,inf,0,0,0,0,0,0,0,1,0,1
30360000,inf,0,0,0,0,0,0,0,1,0,1
31364000,inf,0,0,0,0,0,0,0,0,0,1
32364000,inf,0,0,0,0,0,0,0,0,0,1
33364000,inf,0,0,0,0,0,0,0,1,0,1
34364000,inf,0,0,0,0,0,0,0,1,0,1
35364000,inf,0,0,0,0,0,0,0,1,0,1
36364000,inf,0,0,0,0,0,0,0,1,0,1
37364000,inf,0,0,0,0,0,0,0,0,0,1
38364000,inf,0,0,0,0,0,0,0,1,0,1
39364000,inf,0,0,0,0,0,0,0,1,0,1
40364000,inf,0,0,0,0,0,0,0,1,0,1
41364000,inf,0,0,0,0,0,0,0,1,0,1
42368000,inf,0,0,0,0,0,0,0,0,0,1
43368000,inf,0,0,0,0,0,0,0,0,0,1
44368000,inf,0,0,0,0,0,0,0,0,0,1
45368000,inf,0,0,0,0,0,0,0,1,0,1
46368000,inf,0,0,0,0,0,0,0,0,0,1
47368000,inf,0,0,0,0,0,0,0,1,1,1
48368000,inf,0,0,0,0,0,0,0,1,0,1
49368000,inf,0,0,0,0,0,0,0,1,0,1
50368000,inf,0,0,0,0,0,0,0,1,0,1
51368000,inf,0,0,0,0,0,0,0,1,0,1
52368000,inf,0,0,0,0,0,0,0,0,0,1
53368000,inf,0,0,0,0,0,0,0,0,0,1
54368000,inf,0,0,0,0,0,0,0,0,0,1
55368000,inf,0,0,0,0,0,0,0,1,0,1
56368000,inf,0,0,0,0,0,0,0,1,0,1
57368000,inf,0,0,0,0,0,0,0,0,1,1
58368000,inf,0,0,0,0,0,0,0,1,1,1
59368000,inf,0,0,0,0,0,0,0,0,0,1
60368000,inf,0,0,0,0,0,0,0,1,0,1
61368000,inf,0,0,0,0,0,0,0,1,0,1
62368000,inf,0,0,0,0,0,0,0,1,0,1
63368000,inf,0,0,0,0,0,0,0,1,0,1
64376000,inf,0,0,0,0,0,0,0,0,0,1
65376000,inf,0,0,0,0,0,0,0,0,0,1
66376000,inf,0,0,0,0,0,0,0,0,0,1
67376000,inf,0,0,0,0,0,0,0,1,0,1
68376000,inf,0,0,0,0,0,0,0,0,1,1
69376000,inf,0,0,0,0,0,0,0,1,0,1
70384000,inf,0,0,0,0,0,0,0,1,0,1
71384000,inf,0,0,0,0,0,0,0,1,0,1
72384000,inf,0,0,0,0,0,0,1,1,0,1
73384000,inf,0,0,0,0,0,0,1,1,0,1
74384000,inf,0,0,0,0,0,0,1,1,0,1
75384000,inf,0,0,0,0,0,0,1,1,0,1
76384000,inf,0,0,0,0,0,0,1,1,0,1
76732000,inf,0,0,0,0,1,1,1,1,0,1
77732000,inf,0,0,0,0,1,1,1,1,0,1
78384000,inf,0,1,0,0,1,1,1,0,0,1
78724000,inf,0,1,1,0,1,1,1,0,0,1
79064000,inf,0,1,1,1,1,1,1,0,0,1
79552000,inf,0,1,1,1,0,0,1,0,0,1
79572000,inf,0,1,1,1,1,1,1,0,0,1
80572000,inf,0,1,1,1,1,1,1,0,0,1
81572000,inf,0,1,1,1,1,1,1,0,0,1
