timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
648000,640000,0,nan,nan,-5.5172864e-06,1.1623613e-05,-8.4782135e-07,0.0,0.0,0.0,-0.0015851129,0.0030196346,-0.00026995072,-0.00027698107,-0.0013986622,0.003327827,0.0,-0.063227735,-0.045396365,-0.0502654,1.5544606,1.5544883,nan,0.1,0.70622146,3.5000029,7.071068,0.4500182,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
652000,652000,0,nan,nan,-2.586766e-05,4.2152195e-05,-9.948869e-06,0.0,0.0,0.0,-0.0017363655,0.0022124946,-0.0011136548,-0.0011313827,-0.0013986622,0.003327827,0.0,-0.00100781,-0.046338975,-0.06471208,1.5544456,1.5544883,nan,0.1,0.7097526,3.5000114,7.0710864,0.4500452,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
748000,748000,0,nan,nan,-0.00031258826,-7.643075e-05,0.0030482474,0.0,0.0,0.0,-0.0034838687,-0.0025446438,-0.003169606,-7.271813e-05,-0.0013986622,0.003327827,0.0,0.04675561,-0.06244305,-0.07896783,1.5543783,1.5544883,nan,0.113782905,0.9506728,2.4750743,7.07238,0.45057416,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
844000,844000,0,nan,nan,-0.00080866885,-0.00093511044,0.0045010922,0.0,0.0,0.0,-0.006053664,-0.010628587,0.0012913807,0.0056608203,-0.0013986622,0.003327827,0.0,0.045071132,-0.08979061,-0.07509167,1.5542824,1.5544883,nan,0.105511956,0.6306471,1.7505512,4.524313,0.45163003,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
940000,940000,0,nan,nan,-0.0013224409,-0.002503105,0.0053806445,0.0,0.0,0.0,-0.006275985,-0.021973105,0.0075311433,0.012047996,-0.0013986622,0.003327827,0.0,-0.057219934,-0.10478953,-0.07120433,1.554228,1.5544883,nan,0.1,0.89849234,1.56671,4.5310397,0.45323896,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1048000,1048000,1000000,47.3977419,8.5455939,-0.0019674257,-0.0055377814,0.0036398603,0.0,0.0,0.0,-0.0073778974,-0.033080664,0.005019992,0.006844109,-0.0013986622,0.003327827,0.0,-0.04764062,0.057109874,0.018046172,1.5539792,1.5544883,488.0358,0.1,0.6164159,1.3255785,2.7314897,0.45559064,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1144000,1144000,1000000,47.3977419,8.5455939,-0.0022019106,-0.008266838,0.005374528,0.0,0.0,0.0,-0.003955841,-0.034468416,0.007739092,0.010425649,-0.0013986622,0.003327827,0.0,-0.019193765,-0.1511059,0.027412483,1.5541055,1.5544883,488.0358,0.10115259,0.793279,1.1707036,2.7490523,0.45809582,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1252000,1252000,1000000,47.3977419,8.5455939,-0.0023255437,-0.011786615,0.007742341,0.0,0.0,0.0,-0.005236316,-0.0443161,0.007985006,0.011857919,-0.0013986622,0.003327827,0.0,-0.061417393,-0.0705419,0.1068189,1.5541028,1.5544883,488.0358,0.10275939,0.5798547,1.1139834,1.8513069,0.46168673,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1352000,1352000,1000000,47.3977419,8.5455939,-0.0021926365,-0.014575943,0.0138839455,0.0,0.0,0.0,-0.0038970378,-0.053909257,0.0062095197,0.014893415,-0.0013986622,0.003327827,0.0,-0.0076543614,-0.12045623,0.067828156,1.5542964,1.5544883,488.0358,0.11117907,0.7342982,1.0212305,1.9003683,0.4660954,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1452000,1452000,1000000,47.3977419,8.5455939,-0.0019022443,-0.018383201,0.01869734,0.0,0.0,0.0,-0.0022308358,-0.06005211,0.011080531,0.022551421,-0.0013986622,0.003327827,0.0,0.0171983,-0.13518244,0.033192273,1.554168,1.5544883,488.0358,0.10006678,0.9037784,0.9507922,1.9549818,0.47097543,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
