timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
700000,700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000,1000000,0.0,0.0,0.0,-0.004112405,0.001206432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06552124,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496000,1496000,0.0,0.0,0.0,-0.015271351,0.007430714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017364502,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996000,1996000,0.0,0.0,0.0,-0.072048016,0.0122577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026855469,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496000,2496000,0.0,0.0,0.0,-0.08715406,0.013120647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032348633,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2996000,2996000,0.0,0.0,0.0,-0.011890645,0.008097855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06011963,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3496000,3496000,0.0,0.0,0.0,0.022607872,-0.00010011716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062469482,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3996000,3996000,0.0,0.0,0.0,0.04177203,-0.0013410746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030670166,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4496000,4496000,0.0,0.0,0.0,0.057007756,-0.0017063139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050964355,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996000,4996000,0.0,0.0,0.0,0.03799867,-0.0079592755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011474609,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5496000,5496000,0.0,0.0,0.0,0.032874588,-0.013298839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040405273,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5996000,5996000,0.0,0.0,0.0,0.05334511,-0.014732882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027557373,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6496000,6496000,0.0,0.0,0.0,0.054615088,-0.012357282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04333496,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6996000,6996000,0.0,0.0,0.0,0.03454923,-0.0111179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07839966,0.0,0.0,nan,0.0,0.0,-0.006569028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7496000,7496000,-0.10017494,-0.0075911526,-0.055248864,-0.013887848,-0.0016125892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031829834,0.0,0.0,nan,0.0,0.0,-0.009661913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7996000,7996000,-0.13099739,-0.023322366,-0.0891819,-0.023413362,-0.0048237545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031829834,0.0,0.0,nan,0.0,0.0,0.004642725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8496000,8496000,-0.023096528,-0.025493536,-0.046527356,-0.0032340947,0.0012269206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014923096,0.0,0.0,nan,0.0,0.0,-0.014192104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8996000,8996000,0.038509328,-0.01748964,-0.012765065,0.003792288,-0.0055866456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010650635,0.0,0.0,nan,0.0,0.0,0.0073007345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9496000,9496000,0.08677685,-0.02187745,0.06251216,0.0052701514,-0.00659764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030059814,0.0,0.0,nan,0.0,0.0,-0.0022393465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9996000,9996000,0.09740469,-0.018781237,0.08729123,0.013423087,-0.0042732507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005584717,0.0,0.0,nan,0.0,0.0,-0.002302289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10496000,10496000,0.06173419,-0.01118671,0.114685446,-0.003805644,-0.002552268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07861328,0.0,0.0,nan,0.0,0.0,-0.013556838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10996000,10996000,-0.029487805,-0.016035534,0.111849196,-0.0178268,0.0041794395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10961914,0.0,0.0,nan,0.0,0.0,0.008002043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11496000,11496000,-0.07214159,-0.0054073776,0.10415097,-0.026926873,-0.0013055494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10635376,0.0,0.0,nan,0.0,0.0,-0.0135189295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11996000,11996000,-0.050021462,-0.026536508,0.10153001,-0.025389168,-0.0037827645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017547607,0.0,0.0,nan,0.0,0.0,0.016801119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12496000,12496000,-0.021647183,-0.0035375585,0.11863613,-0.029283155,0.0026495634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007507324,0.0,0.0,nan,0.0,0.0,0.0026261806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12996000,12996000,-0.003985896,-0.015637472,0.114691556,-0.017149333,0.0067794747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062438965,0.0,0.0,nan,0.0,0.0,0.012781382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13496000,13496000,0.018889591,-0.0020510042,0.15364115,-0.007029021,0.00831982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047180176,0.0,0.0,nan,0.0,0.0,0.017335773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13996000,13996000,-0.11269636,-0.019512143,0.09203291,-0.023457117,-0.0018584235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046661377,0.0,0.0,nan,0.0,0.0,0.005787134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14496000,14496000,-0.084486425,4.6883128e-05,0.09635833,-0.014742957,0.012025604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14324951,0.0,0.0,nan,0.0,0.0,-0.0052399635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14996000,14996000,-0.06646166,-0.006684958,0.15327282,-0.002303009,0.011116101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0753479,0.0,0.0,nan,0.0,0.0,-0.009953141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15496000,15496000,-0.12703231,-0.009652885,0.11622607,-0.01926909,0.0047841417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008880615,0.0,0.0,nan,0.0,0.0,0.009451747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15996000,15996000,-0.04543378,-0.0057117753,0.1397407,0.0073924325,0.007716897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05328369,0.0,0.0,nan,0.0,0.0,-0.019267082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16496000,16496000,-0.20306912,0.018557342,0.061225332,-0.015171925,0.01401854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018432617,0.0,0.0,nan,0.0,0.0,-0.009093046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16996000,16996000,-0.31603357,0.021560617,-0.02303109,-0.025487548,0.0129334135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15289307,0.0,0.0,nan,0.0,0.0,0.02093184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17496000,17496000,-0.097645566,0.02385691,0.030858064,-0.0018328975,0.01958108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058166504,0.0,0.0,nan,0.0,0.0,0.025885105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17996000,17996000,-0.082622655,0.038270466,-0.003000821,0.0018860954,0.0112737855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12667847,0.0,0.0,nan,0.0,0.0,0.009449363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18496000,18496000,-0.044682227,0.022010094,-0.027518488,0.020929946,0.0057267826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10317993,0.0,0.0,nan,0.0,0.0,0.0065333843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18996000,18996000,0.0064748307,0.012189505,-0.031814076,0.025163721,0.0035073431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0765686,0.0,0.0,nan,0.0,0.0,-0.009398222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19496000,19496000,0.0783214,-0.014490314,-0.05883497,0.023888774,0.0021130713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084350586,0.0,0.0,nan,0.0,0.0,0.018391013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19996000,19996000,0.077901796,-0.017953373,-0.012870312,0.016900316,0.010647025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056427002,0.0,0.0,nan,0.0,0.0,-0.01214087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20496000,20496000,0.083823994,-0.01882716,-0.015978098,0.025783554,0.013974603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07229614,0.0,0.0,nan,0.0,0.0,0.008569956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20996000,20996000,0.124593556,-0.010742335,0.028557062,0.03628034,0.0068361796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04525757,0.0,0.0,nan,0.0,0.0,-0.01727593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21496000,21496000,0.1442032,-0.008309469,0.013176054,0.034115195,0.0043952777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048828125,0.0,0.0,nan,0.0,0.0,-0.0018265247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21996000,21996000,0.13907048,-0.007131286,0.051308483,0.03619653,-0.0044110343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11172485,0.0,0.0,nan,0.0,0.0,-0.008327961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22496000,22496000,0.1519135,-0.0024217889,0.04492539,0.041660696,-0.009856891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108795166,0.0,0.0,nan,0.0,0.0,0.01526463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22996000,22996000,0.15207723,-0.019414576,0.030297264,0.044601977,-0.015650164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10748291,0.0,0.0,nan,0.0,0.0,0.014823794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23496000,23496000,0.14991933,-0.004744688,0.06298706,0.051917166,-0.0035920963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100860596,0.0,0.0,nan,0.0,0.0,-0.024455547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23996000,23996000,0.11948765,0.0013866313,0.07069142,0.047457457,-0.0011988059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08483887,0.0,0.0,nan,0.0,0.0,0.00525105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24496000,24496000,0.10424265,-0.0053666867,0.08185159,0.02968198,-0.0031905733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079193115,0.0,0.0,nan,0.0,0.0,0.020851731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24996000,24996000,0.05710961,-0.0011691581,0.061753817,0.025528103,0.00454849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043945312,0.0,0.0,nan,0.0,0.0,0.0034880638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25496000,25496000,0.029803239,0.021004386,0.06509862,0.0054119974,0.008035049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13800049,0.0,0.0,nan,0.0,0.0,0.010225534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25996000,25996000,0.0066041276,0.0147542395,0.08145913,0.00458695,0.011110922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15481567,0.0,0.0,nan,0.0,0.0,-0.012865782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26496000,26496000,0.0032532364,0.0101688085,0.0689988,-0.007771313,0.011442092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098846436,0.0,0.0,nan,0.0,0.0,-0.021392703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26996000,26996000,-0.01411356,0.016742215,0.102499284,-0.0054385513,0.015502158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12423706,0.0,0.0,nan,0.0,0.0,0.006078124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27496000,27496000,-0.010630142,0.026501775,0.07956406,-0.007277773,0.009495288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11395264,0.0,0.0,nan,0.0,0.0,0.019870758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27996000,27996000,-0.009876502,-0.004142463,0.050708048,-0.012257873,-0.00021351874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19631958,0.0,0.0,nan,0.0,0.0,0.0010707378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
