timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
208000,208000,-0.0015799967,-0.044170003,0.002147837,0.0,0.0,0.0,0.0,-1.0
212000,212000,0.007791003,-0.03851516,0.0045066075,0.0,0.0,0.0,0.0,-1.0
260000,260000,0.046011914,0.0414826,-0.0049816426,0.0,0.0,0.0,0.0,-1.0
308000,308000,0.103195496,-0.03129307,0.0032541193,0.0,0.0,0.0,0.0,-1.0
360000,360000,-0.006784236,0.027863106,-0.004182022,0.0,0.0,0.0,0.0,-1.0
408000,408000,-0.037033204,-0.012111454,0.004642068,0.0,0.0,0.0,0.0,-1.0
460000,460000,-0.0143490555,-0.0029285757,0.003089817,0.0,0.0,0.0,0.0,-1.0
508000,508000,0.012914743,0.0028512054,-0.004586714,0.0,0.0,0.0,0.0,-1.0
560000,560000,-0.001133723,-0.01439077,-0.0017001851,0.0,0.0,0.0,0.0,-1.0
604000,604000,-0.028346514,0.011574361,0.004321138,0.0,0.0,0.0,0.0,-1.0
660000,660000,0.008722058,-0.0075556454,-0.003884983,0.0,0.0,0.0,0.0,-1.0
708000,708000,-0.002127905,0.0074227327,0.001406354,0.0,0.0,0.0,0.0,-1.0
756000,756000,0.0049756193,-0.00074189267,-0.0009805068,0.0,0.0,0.0,0.0,-1.0
808000,808000,-0.0005781709,0.0006397805,0.0018813519,0.0,0.0,0.0,0.0,-1.0
860000,860000,-0.0026223625,-0.00040398998,-0.0017246701,0.0,0.0,0.0,0.0,-1.0
908000,908000,-0.003166903,0.0002224651,-0.00015180545,0.0,0.0,0.0,0.0,-1.0
960000,960000,0.0042576124,0.0015255198,0.00016949137,0.0,0.0,0.0,0.0,-1.0
1008000,1008000,-0.0022803566,0.0022546472,3.005307e-07,0.0,0.0,0.0,0.0,-1.0
1060000,1060000,-0.00082842057,0.0017397249,0.00069416105,0.0,0.0,0.0,0.0,-1.0
1108000,1108000,-5.6822897e-05,-0.00216719,-0.00037297935,0.0,0.0,0.0,0.0,-1.0
1156000,1156000,-0.0025084538,0.0004577629,0.001348245,0.0,0.0,0.0,0.0,-1.0
1208000,1208000,9.2314316e-05,7.174216e-05,2.3858203e-05,0.0,0.0,0.0,0.0,-1.0
1260000,1260000,-0.0007809981,0.001337463,0.00015343979,0.0,0.0,0.0,0.0,-1.0
1308000,1308000,0.0005478027,-0.0010643661,-0.00069783744,0.0,0.0,0.0,0.0,-1.0
1360000,1360000,0.0020448472,0.0047795535,0.0005994455,0.0,0.0,0.0,0.0,-1.0
1408000,1408000,0.0009933219,-0.0028337853,0.0011761105,0.0,0.0,0.0,0.0,-1.0
1460000,1460000,0.0009817202,0.0001582401,0.0002876038,0.0,0.0,0.0,0.0,-1.0
1508000,1508000,-0.00024807124,5.77005e-05,-0.00041279272,0.0,0.0,0.0,0.0,-1.0
1560000,1560000,0.00051467755,-0.002394647,-0.00017053557,0.0,0.0,0.0,0.0,-1.0
1608000,1608000,0.00056814816,0.0013479295,-0.00054293027,0.0,0.0,0.0,0.0,-1.0
1660000,1660000,-0.0011370647,0.0002731274,0.00036597034,0.0,0.0,0.0,0.0,-1.0
1708000,1708000,-0.0011685725,0.0017868764,-0.000474749,0.0,0.0,0.0,0.0,-1.0
1760000,1760000,-0.00029847678,0.001289559,0.0007912437,0.0,0.0,0.0,0.0,-1.0
1808000,1808000,0.0023154407,-0.0020096987,-0.0007180047,0.0,0.0,0.0,0.0,-1.0
1856000,1856000,-0.00019228415,0.0006271857,0.00043275655,0.0,0.0,0.0,0.0,-1.0
1908000,1908000,-0.002015216,0.001418866,2.7099803e-05,0.0,0.0,0.0,0.0,-1.0
1960000,1960000,0.0012402657,-0.00088263274,2.2190843e-05,0.0,0.0,0.0,0.0,-1.0
2008000,2008000,0.00020478129,0.0004998654,-0.0014743381,0.0,0.0,0.0,0.0,-1.0
2056000,2056000,-0.00024476598,0.0036463668,0.0002454612,0.0,0.0,0.0,0.0,-1.0
2108000,2108000,0.0006182673,-0.0005012315,0.00090174424,0.0,0.0,0.0,0.0,-1.0
2160000,2160000,0.00055684743,-0.000719685,-0.00010913208,0.0,0.0,0.0,0.0,-1.0
2208000,2208000,-0.00052068697,-0.0019265718,0.00021683893,0.0,0.0,0.0,0.0,-1.0
2260000,2260000,-0.0009420828,-0.0036638712,9.5517724e-05,0.0,0.0,0.0,0.0,-1.0
2308000,2308000,-0.00030275123,-0.0025152217,-0.0004316396,0.0,0.0,0.0,0.0,-1.0
2360000,2360000,0.00036948055,-0.003995177,0.00041372236,0.0,0.0,0.0,0.0,-1.0
2408000,2408000,0.0022293618,-0.0016491014,4.3160584e-05,0.0,0.0,0.0,0.0,-1.0
2460000,2460000,0.001913394,-7.023642e-05,0.0012927323,0.0,0.0,0.0,0.0,-1.0
2508000,2508000,0.00026339988,-0.001110493,0.0006595248,0.0,0.0,0.0,0.0,-1.0
2560000,2560000,0.00058922794,-0.0013016581,0.00038273094,0.0,0.0,0.0,0.0,-1.0
2608000,2608000,0.000756681,0.003491091,0.0012523112,0.0,0.0,0.0,0.0,-1.0
2660000,2660000,0.00026483965,0.00033213315,0.00049561745,0.0,0.0,0.0,0.0,-1.0
2708000,2708000,0.000248751,-0.0028954535,0.0007144061,0.0,0.0,0.0,0.0,-1.0
2760000,2760000,0.0024158545,0.0022868565,0.00030694256,0.0,0.0,0.0,0.0,-1.0
2808000,2808000,0.0008355581,0.001231705,0.00042365,0.0,0.0,0.0,0.0,-1.0
2860000,2860000,0.0023400318,0.003803122,-0.0011800601,0.0,0.0,0.0,0.0,-1.0
2908000,2908000,0.0042676744,0.00040087264,-0.0005426477,0.0,0.0,0.0,0.0,-1.0
2960000,2960000,0.0011022267,-0.00059689675,-0.0018010711,0.0,0.0,0.0,0.0,-1.0
3008000,3008000,0.0010247955,0.00043349087,0.00019076507,0.0,0.0,0.0,0.0,-1.0
3060000,3060000,0.0018700879,-0.001107479,0.001408408,0.0,0.0,0.0,0.0,-1.0
3104000,3104000,0.0025046698,0.002141256,6.593824e-05,0.0,0.0,0.0,0.0,-1.0
3160000,3160000,-0.0007255409,-2.6904261e-05,0.001280477,0.0,0.0,0.0,0.0,-1.0
3204000,3204000,0.0007682103,0.0023553765,0.000114300514,0.0,0.0,0.0,0.0,-1.0
3260000,3260000,0.0026806928,-3.031048e-05,0.00049811945,0.0,0.0,0.0,0.0,-1.0
3308000,3308000,0.0041137175,0.0030951698,0.0015910587,0.0,0.0,0.0,0.0,-1.0
3360000,3360000,0.0024242352,-0.0010904113,0.00088090915,0.0,0.0,0.0,0.0,-1.0
3408000,3408000,0.0021280053,-0.0037917832,0.00034429503,0.0,0.0,0.0,0.0,-1.0
3460000,3460000,0.000945985,0.0021729548,-0.0012862151,0.0,0.0,0.0,0.0,-1.0
3508000,3508000,0.0016744,0.00042089424,-0.00012594098,0.0,0.0,0.0,0.0,-1.0
3560000,3560000,0.0029592125,0.002061834,-0.00011923756,0.0,0.0,0.0,0.0,-1.0
3604000,3604000,0.00085350085,-9.830552e-05,0.0005525503,0.0,0.0,0.0,0.0,-1.0
3660000,3660000,0.0005273519,0.00066623837,-0.0006457543,0.0,0.0,0.0,0.0,-1.0
3704000,3704000,0.0028511372,-0.0011359946,-0.00025627678,0.0,0.0,0.0,0.0,-1.0
3760000,3760000,4.6313235e-06,-0.00064936234,-0.00012790116,0.0,0.0,0.0,0.0,-1.0
3808000,3808000,0.000486377,-0.0011377404,-0.0008103626,0.0,0.0,0.0,0.0,-1.0
3860000,3860000,0.0016540268,0.0027532827,0.0003507997,0.0,0.0,0.0,0.0,-1.0
3908000,3908000,0.0007534264,0.0017681612,-0.000539041,0.0,0.0,0.0,0.0,-1.0
