timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
4716000,4712000,0.70893174,-0.0017250177,0.0023611765,0.70527107,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
4720000,4716000,0.7089465,-0.0017117755,0.0023641835,0.7052562,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
5216000,5212000,0.7088041,-0.0014859134,0.0023413708,0.7054,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
5716000,5712000,0.70833987,-0.0012563881,0.002196001,0.70586705,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
6216000,6212000,0.70803684,-0.0013695306,0.0022239154,0.7061707,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
6712000,6708000,0.70805246,-0.0013155357,0.0019528555,0.706156,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
7216000,7212000,0.7079833,-0.0012224882,0.0024559135,0.70622385,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
7716000,7712000,0.70761424,-0.0011312866,0.0022722736,0.7065944,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
8216000,8212000,0.7071918,-0.00081069116,0.0017848179,0.70701915,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
8716000,8712000,0.70668113,-0.0010154451,0.0019868584,0.7075287,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
9216000,9212000,0.70645,-0.0012108108,0.0018186289,0.7077596,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
9716000,9712000,0.70625645,-0.0008794406,0.00152763,0.707954,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
10216000,10212000,0.7059686,-0.0006853766,0.0015113179,0.70824116,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
10716000,10712000,0.7056861,-0.00076380675,0.001444836,0.70852286,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
11216000,11212000,0.7053708,-0.00029092666,0.0016091457,0.70883673,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
11716000,11712000,0.7053264,-0.00024782764,0.0015026659,0.70888114,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
12212000,12208000,0.7050223,3.1629705e-05,0.0013708432,0.70918393,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
12716000,12712000,0.70469993,0.00042812762,0.0012283507,0.70950437,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
13216000,13212000,0.70460224,0.00054718385,0.0009975181,0.7096016,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
13716000,13712000,0.70443106,0.00077227247,0.0008285387,0.7097715,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
14212000,14208000,0.704139,0.0008564589,0.0008154247,0.7100613,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
14716000,14712000,0.7040108,0.0011221383,0.0008617958,0.7101879,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
15216000,15212000,0.70383084,0.0013493279,0.00074058416,0.71036595,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
15716000,15712000,0.7034786,0.001415721,0.0007941426,0.71071464,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
16216000,16212000,0.7031687,0.0012775664,0.00089439703,0.7110214,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
16712000,16708000,0.7030277,0.0013566837,0.0009878766,0.7111605,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
17216000,17212000,0.7029851,0.001286117,0.0010281204,0.71120274,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
17716000,17712000,0.70292693,0.0013554336,0.0011404664,0.71125996,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
18212000,18208000,0.70276606,0.0014498554,0.0011590733,0.7114186,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
18716000,18712000,0.7027763,0.0015473056,0.0012468719,0.7114082,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
19212000,19208000,0.70332915,0.0024910204,-0.0043122917,0.71084696,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
19712000,19708000,0.70919394,0.012944393,-0.010490648,0.7048166,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
20216000,20212000,0.7130437,-0.020605503,0.02493112,0.70037323,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
20712000,20708000,0.71227175,0.011938949,-0.007925454,0.7017576,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
21212000,21208000,0.70902634,0.00511411,-0.00044725457,0.7051634,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
21716000,21712000,0.7069745,-0.018681098,0.02364103,0.706597,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
22216000,22212000,0.70674115,0.04131387,-0.036746323,0.70530844,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
22712000,22708000,0.7079999,-0.020928128,0.02472114,0.7054694,0.99998236,-1.5224874e-10,6.8079445e-11,-0.0059531443,2
23212000,23208000,0.7221308,0.000903385,0.00046748816,0.69175583,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
23716000,23712000,0.7018787,0.035174966,-0.036825243,0.7104737,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
24216000,24212000,0.6982944,-0.03505536,0.031889204,0.7142403,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
24716000,24712000,0.7056905,0.0288092,-0.022253033,0.7075845,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
25212000,25208000,0.71032816,0.009857917,-0.006328623,0.7037732,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
25712000,25708000,0.7085068,-0.032302435,0.033826943,0.70415235,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
26212000,26208000,0.70480376,0.058559462,-0.057265542,0.7046582,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
26716000,26712000,0.7057173,-0.024441497,0.02395898,0.70766634,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
27212000,27208000,0.70619774,0.019865004,-0.01582631,0.70755905,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
27716000,27712000,0.7038557,0.06068126,-0.059886508,0.7052082,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
28212000,28208000,0.70434964,-0.05475624,0.055516567,0.70555747,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
28712000,28708000,0.70487976,0.055507157,-0.050505947,0.7053458,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
29212000,29208000,0.7066402,0.027075203,-0.027513808,0.70651937,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
29716000,29712000,0.705485,-0.053453524,0.053650837,0.70466685,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
30212000,30208000,0.70471346,0.06328171,-0.05727299,0.70433956,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
30712000,30708000,0.7072557,-0.00391697,0.0032956467,0.70693934,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
31216000,31212000,0.7072949,-0.022160592,0.023588048,0.70617735,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
31712000,31708000,0.7037129,0.0765369,-0.066051394,0.70325494,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
32212000,32208000,0.70586663,-0.040263288,0.03964012,0.70608777,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
32712000,32708000,0.7068607,0.023030948,-0.01928457,0.70671475,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
33212000,33208000,0.70670307,0.0391614,-0.040166523,0.7052828,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
33712000,33708000,0.7067614,-0.04774269,0.046043932,0.7043358,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
34216000,34212000,0.7060684,0.061525114,-0.06287916,0.70265806,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
34712000,34708000,0.70904875,-0.010650983,0.010415107,0.7050021,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
35216000,35212000,0.70657617,-0.04392532,0.026222643,0.7057855,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
35712000,35708000,0.7046031,0.04283183,-0.066071704,0.7052195,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
36216000,36212000,0.70619035,-0.03400194,0.029039247,0.70660865,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
36712000,36708000,0.7071049,0.0032809488,-0.012312342,0.7069939,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
37216000,37212000,0.7069143,0.022094933,-0.028860211,0.7063647,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
37712000,37708000,0.7065334,-0.047624163,0.039116498,0.7049911,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
38216000,38212000,0.7064991,0.045603883,-0.05922751,0.7037553,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
38716000,38712000,0.70821744,-0.014221238,0.014440846,0.7057035,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
39216000,39212000,0.7080124,-0.015389945,0.0057405806,0.706009,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
39716000,39712000,0.70688546,0.034992218,-0.045459207,0.7049979,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
40216000,40212000,0.70675796,-0.048160635,0.039257098,0.70472175,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
40712000,40712000,0.707217,0.02757762,-0.039103962,0.7053755,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
41216000,41216000,0.7080549,-0.0012341486,-0.0070273485,0.7061214,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
41712000,41712000,0.7075009,-0.03151279,0.02249922,0.705651,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
42216000,42216000,0.70588523,0.050713863,-0.059427753,0.7040047,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
42716000,42716000,0.70723957,-0.03691756,0.026299847,0.7055194,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
43212000,43212000,0.7093887,-0.0067695193,0.017713994,0.7045624,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
43712000,43712000,0.7092192,0.031680595,-0.027695112,0.7037312,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
44212000,44212000,0.7075926,-0.046987183,0.047783557,0.70343566,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
44712000,44712000,0.70676255,0.039738193,-0.04135824,0.70512205,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
45216000,45216000,0.7071899,0.0019385723,-0.002512558,0.7070165,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
45716000,45716000,0.7062537,-0.025980733,0.022767784,0.70711553,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
46216000,46216000,0.70455986,0.048579592,-0.051155884,0.7061293,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
46712000,46712000,0.7054747,-0.036935925,0.033132657,0.70699614,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
47216000,47216000,0.70599055,0.01233444,-0.014052895,0.7079745,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
47716000,47716000,0.7061471,0.01824324,-0.022543253,0.7074711,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
48212000,48212000,0.7055852,-0.04071604,0.03858846,0.7064013,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
48716000,48716000,0.7051369,0.047539122,-0.050220873,0.70569116,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
49212000,49212000,0.7068141,-0.01761549,0.017412817,0.7069656,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
49716000,49716000,0.70696694,-0.00476542,0.002519309,0.70722604,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
50212000,50212000,0.7063598,0.03426927,-0.038577814,0.7059697,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
50716000,50716000,0.70644397,-0.03859083,0.035705574,0.70581365,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
51216000,51216000,0.7052369,0.06753458,-0.04807334,0.70410866,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
51712000,51712000,0.70839006,0.0045679184,-0.0057839844,0.7057827,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
52212000,52212000,0.7079333,-0.019857321,0.028328577,0.7054316,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
52716000,52716000,0.70569605,0.06420603,-0.06102986,0.7029553,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
53212000,53212000,0.7077182,-0.03470196,0.036718212,0.70468616,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
53712000,53712000,0.70804566,0.015303842,-0.015432529,0.7058321,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
54212000,54212000,0.7065079,0.045348093,-0.043348234,0.7049192,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
54712000,54712000,0.7066229,-0.040964995,0.044060465,0.7050282,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
55216000,55216000,0.70542926,0.05541035,-0.051663868,0.70471984,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
55716000,55716000,0.7076327,-0.0033811661,0.0033242488,0.70656455,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
56216000,56216000,0.7073684,-0.010312481,0.01303834,0.7066496,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
56712000,56712000,0.7045211,0.062679335,-0.058351353,0.70449734,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
57216000,57216000,0.7065194,-0.03041155,0.035351656,0.7061556,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
57716000,57716000,0.70672387,0.03209764,-0.028783588,0.7061747,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
58216000,58216000,0.7069719,0.02913608,-0.02555507,0.7061791,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
58712000,58712000,0.7065637,-0.03342254,0.037050154,0.7058881,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
59216000,59216000,0.70108473,0.073622584,-0.111632496,0.7004271,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
59716000,59716000,0.7067242,-0.022889994,0.024879327,0.70668095,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
60216000,60216000,0.70643413,-0.028443608,0.029251555,0.70660186,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
60716000,60716000,0.70464456,0.045967855,-0.045907445,0.70658016,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
61216000,61216000,0.70464426,-0.029022299,0.029041512,0.70837194,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
61716000,61716000,0.70651174,-0.008640158,-0.022463668,0.70729196,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
62212000,62212000,0.66853446,0.0415236,-0.05884246,0.7401859,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
62712000,62712000,0.6506404,0.020973723,-0.03611886,0.7582365,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
63216000,63216000,0.6580083,0.001260189,-0.014042428,0.7528788,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
63712000,63712000,0.6712996,0.02010035,-0.02831696,0.7403722,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
64216000,64216000,0.6865607,0.00013297533,-0.009719515,0.72700757,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
64716000,64716000,0.69804966,0.006763744,-0.015649412,0.7158464,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
65212000,65212000,0.706224,0.013863171,-0.01999226,0.7075704,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
65712000,65712000,0.7122585,-0.0027018604,-0.0061452673,0.7018852,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
66216000,66216000,0.71595174,0.01723015,-0.025807573,0.69745994,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
66712000,66712000,0.71813667,-0.003585253,-0.0033882388,0.6958847,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
67212000,67212000,0.7191788,-0.0056981747,0.051015954,0.6929263,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
67712000,67712000,0.7192647,0.020459777,-0.00877811,0.6943794,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
68212000,68212000,0.71682924,0.021645145,-0.008453273,0.69686145,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
68712000,68712000,0.694773,0.011647475,0.009250464,0.7190753,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
69216000,69216000,0.7205328,0.017524956,0.014533874,0.69304705,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
69716000,69716000,0.76976025,0.02189336,0.015559828,0.6377678,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
70216000,70216000,0.80049956,0.052010033,0.034896534,0.5960519,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
70712000,70712000,0.8250694,0.05154524,0.03391695,0.56165224,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
71216000,71216000,0.83038133,0.049131196,0.031548865,0.5541278,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
71716000,71716000,0.83011466,0.052250117,0.033735048,0.55411345,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
72216000,72216000,0.8302247,0.050568625,0.03272991,0.5541649,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
72712000,72712000,0.8295394,0.062307555,0.040132854,0.5535084,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
73216000,73216000,0.8290722,0.066173874,0.04280223,0.55355984,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
73716000,73716000,0.8286893,0.06953977,0.04492949,0.553552,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
74212000,74212000,0.8287707,0.07035381,0.045400143,0.5532888,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
74712000,74712000,0.8287728,0.070544,0.045211893,0.5532766,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
75216000,75216000,0.8311987,0.018582411,0.010460716,0.5555664,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
75712000,75712000,0.83134073,0.01694074,0.008507836,0.55543965,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
76212000,76212000,0.8312603,-0.004983922,-0.006159883,0.5558269,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
76712000,76712000,0.8312821,0.0064472114,0.0022984166,0.5558087,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
77216000,77216000,0.8309989,-0.00048771568,-0.0016705793,0.55627126,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
77716000,77716000,0.83078104,-0.00044835042,-0.0019806295,0.5565958,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
78216000,78216000,0.83052254,-0.00034300887,-0.0020204326,0.55698144,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
78716000,78716000,0.83045673,-0.0003986377,-0.002164491,0.5570789,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
79216000,79216000,0.8303353,-0.00026500763,-0.002111891,0.55726016,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
79716000,79716000,0.830329,-0.000305858,-0.0019761417,0.5572699,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
80212000,80212000,0.8301533,-0.00013328936,-0.0018284864,0.5575322,0.99742943,6.914771e-10,-6.8567374e-13,-0.0716557,3
