timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
1000000,103.993164,129.99146,0,2,8683,1024000,0,3,253
2000000,158.42871,88.015945,0,58,7080,1024000,0,3,253
3000000,210.09473,75.03383,0,114,8262,1024000,0,3,253
4000000,263.9707,69.46597,0,171,8010,1024000,0,3,253
5000000,317.23535,66.0907,0,230,9262,1024000,0,3,253
6000000,378.18555,65.2044,0,290,10401,1024000,0,3,253
7000000,440.26758,64.74523,0,345,7645,1024000,0,3,253
8000000,502.91016,64.47566,0,399,7351,1024000,0,3,253
9000000,563.4209,64.02511,0,448,7837,1024000,0,3,253
10000000,621.2959,63.397537,0,508,11358,1024000,0,3,253
11000000,681.75586,63.12554,0,566,10995,1024000,0,3,253
12000000,741.1758,62.81151,0,632,11127,1024000,0,3,253
13000000,801.291,62.60086,0,696,10652,1024000,0,3,253
14000000,860.56055,62.359463,0,755,11089,1024000,0,3,253
15000000,924.8994,62.493202,0,817,7222,1024000,0,3,253
16000000,981.00195,62.088734,0,875,11192,1024000,0,3,253
17000000,1042.7256,62.066998,0,934,10832,1024000,0,3,253
18000000,1103.1348,61.97386,0,989,10977,1024000,0,3,253
19000000,1164.0107,61.915466,0,1058,10448,1024000,0,3,253
20000000,1224.1426,61.825382,0,1120,10629,1024000,0,3,253
21000000,1283.8828,61.725132,0,1182,11115,1024000,0,3,253
22000000,1344.2246,61.661682,0,1240,10760,1024000,0,3,253
23000000,1405.1758,61.630516,0,1304,10911,1024000,0,3,253
24000000,1469.8711,61.75929,0,1363,7049,1024000,0,3,253
25000000,1530.5059,61.713947,0,1414,7503,1024000,0,3,253
26000000,1588.333,61.563297,0,1472,10844,1024000,0,3,253
27000000,1652.081,61.644814,0,1536,7503,1024000,0,3,253
28000000,1713.5117,61.63711,0,1596,7049,1024000,0,3,253
29000000,1770.2354,61.466507,0,1669,11002,1024000,0,3,253
30000000,1835.0088,61.577477,0,1723,7460,1024000,0,3,253
31000000,1897.2314,61.598427,0,1784,7768,1024000,0,3,253
32000000,1958.9443,61.602024,0,1855,7315,1024000,0,3,253
33000000,2020.4512,61.59912,0,1910,9420,1024000,0,3,253
34000000,2084.4531,61.67021,0,1965,7614,1024000,0,3,253
35000000,2141.6816,61.542576,0,2032,11301,1024000,0,3,253
36000000,2203.0488,61.537674,0,2084,10914,1024000,0,3,253
37000000,2267.5498,61.6182,0,2146,7275,1024000,0,3,253
38000000,2328.1572,61.59146,0,2210,7497,1024000,0,3,253
39000000,2388.9346,61.57048,0,2271,7649,1024000,0,3,253
40000000,2445.963,61.456356,0,2328,10413,1024000,0,3,253
41000000,2506.1582,61.42544,0,2389,10750,1024000,0,3,253
42000000,2571.3213,61.514866,0,2442,7049,1024000,0,3,253
43000000,2631.5488,61.484787,0,2496,7594,1024000,0,3,253
44000000,2688.2559,61.3757,0,2557,10706,1024000,0,3,253
45000000,2748.9521,61.36054,0,2614,10809,1024000,0,3,253
46000000,2814.079,61.442772,0,2673,7227,1024000,0,3,253
47000000,2870.2842,61.33086,0,2735,10771,1024000,0,3,253
48000000,2930.4834,61.307186,0,2786,10926,1024000,0,3,253
49000000,2991.2607,61.296326,0,2853,10953,1024000,0,3,253
50000000,3051.0713,61.26649,0,2912,10794,1024000,0,3,253
51000000,3110.6885,61.234024,0,2980,11194,1024000,0,3,253
52000000,3170.9092,61.214462,0,3043,10705,1024000,0,3,253
53000000,3235.1338,61.271473,0,3096,7648,1024000,0,3,253
54000000,3297.046,61.283382,0,3156,7547,1024000,0,3,253
55000000,3354.6816,61.216816,0,3212,11214,1024000,0,3,253
56000000,3420.5654,61.300457,0,3266,7372,1024000,0,3,253
57000000,3479.539,61.259487,0,3318,11114,1024000,0,3,253
58000000,3542.038,61.280933,0,3372,10717,1024000,0,3,253
59000000,3607.8115,61.35734,0,3426,7155,1024000,0,3,253
60000000,3669.8066,61.368004,0,3480,7268,1024000,0,3,253
61000000,3726.3887,61.289288,0,3552,10770,1024000,0,3,253
62000000,3786.6084,61.27198,0,3601,11214,1024000,0,3,253
63000000,3852.624,61.34752,0,3663,7471,1024000,0,3,253
64000000,3914.1025,61.34957,0,3711,8197,1024000,0,3,253
65000000,3971.3604,61.286423,0,3772,10794,1024000,0,3,253
66000000,4035.833,61.33485,0,3823,7383,1024000,0,3,253
67000000,4092.245,61.261154,0,3884,10962,1024000,0,3,253
68000000,4152.798,61.250706,0,3943,11097,1024000,0,3,253
69000000,4217.5684,61.301865,0,4011,7155,1024000,0,3,253
70000000,4278.7764,61.30052,0,4070,7410,1024000,0,3,253
