timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
500000,500000,1310988,1310988,-1.0653306e-05,-0.00020026973,2.4501085e-05,-0.0040653544,-7.661406e-05,-0.023286007,4000,4000,0,0
1000000,1000000,1310988,1310988,-6.391616e-06,-7.9894846e-05,9.789958e-11,0.0009050083,-5.26717e-05,-0.042276815,4000,4000,0,0
1500000,1500000,1310988,1310988,1.1717905e-05,2.2370563e-05,6.3915713e-06,-0.00047405198,0.00023463246,-0.03849398,4000,4000,0,0
2000000,2000000,1310988,1310988,2.1305366e-06,4.261053e-06,2.1305314e-06,0.00038786067,-5.2671752e-05,-0.0395187,4000,4000,0,0
2500000,2500000,1310988,1310988,4.261057e-06,1.0652645e-05,-1.0652674e-06,0.000100556485,0.00012449917,-0.039217032,4000,4000,0,0
3000000,3000000,1310988,1310988,2.1305364e-06,5.3263198e-06,1.0652669e-06,-6.2249244e-05,-1.9152925e-05,-0.0393511,4000,4000,0,0
3500000,3500000,1310988,1310988,1.9174755e-05,-1.2783178e-05,-5.326337e-06,0.0002394202,-0.0002442079,-0.0390638,4000,4000,0,0
4000000,4000000,1310988,1310988,-1.3848434e-05,-4.6929596e-11,-2.0240028e-05,0.00021547818,-8.1402184e-05,-0.039020706,4000,4000,0,0
4500000,4500000,1310988,1310988,-5.3263175e-06,6.3915877e-06,4.261065e-06,-0.0004644752,-0.0001388629,-0.046251196,4000,4000,0,0
5000000,5000000,1310988,1310988,1.3848456e-05,1.8109486e-05,3.3421746e-12,0.00036870711,-0.00015801664,-0.039308008,4000,4000,0,0
5500000,5500000,1310988,1310988,-1.17178815e-05,7.456869e-06,-1.5978982e-05,0.0002346318,-0.00015322825,-0.03909732,4000,4000,0,0
6000000,6000000,1310988,1310988,-7.45684e-06,1.9174771e-05,5.3263057e-06,0.00017238254,0.00013886439,-0.039006334,4000,4000,0,0
6500000,6500000,1310988,1310988,-2.13053e-05,1.2783159e-05,1.0652464e-06,0.0002777274,-9.576127e-06,-0.039020706,4000,4000,0,0
7000000,7000000,1310988,1310988,1.0652597e-05,-1.5979003e-05,1.0652639e-05,4.3095635e-05,-0.00019632385,-0.0391883,4000,4000,0,0
7500000,7500000,1310988,1310988,-4.261061e-06,-1.0652532e-06,1.7044234e-05,8.140286e-05,-6.7036985e-05,-0.038968027,4000,4000,0,0
8000000,8000000,1310988,1310988,2.1305202e-06,1.0652583e-06,7.4568557e-06,0.000272939,-0.000105344196,-0.039226606,4000,4000,0,0
