timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
1516000,4000000.0,1.0,0.0,0.0,187,0,0.0,37,0,0,0,0,0.0,0,2,0,1,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1848000,4000000.0,1.0,0.0,0.0,236,0,0.0,54,0,0,0,0,0.0,0,2,0,1,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2848000,4000000.0,1.0,20834.662,0.0,397,0,2486.056,107,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3844000,4000000.0,1.0,13707.172,0.0,554,0,2498.008,159,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4840000,4000000.0,1.0,13568.726,0.0,712,0,2457.1714,211,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5832000,4000000.0,1.0,13556.773,0.0,869,0,2473.1077,263,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6832000,4000000.0,1.0,13589.642,0.0,1028,0,2476.0957,315,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7828000,4000000.0,1.0,13852.59,0.0,1371,0,2540.8367,367,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8824000,4000000.0,1.0,23051.793,0.0,1778,0,2500.996,418,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9724000,4000000.0,1.0,24234.064,0.0,2149,0,2476.0957,469,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10720000,4000000.0,1.0,24185.26,0.0,2559,0,2518.9243,519,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11720000,4000000.0,1.0,24487.053,0.0,3634,0,2476.0957,572,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12716000,4000000.0,1.0,48761.953,0.0,4043,0,2490.0398,624,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
13712000,4000000.0,1.0,24249.004,0.0,4450,0,2476.0957,676,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14712000,4000000.0,1.0,24222.111,0.0,4861,0,2476.0957,729,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
15708000,4000000.0,1.0,24197.21,0.0,5269,0,2520.9165,781,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
16704000,4000000.0,1.0,24148.406,0.0,5677,0,2540.8367,839,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
17704000,4000000.0,1.0,24325.697,0.0,6085,0,2566.7332,891,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
18704000,4000000.0,1.0,24383.467,0.0,6497,0,2477.0918,942,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19600000,4000000.0,1.0,24650.398,0.0,6866,0,2462.1514,990,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20596000,4000000.0,1.0,24098.605,0.0,7276,0,2477.0918,1042,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
21592000,4000000.0,1.0,24256.973,0.0,7682,0,2477.0918,1093,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
22592000,4000000.0,1.0,24180.28,0.0,8092,0,2477.0918,1145,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23588000,4000000.0,1.0,24331.674,0.0,8500,0,2477.0918,1197,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
24588000,4000000.0,1.0,24253.984,0.0,8910,0,2566.7332,1249,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
25584000,4000000.0,1.0,24257.969,0.0,9317,0,2477.0918,1301,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
26584000,4000000.0,1.0,24098.605,0.0,9727,0,2477.0918,1353,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
27584000,4000000.0,1.0,24694.225,0.0,10137,0,3253.9841,1431,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
28580000,4000000.0,1.0,24214.145,0.0,10548,0,4419.3228,1513,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
29580000,4000000.0,1.0,24383.467,0.0,10957,0,4419.3228,1595,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
30580000,4000000.0,1.0,24118.527,0.0,11367,0,4419.3228,1677,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
31576000,4000000.0,1.0,24302.79,0.0,11777,0,4419.3228,1759,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
32572000,4000000.0,1.0,24221.117,0.0,12184,0,4419.3228,1840,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
33568000,4000000.0,1.0,24375.498,0.0,12588,0,4548.8047,1922,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
34564000,4000000.0,1.0,24226.096,0.0,12997,0,4419.3228,2004,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
35560000,4000000.0,1.0,24301.793,0.0,13407,0,4289.841,2082,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
36456000,4000000.0,1.0,24451.195,0.0,13779,0,4444.223,2157,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
37456000,4000000.0,1.0,24337.65,0.0,14188,0,4419.3228,2239,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
38452000,4000000.0,1.0,24216.137,0.0,14597,0,4419.3228,2321,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
39448000,4000000.0,1.0,24410.36,0.0,15007,0,4444.223,2403,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
40448000,4000000.0,1.0,24097.61,0.0,15416,0,4419.3228,2485,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41444000,4000000.0,1.0,24300.797,0.0,15824,0,4548.8047,2567,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
42420000,4000000.0,1.0,24220.121,0.0,16228,0,4419.3228,2647,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
43420000,4000000.0,1.0,24645.42,0.0,16637,0,4289.841,2727,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
44396000,4000000.0,1.0,24561.754,0.0,17039,0,4444.223,2809,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
45292000,4000000.0,1.0,24293.826,0.0,17405,0,4444.223,2882,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
46292000,4000000.0,1.0,24174.303,0.0,17817,0,4419.3228,2964,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
47288000,4000000.0,1.0,24348.605,0.0,18225,0,4419.3228,3046,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
48288000,4000000.0,1.0,24230.08,0.0,18636,0,4444.223,3128,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
49280000,4000000.0,1.0,24314.742,0.0,19042,0,4548.8047,3210,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
50280000,4000000.0,1.0,24236.057,0.0,19453,0,4419.3228,3292,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
51268000,4000000.0,1.0,24208.168,0.0,19853,0,4289.841,3371,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
52260000,4000000.0,1.0,24709.164,0.0,20263,0,4419.3228,3451,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
53260000,4000000.0,1.0,24237.053,0.0,20671,0,4419.3228,3533,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
54260000,4000000.0,1.0,24341.635,0.0,21083,0,4419.3228,3615,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
55256000,4000000.0,1.0,24204.184,0.0,21492,0,4419.3228,3697,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
56252000,4000000.0,1.0,24300.797,0.0,21902,0,4419.3228,3779,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
57252000,4000000.0,1.0,24221.117,0.0,22311,0,4548.8047,3861,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
58996000,4000000.0,1.0,24374.502,0.0,23024,0,4419.3228,4004,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
59992000,4000000.0,1.0,24226.096,0.0,23430,0,4289.841,4084,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
60996000,4000000.0,1.0,24257.969,0.0,23844,0,4440.2393,4168,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
61996000,4000000.0,1.0,24450.2,0.0,24256,0,4460.1597,4252,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
62796000,4000000.0,1.0,24389.443,0.0,24586,0,4469.1235,4318,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
63796000,4000000.0,1.0,24259.96,0.0,24995,0,4419.3228,4398,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
64792000,4000000.0,1.0,24341.635,0.0,25404,0,4419.3228,4480,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
65784000,4000000.0,1.0,24184.264,0.0,25810,0,4419.3228,4562,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
66784000,4000000.0,1.0,24302.79,0.0,26222,0,4548.8047,4642,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
67784000,4000000.0,1.0,24220.121,0.0,26631,0,4289.841,4724,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
68776000,4000000.0,1.0,24524.9,0.0,27043,0,4444.223,4806,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
69920000,4000000.0,1.0,24508.965,0.0,27510,0,4419.3228,4900,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
70816000,4000000.0,1.0,24351.594,0.0,27882,0,4469.1235,4975,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
71716000,4000000.0,1.0,24098.605,0.0,28250,0,4419.3228,5050,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
72712000,4000000.0,1.0,24407.371,0.0,28660,0,4444.223,5132,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
73708000,4000000.0,1.0,24172.31,0.0,29067,0,4419.3228,5214,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
74708000,4000000.0,1.0,24391.436,0.0,29478,0,4548.8047,5292,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
75712000,4000000.0,1.0,24101.594,0.0,29888,0,1829.6813,5316,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
76704000,4000000.0,1.0,24259.96,0.0,30291,0,534.8606,5336,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
77700000,4000000.0,1.0,24518.926,0.0,30699,0,559.761,5358,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
78600000,4000000.0,1.0,24359.562,0.0,31072,0,559.761,5379,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
79500000,4000000.0,1.0,24231.076,0.0,31440,0,559.761,5400,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
80396000,4000000.0,1.0,24334.662,0.0,31812,0,559.761,5421,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
81396000,4000000.0,1.0,24077.69,0.0,32220,0,534.8606,5443,0,0,0,0,0.0,0,2,0,1,1,1,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
