timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
24000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
532000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1036000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1240000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1528000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2032000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2536000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3040000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3544000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4048000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4552000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5056000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5560000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6064000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6568000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7072000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7576000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8080000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8212000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
8236000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
8740000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
9244000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
9604000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
10108000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
10612000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
11116000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
11620000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
12124000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
12628000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
13132000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
13636000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
14140000,0,0,1,0,0,1,1,1,1,1,1,1,1,0
14632000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
15136000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
15640000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
16144000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
16648000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
17152000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
17656000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
18160000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
18664000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
19168000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
19672000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
20176000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
20680000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21184000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21688000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22192000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22696000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23200000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23704000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24208000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24712000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25216000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25720000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26224000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26704000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
26800000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26872000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
26968000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27004000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
27064000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27136000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
27328000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27400000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
27700000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27736000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
27796000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27832000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
27964000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28000000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
28036000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28072000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
28096000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28132000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
28432000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28468000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
28504000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28540000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
28564000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28600000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
28828000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28864000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
28972000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28996000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
29068000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29104000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
29464000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29500000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
30004000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
30064000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
30172000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
30304000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
30364000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
30568000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
30604000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
30772000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
