timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
4264000,4264000,0.7048375,-0.0003596349,0.0011317008,0.7093678,0.704936,-1.4719038e-13,1.1106721e-11,0.709271,1
4272000,4272000,0.70483446,-0.00038587864,0.0011332767,0.7093708,0.704936,-1.4719038e-13,1.1106721e-11,0.709271,1
4316000,4316000,0.70858437,-0.00045830663,0.0011546069,0.7056251,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
4364000,4364000,0.7082832,-0.0005284601,0.0011530815,0.7059274,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
4412000,4412000,0.70783854,-0.0006239585,0.0011344911,0.7063731,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
4464000,4464000,0.70730615,-0.00075233803,0.0010977803,0.70690614,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
4512000,4512000,0.7069195,-0.0008384677,0.0010735176,0.70729274,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
4560000,4560000,0.70671076,-0.0009023902,0.0010124041,0.70750135,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
4612000,4612000,0.7066307,-0.0010052652,0.00093657186,0.7075812,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
4660000,4660000,0.7066586,-0.0010687225,0.0009312875,0.70755327,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
4712000,4712000,0.70676506,-0.0011491001,0.00091987767,0.7074468,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
4764000,4764000,0.7070138,-0.0012755124,0.00085581257,0.7071982,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
4816000,4816000,0.7072858,-0.0013504351,0.00083240226,0.7069259,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
4860000,4860000,0.70744604,-0.0014813993,0.00081672,0.7067655,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
4916000,4916000,0.70772016,-0.001594265,0.0007561186,0.7064907,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
4960000,4960000,0.7078707,-0.0016807741,0.00067347987,0.7063397,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
5016000,5016000,0.70800436,-0.0018141356,0.0005808161,0.7062055,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
5064000,5064000,0.7080207,-0.0019280283,0.0004968419,0.706189,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
5116000,5116000,0.70790434,-0.0020718235,0.00036806523,0.7063052,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
5160000,5160000,0.7078425,-0.0021964938,0.00030109577,0.70636684,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
5212000,5212000,0.70776546,-0.0023763555,7.692642e-05,0.7064435,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
5260000,5260000,0.7077255,-0.0024561784,-5.6319048e-05,0.7064833,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
5312000,5312000,0.70769805,-0.0025343574,-0.00017156906,0.70651054,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
5360000,5360000,0.70770764,-0.0026853245,-0.00036548925,0.70650035,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
5416000,5416000,0.7076945,-0.002802278,-0.00058234355,0.70651287,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
5464000,5464000,0.7077494,-0.0029095965,-0.0007350849,0.70645726,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
5516000,5516000,0.7078132,-0.0029893124,-0.0008648173,0.7063929,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
5564000,5564000,0.70780826,-0.0031095913,-0.0009345951,0.70639724,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
5612000,5612000,0.7077846,-0.0032588297,-0.0011327306,0.70641994,0.9999859,6.8833154e-11,4.1679528e-11,-0.005324403,2
