timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
972000,972000,1310996,0.06749046,-0.03542064,-9.78314,11.827667,0,0,0,0,1
1972000,1972000,1310996,-0.089098915,0.18118392,-9.799704,11.827667,0,0,0,0,1
2972000,2972000,1310996,-0.07190211,-0.052941054,-9.749601,11.827667,0,0,0,0,1
3972000,3972000,1310996,0.085379384,-0.08284775,-9.8171835,11.827667,0,0,0,0,1
4972000,4972000,1310996,0.031640496,-0.06888453,-9.825484,11.827667,0,0,0,0,1
5972000,5972000,1310996,0.015280432,-0.10474198,-9.75957,11.827667,0,0,0,0,1
6972000,6972000,1310996,0.20958285,-0.08328305,-9.80486,11.827667,0,0,0,0,1
7972000,7972000,1310996,-0.010952313,-0.037007827,-9.770135,11.827667,0,0,0,0,1
8972000,8972000,1310996,0.044775493,-0.11208023,-9.788328,11.827667,0,0,0,0,1
9972000,9972000,1310996,0.019849421,-0.09546102,-9.792234,11.827667,0,0,0,0,1
10972000,10972000,1310996,-0.014521886,-0.13770832,-9.694427,11.827667,0,0,0,0,1
11972000,11972000,1310996,-0.0030925265,-0.087624006,-9.652687,11.827667,0,0,0,0,1
12972000,12972000,1310996,0.11105307,-0.14799789,-9.725106,11.827667,0,0,0,0,1
13972000,13972000,1310996,-0.14629623,-0.15453218,-9.652952,11.827667,0,0,0,0,1
14972000,14972000,1310996,0.01177092,0.061526023,-9.77262,11.827667,0,0,0,0,1
15972000,15972000,1310996,0.010664854,-0.020492312,-9.74702,11.827667,0,0,0,0,1
16972000,16972000,1310996,-0.0430101,0.057185113,-9.742784,11.827667,0,0,0,0,1
17972000,17972000,1310996,0.07007774,0.13721147,-9.788026,11.827667,0,0,0,0,1
18972000,18972000,1310996,-0.082528494,0.0051005855,-9.766765,11.827667,0,0,0,0,1
19972000,19972000,1310996,-0.12005589,0.037066836,-9.729231,11.827667,0,0,0,0,1
20972000,20972000,1310996,0.05400333,-0.15174681,-10.148274,11.826141,0,0,0,0,1
21972000,21972000,1310996,-0.11918244,-0.08761284,-9.556527,11.822113,0,0,0,0,1
22972000,22972000,1310996,-0.01530679,-0.023663249,-9.501334,11.818695,0,0,0,0,1
23972000,23972000,1310996,-0.036737613,0.0023575975,-9.535482,11.816406,0,0,0,0,1
24972000,24972000,1310996,0.025934216,0.001074787,-10.209678,11.813873,0,0,0,0,1
25972000,25972000,1310996,-0.012022707,-0.069606096,-9.20233,11.811066,0,0,0,0,1
26972000,26972000,1310996,-0.068016425,0.02468352,-9.712732,11.811218,0,0,0,0,1
27972000,27972000,1310996,0.06442632,-0.020953955,-9.689352,11.812073,0,0,0,0,1
28972000,28972000,1310996,-0.08505029,-0.05107186,-9.641608,11.812714,0,0,0,0,1
29972000,29972000,1310996,0.006805615,-0.040357687,-9.780359,11.813202,0,0,0,0,1
30972000,30972000,1310996,-0.06570547,0.032600354,-9.79294,11.813446,0,0,0,0,1
31972000,31972000,1310996,-0.032409932,-0.079429105,-9.77438,11.81366,0,0,0,0,1
32972000,32972000,1310996,-0.08790622,-0.051633254,-9.6673155,11.813843,0,0,0,0,1
33972000,33972000,1310996,-0.0805265,0.08576412,-9.706583,11.814026,0,0,0,0,1
34972000,34972000,1310996,0.02028413,0.028940687,-9.730565,11.814148,0,0,0,0,1
35972000,35972000,1310996,0.0060794405,-0.04406558,-9.78728,11.814209,0,0,0,0,1
36972000,36972000,1310996,-0.11637184,0.06536743,-9.74683,11.81427,0,0,0,0,1
37972000,37972000,1310996,0.04515523,-0.015092761,-9.709943,11.814301,0,0,0,0,1
38972000,38972000,1310996,-0.06751466,-0.05002519,-9.713744,11.814331,0,0,0,0,1
