timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
500000,500000,1311004,1311004,9.717948e-06,2.4776373e-05,2.06175e-05,-0.0003042667,-6.0765356e-05,-0.039219055,4000,4000,0,0
1000000,1000000,1311004,1311004,-6.685605e-07,2.1115493e-06,3.9957554e-06,-9.2747075e-07,-6.155951e-05,-0.039198317,4000,4000,0,0
1500000,1500000,1311004,1311004,1.542472e-05,-6.27854e-06,5.62125e-06,-0.00042719473,0.00017807532,-0.03916319,4000,4000,0,0
2000000,2000000,1311004,1311004,-3.8757867e-06,-2.2437284e-06,1.9706922e-05,0.00020791093,-9.393881e-05,-0.039207347,4000,4000,0,0
2500000,2500000,1311004,1311004,6.277888e-06,1.7725304e-05,-6.066591e-06,-0.00014138533,3.2490818e-05,-0.0393784,4000,4000,0,0
3000000,3000000,1311004,1311004,-1.9304346e-06,-1.4366292e-05,8.628193e-06,-0.00023718586,-1.0770111e-05,-0.039435394,4000,4000,0,0
3500000,3500000,1311004,1311004,1.1373298e-05,-7.780519e-06,-5.5236496e-06,0.00023587327,-0.00010743245,-0.039021097,4000,4000,0,0
3996000,3996000,1311004,1311004,-1.4051781e-05,-1.1441368e-05,-3.1583056e-06,0.0001243846,-0.00015927729,-0.039128616,4000,4000,0,0
4500000,4500000,1311004,1311004,-2.9063888e-06,2.5166025e-07,7.2444063e-06,-7.755503e-06,-0.00049491157,-0.03940073,4000,4000,0,0
5000000,5000000,1311004,1311004,8.809318e-06,9.014502e-06,8.523316e-06,0.00016971718,-0.0005509315,-0.03929303,4000,4000,0,0
5500000,5500000,1311004,1311004,-1.2005646e-05,1.443669e-05,-1.6362217e-05,4.0404022e-05,-0.00034016135,-0.0390965,4000,4000,0,0
6000000,6000000,1311004,1311004,9.561328e-07,3.3746994e-05,1.122435e-05,0.00014416709,-0.00012829088,-0.039025914,4000,4000,0,0
6500000,6500000,1311004,1311004,-1.3035544e-05,2.5296516e-05,-1.3070914e-05,0.00021040974,-0.00040114688,-0.03898632,4000,4000,0,0
7000000,7000000,1311004,1311004,-4.0950763e-06,-1.6801405e-05,3.3985016e-05,-5.0644976e-05,-0.00053714303,-0.039265677,4000,4000,0,0
7496000,7496000,1311004,1311004,-1.0544019e-05,1.6378838e-06,1.7159326e-05,-3.731212e-05,-0.00040633738,-0.038868066,4000,4000,0,0
8000000,8000000,1311004,1311004,2.7071435e-06,1.5908252e-05,1.0420706e-05,9.707849e-05,-0.00060704694,-0.039254412,4000,4000,0,0
8496000,8496000,1311004,1311004,7.1800696e-06,1.0084278e-06,-1.4953416e-05,-0.0001848956,-0.00021593085,-0.039230652,4000,4000,0,0
9000000,9000000,1311004,1311004,-1.9060983e-05,2.3283796e-05,3.6907882e-06,9.9375095e-05,-0.00015101832,-0.038912743,4000,4000,0,0
9500000,9500000,1311004,1311004,9.65291e-06,-8.004518e-06,-2.2800421e-05,-0.000120695055,-0.00040593525,-0.039032906,4000,4000,0,0
9996000,9996000,1311004,1311004,-1.6006355e-06,-5.466908e-06,2.5978528e-05,-9.010597e-05,-0.00025128163,-0.039002556,4000,4000,0,0
10500000,10500000,1311004,1311004,6.0471375e-06,-4.46547e-06,2.1184464e-05,7.2740215e-07,-0.0006668136,-0.038916305,4000,4000,0,0
10996000,10996000,1311004,1311004,2.0833408e-05,-6.65811e-06,1.8242037e-05,0.00015291055,-0.00030933128,-0.03892244,4000,4000,0,0
11500000,11500000,1311004,1311004,-4.761629e-06,-5.1669663e-06,-1.7077955e-05,4.0099538e-05,-0.00050221704,-0.03918705,4000,4000,0,0
11996000,11996000,1311004,1311004,-5.2311107e-06,2.4271906e-06,2.1559351e-06,0.00010223736,-0.00053308404,-0.0387884,4000,4000,0,0
12500000,12500000,1311004,1311004,1.5672427e-06,-1.2407166e-05,8.037918e-06,0.00020956027,-0.00035427642,-0.03892022,4000,4000,0,0
13000000,13000000,1311004,1311004,2.8636446e-06,-1.0596714e-05,6.1262836e-06,-0.00019681637,-0.00013559054,-0.039006583,4000,4000,0,0
13500000,13500000,1311004,1311004,8.804896e-06,8.276823e-06,-3.1092284e-07,0.00010150674,-0.00045230828,-0.038945016,4000,4000,0,0
14000000,14000000,1311004,1311004,1.0070735e-06,-1.1587891e-05,-1.4903381e-05,0.00012865185,-0.0005650991,-0.03875487,4000,4000,0,0
14500000,14500000,1311004,1311004,1.774344e-05,-1.9548195e-05,2.578095e-05,-0.0003200625,-0.00044070333,-0.03888604,4000,4000,0,0
15000000,15000000,1311004,1311004,-3.3232063e-05,-1.19586775e-05,1.4636218e-05,0.00013748171,0.00039590406,-0.039016463,4000,4000,0,0
15500000,15500000,1311004,1311004,1.1012095e-05,1.03181565e-05,7.449288e-06,0.00019410181,0.00017168344,-0.03882717,4000,4000,0,0
