timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
636000,632000,2.0597991e-10,1.3422616e-05,0.0002360297,6.796904e-05,0.00076567143,3.5056594e-06,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
648000,644000,2.0897452e-10,1.36029375e-05,0.00023410926,6.2291285e-05,0.0012457493,9.220346e-06,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
832000,824000,2.1308444e-10,1.4359942e-05,0.00022123288,0.0001754602,0.0014780068,0.0051748115,512,0,1.3338201,1.7503711,0.0,nan,nan,0.0006433118,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1028000,1028000,2.2482859e-10,1.5710748e-05,0.0013366078,7.008427e-05,0.0005235027,0.0011484926,67109376,0,1.2165855,1.3251052,8.8364824e-05,nan,nan,0.0037382562,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1232000,1232000,2.724129e-10,1.7526107e-05,0.00088376284,0.00015155964,0.0007407348,0.004328343,67109376,0,0.36428574,1.1131296,0.00033027295,nan,nan,0.0017626038,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1436000,1436000,2.9132527e-10,1.8009823e-05,0.0006048476,4.4290817e-05,0.0008943302,0.0014823646,67109376,0,0.29254833,0.9494051,0.0006779806,nan,nan,0.0051864977,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1636000,1636000,2.8588634e-10,1.8568011e-05,0.0004380682,0.00010097102,0.0012718178,0.0045535904,67109376,0,0.23541583,0.8762592,0.0005047862,nan,nan,0.00055555685,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1836000,1836000,2.7031982e-10,1.7837096e-05,0.0003447951,0.00027385086,0.0016194757,0.0017341648,67109376,0,0.21747679,0.8284274,0.0004868574,nan,nan,0.0011203123,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2036000,2036000,2.6279232e-10,1.7559973e-05,0.00028273623,0.00032502634,0.0023316056,0.0044197,67109376,0,0.21375388,0.7991491,0.0005940568,nan,nan,0.0020350625,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2236000,2236000,2.54333e-10,1.7287508e-05,0.00024503862,0.0002893074,0.0023485583,0.0064416835,67109376,0,0.20595111,0.7843,0.0012229728,nan,nan,0.0052727284,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
