timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
968000,968000,197644,0.01060853,-0.21466516,0.43265793,11.827667,0,0
1960000,1960000,197644,0.008019271,-0.21582139,0.43230644,11.827667,0,0
2960000,2960000,197644,0.00748943,-0.21096535,0.4262619,11.827667,0,0
3960000,3960000,197644,0.010364055,-0.21849233,0.4290387,11.827667,0,0
4960000,4960000,197644,-0.002647196,-0.21813855,0.4313399,11.827667,0,0
5964000,5964000,197644,0.01277886,-0.20840901,0.43379772,11.827667,0,0
6964000,6964000,197644,0.009796205,-0.21222584,0.4296476,11.827667,0,0
7964000,7964000,197644,0.0036165596,-0.21557108,0.4293535,11.827667,0,0
8964000,8964000,197644,0.0069483644,-0.22002356,0.43000045,11.827667,0,0
9968000,9968000,197644,0.0069225263,-0.22053021,0.42909288,11.827667,0,0
10968000,10968000,197644,0.009076743,-0.21779585,0.42172378,11.827667,0,0
11968000,11968000,197644,0.016271858,-0.21731372,0.42320487,11.827667,0,0
12960000,12960000,197644,0.009377536,-0.22367226,0.43250397,11.827667,0,0
13960000,13960000,197644,0.013294179,-0.22082208,0.42623222,11.827667,0,0
14960000,14960000,197644,0.010954002,-0.22270271,0.42254308,11.827667,0,0
15960000,15960000,197644,0.013622822,-0.21611467,0.4407644,11.827667,0,0
16964000,16964000,197644,0.008309477,-0.21169333,0.42382112,11.827667,0,0
17964000,17964000,197644,0.013171682,-0.21547258,0.42164338,11.827667,0,0
18964000,18964000,197644,0.008372898,-0.20791887,0.42664182,11.827667,0,0
19964000,19964000,197644,0.012955395,-0.2314677,0.41929066,11.827667,0,0
20968000,20968000,197644,0.0096937595,-0.22170065,0.4277753,11.826996,0,0
21968000,21968000,197644,0.018021984,-0.21105322,0.422775,11.824829,0,0
22968000,22968000,197644,0.011131907,-0.17881623,0.4461888,11.821716,0,0
23960000,23960000,197644,0.015267195,-0.21159735,0.4202832,11.818573,0,0
24960000,24960000,197644,0.013917735,-0.22834298,0.4222935,11.816528,0,0
25960000,25960000,197644,0.014624827,-0.22200584,0.42706975,11.814453,0,0
26960000,26960000,197644,0.011179006,-0.21689625,0.4196369,11.811462,0,0
27964000,27964000,197644,0.011002851,-0.2172369,0.43556625,11.811188,0,0
28964000,28964000,197644,0.010535145,-0.21715966,0.4290731,11.811951,0,0
29964000,29964000,197644,0.016372124,-0.21685128,0.429299,11.812622,0,0
30952000,30952000,197644,0.018307535,-0.209804,0.43252584,11.81308,0,0
31968000,31968000,197644,0.0027409277,-0.21351796,0.43568623,11.813446,0,0
32968000,32968000,197644,0.016540345,-0.21956256,0.43504024,11.813721,0,0
33968000,33968000,197644,0.018114327,-0.21969315,0.42566782,11.813934,0,0
34960000,34960000,197644,0.02427059,-0.21562843,0.430096,11.814117,0,0
35960000,35960000,197644,0.019109081,-0.21079804,0.42845607,11.814209,0,0
36960000,36960000,197644,0.014228625,-0.21740064,0.42753732,11.8142395,0,0
37960000,37960000,197644,0.0058794073,-0.21324012,0.43193725,11.81427,0,0
38964000,38964000,197644,0.019622572,-0.2248431,0.42651972,11.814331,0,0
39964000,39964000,197644,0.014620321,-0.21072853,0.4316252,11.814423,0,0
40964000,40964000,197644,0.019004116,-0.2228574,0.430936,11.814514,0,0
41964000,41964000,197644,0.016486809,-0.21957864,0.4293662,11.814728,0,0
42964000,42964000,197644,0.012945139,-0.2152581,0.42857265,11.81488,0,0
43968000,43968000,197644,0.01987866,-0.21996185,0.4226034,11.815002,0,0
44956000,44956000,197644,0.014980054,-0.21264657,0.4269917,11.815033,0,0
45960000,45960000,197644,0.020539137,-0.20907064,0.42859247,11.814972,0,0
46960000,46960000,197644,0.011495875,-0.20901215,0.4339776,11.814911,0,0
47960000,47960000,197644,0.010819668,-0.21209961,0.42757705,11.81488,0,0
48960000,48960000,197644,0.007902587,-0.21301332,0.427766,11.814819,0,0
49964000,49964000,197644,0.018328754,-0.22132427,0.42799982,11.814697,0,0
50964000,50964000,197644,0.019783715,-0.21280134,0.42645663,11.814636,0,0
51964000,51964000,197644,0.018068148,-0.21912448,0.42861253,11.814606,0,0
52964000,52964000,197644,0.0064575686,-0.21251516,0.42998594,11.814606,0,0
53968000,53968000,197644,0.01299421,-0.21408363,0.43316397,11.814545,0,0
54968000,54968000,197644,0.013785888,-0.21529737,0.4350272,11.814362,0,0
55968000,55968000,197644,0.015082049,-0.2103243,0.42748138,11.814209,0,0
56968000,56968000,197644,0.017686298,-0.21955319,0.4313371,11.814087,0,0
57960000,57960000,197644,0.013759922,-0.21959276,0.42931825,11.813934,0,0
58960000,58960000,197644,0.013782933,-0.2203108,0.41994724,11.813812,0,0
59960000,59960000,197644,0.015047771,-0.22177763,0.43088818,11.813751,0,0
60964000,60964000,197644,0.0145130325,-0.21553665,0.42464867,11.813873,0,0
61964000,61964000,197644,0.011648004,-0.21260369,0.43177557,11.813995,0,0
