timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
396000,1659373825857208,473977420,85455939,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,6.1823053,0,nan,nan,3,0,1,10,0
796000,1659373826258208,473977420,85455939,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.5526448,0,nan,nan,3,0,1,10,0
1196000,1659373826657208,473977420,85455940,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,2.8260372,0,nan,nan,3,0,1,10,0
1596000,1659373827058208,473977419,85455939,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,2.332458,0,nan,nan,3,0,1,10,0
1996000,1659373827458208,473977419,85455939,488049,488049,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.5598006,0,nan,nan,3,0,1,10,0
2396000,1659373827858208,473977420,85455940,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.3051572,0,nan,nan,3,0,1,10,0
2796000,1659373828257208,473977419,85455940,488047,488047,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.3419837,0,nan,nan,3,0,1,10,0
3196000,1659373828658208,473977419,85455940,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.7837265,0,nan,nan,3,0,1,10,0
3596000,1659373829058208,473977419,85455939,488049,488049,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,4.423886,0,nan,nan,3,0,1,10,0
3996000,1659373829457208,473977420,85455939,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.4170055,0,nan,nan,3,0,1,10,0
4396000,1659373829857208,473977420,85455939,488049,488049,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,3.2920399,0,nan,nan,3,0,1,10,0
4796000,1659373830258208,473977420,85455939,488049,488049,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.890816,0,nan,nan,3,0,1,10,0
5196000,1659373830658208,473977420,85455939,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.7160077,0,nan,nan,3,0,1,10,0
5596000,1659373831056208,473977420,85455939,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.5782003,0,nan,nan,3,0,1,10,0
5796000,1659373831258208,473977419,85455940,488049,488049,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,5.941624,0,nan,nan,3,0,1,10,0
6196000,1659373831658208,473977419,85455939,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.9035764,0,nan,nan,3,0,1,10,0
6596000,1659373832058208,473977420,85455939,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.176922,0,nan,nan,3,0,1,10,0
6996000,1659373832457208,473977420,85455939,488047,488047,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.4425147,0,nan,nan,3,0,1,10,0
7396000,1659373832857208,473977419,85455940,488049,488049,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.529653,0,nan,nan,3,0,1,10,0
7796000,1659373833258208,473977420,85455940,488049,488049,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,5.8819337,0,nan,nan,3,0,1,10,0
8196000,1659373833657208,473977419,85455939,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.08362,0,nan,nan,3,0,1,10,0
8596000,1659373834058208,473977419,85455940,488049,488049,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,3.5074134,0,nan,nan,3,0,1,10,0
8996000,1659373834458208,473977420,85455939,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.0674434,0,nan,nan,3,0,1,10,0
9396000,1659373834857208,473977420,85455940,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,0.18936822,0,nan,nan,3,0,1,10,0
9796000,1659373835258208,473977419,85455940,488050,488050,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.5984926,0,nan,nan,3,0,1,10,0
10196000,1659373835657208,473977419,85455940,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6.220528,0,nan,nan,3,0,1,10,0
10596000,1659373836058208,473977419,85455939,488049,488049,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,5.4122663,0,nan,nan,3,0,1,10,0
10996000,1659373836458208,473977419,85455940,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.1684979,0,nan,nan,3,0,1,10,0
11396000,1659373836857208,473977419,85455940,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.4421655,0,nan,nan,3,0,1,10,0
11796000,1659373837258208,473977420,85455940,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.9826393,0,nan,nan,3,0,1,10,0
12196000,1659373837657208,473977419,85455940,488047,488047,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.6262703,0,nan,nan,3,0,1,10,0
12596000,1659373838058208,473977419,85455939,488049,488049,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.79813904,0,nan,nan,3,0,1,10,0
12996000,1659373838458208,473977419,85455940,488050,488050,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.52272606,0,nan,nan,3,0,1,10,0
13396000,1659373838857208,473977419,85455939,488050,488050,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.8580775,0,nan,nan,3,0,1,10,0
13596000,1659373839058208,473977420,85455939,488049,488049,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.62098813,0,nan,nan,3,0,1,10,0
13996000,1659373839458208,473977420,85455939,488049,488049,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.3312361,0,nan,nan,3,0,1,10,0
14396000,1659373839857208,473977419,85455939,488048,488048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.01,1.375843,0,nan,nan,3,0,1,10,0
