timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
636000,632000,0,nan,nan,1.0703943e-06,7.617937e-07,-1.5569748e-07,0.0,0.0,0.0,0.0003991899,0.00035444353,-0.00010868169,-0.00010660778,0.00016209914,3.1528118e-05,0.0,0.06345698,0.08444411,-0.032325335,1.5804479,1.5804502,nan,0.10000246,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
644000,644000,0,nan,nan,6.4915844e-06,9.062486e-06,-1.2742524e-06,0.0,0.0,0.0,0.0003659234,0.0008593773,-7.973556e-05,-7.5730364e-05,0.00016209914,3.1528118e-05,0.0,-0.016379114,0.018502776,1.7631926e-05,1.5803847,1.5804502,nan,0.100008056,0.7097526,3.5000114,7.071086,0.450045,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
728000,728000,0,nan,nan,-4.582218e-05,7.433197e-05,0.001837713,0.0,0.0,0.0,-0.000507492,0.00023407157,-0.0007804723,0.0011040961,0.00016209914,3.1528118e-05,0.0,-0.0029776536,0.03376928,-0.06941619,1.5803179,1.5804502,nan,0.11406331,0.90485734,2.4749975,7.0720973,0.4504732,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
836000,836000,0,nan,nan,-0.00024005836,0.00017910711,0.0039179665,0.0,0.0,0.0,-0.001626366,0.002531104,0.00034142903,0.0041045174,0.00016209914,3.1528118e-05,0.0,-0.0311,0.022581875,-0.04666491,1.5802102,1.5804502,nan,0.10476682,0.6306471,1.7504698,4.5242877,0.451623,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
932000,932000,0,nan,nan,-0.00031018496,0.00039257488,0.004250977,0.0,0.0,0.0,0.00017887056,0.003145845,0.0033717814,0.006949299,0.00016209914,3.1528118e-05,0.0,-0.02118471,0.013610435,0.0012097247,1.5801872,1.5804502,nan,0.1,0.89848995,1.5665957,4.5309753,0.45323643,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1028000,1028000,0,nan,nan,-0.00032267082,0.0006342745,0.0017655259,0.0,0.0,0.0,-0.0005918995,0.00363858,0.0033078806,0.0038128905,0.00016209914,3.1528118e-05,0.0,0.031133741,-0.01831957,0.009546924,1.5799761,1.5804502,nan,0.1,1.2165855,1.3251052,4.5411615,0.45525953,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1136000,1136000,0,nan,nan,-0.000107858206,0.00087518955,0.0029338647,0.0,0.0,0.0,0.0030788963,0.0034598522,0.007302162,0.008232581,0.00016209914,3.1528118e-05,0.0,-0.01660356,-0.047499176,0.057442047,1.580074,1.5804502,nan,0.101118736,0.23004986,1.1704577,1.8974195,0.45808008,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1232000,1232000,1200000,47.397742,8.545594,0.00026571975,0.0010911725,0.0047441483,0.0,0.0,0.0,0.0033021106,0.003930994,0.009370823,0.011132987,0.00016209914,3.1528118e-05,0.0,-0.003304836,-0.01566327,0.0442955,1.5800762,1.5804502,488.05234,0.103081234,0.36428568,1.1131296,1.9293665,0.46120515,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1336000,1336000,1200000,47.397742,8.545594,0.0005752052,0.0012176946,0.010088594,0.0,0.0,0.0,0.0038067878,0.0041650394,0.0090076495,0.014758077,0.00016209914,3.1528118e-05,0.0,0.055419732,2.3127868e-06,0.047918346,1.5803362,1.5804502,488.05234,0.111841895,0.20041513,1.0200913,1.0001976,0.46550706,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1436000,1436000,1200000,47.397742,8.545594,0.0010876665,0.0013026745,0.015744945,0.0,0.0,0.0,0.005706859,0.004298026,0.0105421115,0.020105237,0.00016209914,3.1528118e-05,0.0,0.0033894395,-0.0054125823,0.04190107,1.5802768,1.5804502,488.05234,0.10022992,0.2925483,0.9494051,1.0790007,0.47030097,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
