timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6996000,6996000,0.71055835,-0.0016118299,0.00089930877,0.70363593,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
7000000,7000000,0.71055794,-0.0016146429,0.00088222243,0.70363635,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
7496000,7496000,0.7086257,-0.0021279007,0.00045349097,0.70558137,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
7996000,7996000,0.7077105,-0.0024517397,9.263154e-05,0.7064983,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
8492000,8492000,0.7070287,-0.0028447008,-0.0010774649,0.70717835,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
8996000,8996000,0.70659286,-0.0028497102,-0.0016193232,0.7076128,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
9496000,9496000,0.70633936,-0.002926785,-0.0019979442,0.7078645,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
9996000,9996000,0.70615405,-0.003043882,-0.002245779,0.7080482,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
10496000,10496000,0.7060607,-0.0032188578,-0.0022436988,0.70814055,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
10996000,10996000,0.7057499,-0.0028817991,-0.0021960125,0.70845175,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
11496000,11496000,0.7056901,-0.0025485544,-0.0022524612,0.7085125,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
11996000,11996000,0.7054714,-0.0021706517,-0.0021200965,0.70873195,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
12492000,12492000,0.7051819,-0.000894833,-0.0012967064,0.7090248,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
12992000,12992000,0.70507354,0.00037165952,-0.0005993372,0.7091339,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
13492000,13492000,0.70476913,0.0018784776,0.0005196107,0.70943403,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
13996000,13996000,0.70423275,0.0033176527,0.0014673906,0.7099599,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
14492000,14492000,0.7041604,0.0043477183,0.002351026,0.7100238,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
14996000,14996000,0.7039626,0.0051347986,0.0030292966,0.710212,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
15496000,15496000,0.70350456,0.005610061,0.003309436,0.710661,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
15996000,15996000,0.7031068,0.0059620026,0.003865743,0.71104884,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
16496000,16496000,0.70265925,0.006246992,0.004267606,0.71148634,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
16996000,16996000,0.70260173,0.0064409077,0.0046160524,0.71153927,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
17496000,17496000,0.70233965,0.006436944,0.004887975,0.71179616,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
17996000,17996000,0.7022743,0.006699167,0.0052118734,0.7118559,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
18496000,18496000,0.7020642,0.0064640455,0.005094255,0.7120661,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
18996000,18996000,0.70204014,0.00640384,0.005299921,0.7120889,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
19496000,19496000,0.7020096,0.0063699516,0.0054492434,0.71211815,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
19996000,19996000,0.70160025,-0.018599616,-0.020352315,0.7120372,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
20496000,20496000,0.7180461,-0.01573487,-0.016318804,0.69562626,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
20996000,20996000,0.71852523,-0.008489167,-0.0050009326,0.6954311,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
21496000,21496000,0.70888484,-0.0040822336,-0.00023732043,0.7053125,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
21996000,21996000,0.7074399,-0.0015598175,0.0005164893,0.7067717,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
22496000,22496000,0.70757884,-0.000517907,0.0009055159,0.7066337,0.99997485,1.3953843e-11,-1.8053205e-10,-0.0071033975,2
