timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
704000,704000,0,nan,nan,2.684742e-06,-1.2377156e-07,7.3106753e-07,0.0,0.0,0.0,0.00085653225,-0.00010350205,0.00032845623,0.00032907125,0.00057904294,4.9600025e-05,0.0,0.07835046,-0.039360423,0.080727905,1.578595,1.5785642,nan,0.100002035,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
992000,992000,0,nan,nan,0.0002054979,0.0011223566,-0.0058649825,0.0,0.0,0.0,0.0006751079,0.0055807475,0.0020161055,-0.003632525,0.00057904294,4.9600025e-05,0.0,-0.027275626,-0.07178479,-0.022615368,1.5782788,1.5785642,nan,0.1,0.86123323,1.566521,4.5299587,0.45299843,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1492000,1492000,1000000,47.3977419,8.5455939,0.0016443867,0.0032030374,0.010064221,0.0,0.0,0.0,0.006979718,0.008841498,0.008305322,0.01640315,0.00057904294,4.9600025e-05,0.0,0.016825316,-0.02460116,0.07444986,1.5784113,1.5785642,488.0332,0.10281183,0.64252067,0.9497874,1.798602,0.47024348,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1992000,1992000,1000000,47.3977419,8.5455939,0.0033933043,0.0036354254,0.012746741,0.0,0.0,0.0,0.007689651,0.006214249,0.012318291,0.014731803,0.00057904294,4.9600025e-05,0.0,-0.032371406,0.04511679,-0.07872662,1.578484,1.5785642,488.0332,0.1,0.5467568,0.8228283,1.1249138,0.50200325,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2492000,2492000,1000000,47.3977419,8.5455939,0.002845461,0.003941703,0.013042441,0.0,0.0,0.0,0.002315456,0.009869209,0.017428543,0.012909365,0.00057904294,4.9600025e-05,0.0,-0.014709289,0.053065658,-0.0049528363,1.5781034,1.5785642,488.0332,0.1,0.62985265,0.7797438,1.485607,0.535308,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2992000,2992000,1000000,47.3977419,8.5455939,-0.0005134655,0.0041451287,0.024829045,0.0,0.0,0.0,-0.0016573496,0.009624428,0.025466999,0.023044592,0.00057904294,4.9600025e-05,0.0,0.003187859,-0.021380318,0.046742085,1.577746,1.5785642,488.0332,0.1,0.77063423,0.79271066,1.6777211,0.5606827,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3492000,3492000,1000000,47.3977419,8.5455939,-0.002701926,0.0029939238,0.034071207,0.0,0.0,0.0,-0.0067209196,0.00672137,0.03003359,0.02458939,0.00057904294,4.9600025e-05,0.0,0.030119048,0.038091168,-0.013014364,1.5778168,1.5785642,488.0332,0.1,0.58926755,0.824461,1.237035,0.5712383,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3992000,3992000,1000000,47.3977419,8.5455939,-0.0037160304,0.002161078,0.03235431,0.0,0.0,0.0,-0.0064891,0.0069645736,0.02712174,0.0124793835,0.00057904294,4.9600025e-05,0.0,0.0062905345,-0.036955185,-0.024598153,1.5778205,1.5785642,488.0332,0.1,0.65002656,0.85331404,1.2084924,0.5668107,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4492000,4492000,1000000,47.3977419,8.5455939,-0.0025116862,0.000990612,0.03314211,0.0,0.0,0.0,-0.0027181075,4.356887e-06,0.032337096,0.01275761,0.00057904294,4.9600025e-05,0.0,0.005360562,-0.018417405,0.061944988,1.5778917,1.5785642,488.0332,0.1,0.5080545,0.87028354,0.94753736,0.55125606,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4992000,4992000,1000000,47.3977419,8.5455939,-0.00021698083,-0.0023364588,0.033532307,0.0,0.0,0.0,0.00041671336,-0.0069531286,0.02990938,0.0072045648,0.00057904294,4.9600025e-05,0.0,0.03424558,-0.007287387,-0.028892482,1.5775868,1.5785642,488.0332,0.1,0.56113297,0.8752127,0.9648663,0.529619,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
5492000,5492000,1000000,47.3977419,8.5455939,0.0012798473,-0.0055419724,0.032605767,0.0,0.0,0.0,0.0028367627,-0.01149337,0.030980395,0.006250431,0.00057904294,4.9600025e-05,0.0,-0.035831634,0.039701883,-0.005079496,1.5774022,1.5785642,488.0332,0.1,0.61446387,0.87192076,0.969258,0.50606054,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
5992000,5992000,1000000,47.3977419,8.5455939,0.0013713503,-0.0070093675,0.03144349,0.0,0.0,0.0,0.0016781024,-0.01320628,0.03035824,0.0034749543,0.00057904294,4.9600025e-05,0.0,0.0018623121,-0.040745944,0.007864956,1.5773002,1.5785642,488.0332,0.1,0.49862012,0.8630882,0.77666366,0.48231676,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6492000,6492000,1000000,47.3977419,8.5455939,0.0014033075,-0.0090909675,0.038979795,0.0,0.0,0.0,0.00072812947,-0.02096134,0.036451392,0.013643988,0.00057904294,4.9600025e-05,0.0,-0.022425173,0.01318012,-0.0032233705,1.5774251,1.5785642,488.0332,0.1,0.5387247,0.85192645,0.7624606,0.4597173,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6992000,6992000,1000000,47.3977419,8.5455939,0.00011036818,-0.012209189,0.03678336,0.0,0.0,0.0,-0.0039189165,-0.023519754,0.038047656,0.008240777,0.00057904294,4.9600025e-05,0.0,-0.008732725,-0.07395761,0.0013121702,1.577546,1.5785642,488.0332,0.1,0.44581032,0.8396075,0.61291784,0.43829635,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
7492000,7492000,1000000,47.3977419,8.5455939,0.011246005,-0.0029807063,0.021508694,0.011767814,0.008441262,0.0,-0.00040761332,-0.011395978,0.018092573,-0.01912103,0.0042116926,0.021786196,-0.022548905,-0.058518853,-0.077312246,0.036540378,1.5678828,-0.013592,488.0332,0.1,1.0032818,0.7466049,0.3039444,0.22112115,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
