timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
708000,704000,0,nan,nan,2.4469882e-06,-3.0662687e-07,4.3306954e-07,0.0,0.0,0.0,0.00078985945,-0.00015234378,0.00017604772,0.00017746657,0.0005168238,-1.1556687e-06,0.0,0.076538205,-0.039393887,0.04058418,1.5783111,1.5782876,nan,0.10000259,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
996000,992000,0,nan,nan,0.00030709273,0.0010152446,-0.005827894,0.0,0.0,0.0,0.0013664255,0.0052904403,0.003074776,-0.0026910435,0.0005168238,-1.1556687e-06,0.0,-0.013873204,-0.04768447,-0.026402125,1.578008,1.5782876,nan,0.1,0.861233,1.566521,4.5299544,0.45299837,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1492000,1488000,1196000,47.3977419,8.545594,0.0017223231,0.0024824631,0.01006232,0.0,0.0,0.0,0.007436441,0.007045241,0.0102548245,0.017567512,0.0005168238,-1.1556687e-06,0.0,0.031426262,0.013912361,0.026338669,1.5781829,1.5782876,488.04565,0.10152249,0.26855445,0.98611516,1.025555,0.4702353,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1992000,1988000,1196000,47.3977419,8.545594,0.0025558246,0.0018032185,0.014461892,0.0,0.0,0.0,0.005967137,0.002678091,0.016201759,0.018277677,0.0005168238,-1.1556687e-06,0.0,-0.016524738,-0.013688037,-0.040783606,1.5778348,1.5782876,488.04565,0.1,0.13848837,0.82153225,0.61969864,0.5012064,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2492000,2488000,1196000,47.3977419,8.545594,0.00011669827,0.0010693524,0.015894432,0.0,0.0,0.0,-0.003984488,0.0035059922,0.02207276,0.016705915,0.0005168238,-1.1556687e-06,0.0,0.017994218,0.018034875,-0.05200977,1.5776412,1.5782876,488.04565,0.1,0.17631674,0.77811867,0.6219545,0.534486,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2992000,2988000,1196000,47.3977419,8.545594,-0.0029846686,0.0008310996,0.028982962,0.0,0.0,0.0,-0.0050910492,0.003645459,0.030422194,0.026631135,0.0005168238,-1.1556687e-06,0.0,0.024656067,-0.030652346,0.02836057,1.577815,1.5782876,488.04565,0.1,0.20386474,0.7904887,0.59551436,0.55967486,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3492000,3488000,1196000,47.3977419,8.545594,-0.0022477927,0.0006369843,0.039379723,0.0,0.0,0.0,-0.0044683535,0.0023776272,0.03587334,0.028443238,0.0005168238,-1.1556687e-06,0.0,0.012576117,0.00616841,-0.013595508,1.5782003,1.5782876,488.04565,0.1,0.1368084,0.82238466,0.41516638,0.5704863,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3992000,3988000,1196000,47.3977419,8.545594,-0.002404773,0.0007329383,0.03838071,0.0,0.0,0.0,-0.013532781,0.004791129,0.033129685,0.015615069,0.0005168238,-1.1556687e-06,0.0,-0.111034654,-0.0038906317,-0.037289284,1.5783393,1.5782876,488.04565,0.1,0.16018595,0.8513088,0.41943565,0.5661763,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4492000,4488000,1196000,47.3977419,8.545594,-0.011036784,-4.895337e-05,0.03918361,0.0,0.0,0.0,-0.03475901,-0.002628277,0.03743874,0.014264515,0.0005168238,-1.1556687e-06,0.0,-0.027280662,-0.021084335,0.0169528,1.5706329,-0.012224075,488.04565,0.1,0.11148951,0.8682158,0.24099016,0.5506326,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,2
4992000,4988000,1196000,47.3977419,8.545594,-0.017371647,-0.0032136212,0.039466754,0.0,0.0,0.0,-0.039038017,-0.008914749,0.03479213,0.008060379,0.0005168238,-1.1556687e-06,0.0,-0.012761848,-0.022943335,0.03451382,1.5681499,-0.012224075,488.04565,0.1,0.12153472,0.8735776,0.2901091,0.52927065,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,2
5492000,5488000,1196000,47.3977419,8.545594,-0.014105934,-0.0053319056,0.037978552,0.0,0.0,0.0,-0.018675102,-0.011166089,0.03511861,0.005999391,0.0005168238,-1.1556687e-06,0.0,-0.02139611,-0.022950435,0.02445926,1.5686139,-0.012224075,488.04565,0.1,0.14671314,0.8699584,0.31434795,0.5055317,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,2
5992000,5988000,1196000,47.3977419,8.545594,0.013455984,-0.009885656,0.023270393,0.014667245,-0.0060058525,0.0,0.0097424,-0.0063606636,0.005468752,-0.024515597,0.00444052,0.005924238,-0.03104955,0.027793016,-0.015520748,0.07017602,1.5684505,-0.012224075,488.04565,0.10017112,1.0058018,0.74638015,0.29176193,0.22528051,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
6492000,6488000,1196000,47.3977419,8.545594,0.018194214,-0.012561318,0.0150637105,0.014667245,-0.0060058525,0.0,0.024436675,-0.018238809,0.008487944,-0.017274626,0.00444052,0.005924238,-0.03104955,-0.00976371,-0.05992893,0.048486453,1.5682138,-0.012224075,488.04565,0.1,0.71769536,0.653941,0.25695866,0.19951345,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
6992000,6988000,1196000,47.3977419,8.545594,0.023672113,-0.015276946,0.005903337,0.014667245,-0.0060058525,0.0,0.032869283,-0.022137031,0.012301815,-0.013660465,0.00444052,0.005924238,-0.03104955,0.018927956,-0.031694204,-0.0070864963,1.5681566,-0.012224075,488.04565,0.1,0.6579017,0.6041353,0.29860047,0.2055786,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
7492000,7488000,1196000,47.3977419,8.545594,0.024993205,-0.019481083,-0.00030386276,0.014667245,-0.0060058525,0.0,0.037936542,-0.030010521,0.018316196,-0.007197507,0.00444052,0.005924238,-0.03104955,0.018324457,-0.007200542,0.002223935,1.5680816,-0.012224075,488.04565,0.10029785,0.62479854,0.5752664,0.34256965,0.21469225,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
7992000,7988000,1196000,47.3977419,8.545594,0.02115369,-0.020849366,0.007342517,0.014667245,-0.0060058525,0.0,0.03107414,-0.029276863,0.029349811,0.010859522,0.00444052,0.005924238,-0.03104955,0.048406634,-0.060969055,0.021683918,1.5687212,-0.012224075,488.04565,0.10182008,0.610429,0.55869925,0.37912095,0.22364956,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
8492000,8488000,1196000,47.3977419,8.545594,0.018123858,-0.015260831,0.010632311,0.014667245,-0.0060058525,0.0,0.03211292,-0.024118617,0.031160856,0.010021186,0.00444052,0.005924238,-0.03104955,0.037792575,-0.022591067,0.014242653,1.5702448,-0.012224075,488.04565,0.1,0.53340846,0.52690244,0.30126393,0.20673923,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
8992000,8988000,1196000,47.3977419,8.545594,0.016039234,-0.009068259,0.008705593,0.014667245,-0.0060058525,0.0,0.027031334,-0.013865058,0.031471513,0.005197617,0.00444052,0.005924238,-0.03104955,0.06301839,-0.023541415,-0.0408786,1.5712184,-0.012224075,488.04565,0.1,0.53260136,0.52124494,0.32059097,0.21148026,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
9492000,9488000,1196000,47.3977419,8.545594,0.01534782,-0.0056233318,0.008153023,0.014667245,-0.0060058525,0.0,0.02318981,-0.008746009,0.03077176,0.003732284,0.00444052,0.005924238,-0.03104955,-0.005644043,-0.004813745,0.004490774,1.5723051,-0.012224075,488.04565,0.1,0.53763723,0.52480286,0.33822426,0.21529128,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
9992000,9988000,1196000,47.3977419,8.545594,0.014528584,-0.0033915602,0.010872094,0.014667245,-0.0060058525,0.0,0.027887393,-0.005169017,0.034429237,0.009777466,0.00444052,0.005924238,-0.03104955,0.06427929,0.00095359655,0.04416884,1.5731053,-0.012224075,488.04565,0.10112759,0.5473233,0.524718,0.35418883,0.21642485,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
10492000,10488000,1196000,47.3977419,8.545594,0.01066447,-0.0012058703,0.009862451,0.014667245,-0.0060058525,0.0,0.020826377,-0.0043230117,0.034839183,0.006046296,0.00444052,0.005924238,-0.03104955,0.07177955,-0.008762431,0.019874359,1.5738394,-0.012224075,488.04565,0.1,0.4919396,0.5029373,0.28212845,0.19572216,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
10992000,10988000,1196000,47.3977419,8.545594,0.006756668,-0.0011016815,0.0101711005,0.014667245,-0.0060058525,0.0,0.012341995,-0.0050672973,0.038547136,0.008030777,0.00444052,0.005924238,-0.03104955,0.005509417,0.02397521,-0.07886818,1.5752434,-0.012224075,488.04565,0.1,0.5015398,0.5047141,0.29487383,0.19548276,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11492000,11488000,1196000,47.3977419,8.545594,0.0045923493,-0.0017045994,0.013912257,0.014667245,-0.0060058525,0.0,0.0061022844,-0.0021474676,0.045739975,0.013582513,0.00444052,0.005924238,-0.03104955,0.008622604,0.009753081,0.010455895,1.5759431,-0.012224075,488.04565,0.1,0.513584,0.5070504,0.30633327,0.19440955,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11992000,11988000,1196000,47.3977419,8.545594,0.004300224,0.0028064663,0.016470563,0.014667245,-0.0060058525,0.0,0.0071594836,0.0067787617,0.04720161,0.013117105,0.00444052,0.005924238,-0.03104955,-0.021118041,0.0033470928,0.100499876,1.5769826,-0.012224075,488.04565,0.1,0.5277814,0.50963175,0.31667754,0.19267873,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12492000,12488000,1196000,47.3977419,8.545594,0.0023662385,0.0038099915,0.017966555,0.014667245,-0.0060058525,0.0,0.0030071065,0.008540438,0.055769384,0.01830932,0.00444052,0.005924238,-0.03104955,-0.019163484,0.0036688047,0.071053326,1.578009,-0.012224075,488.04565,0.1,0.48044482,0.49279052,0.25976402,0.17593941,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12992000,12988000,1196000,47.3977419,8.545594,0.00025756296,0.0037289737,0.023304356,0.014667245,-0.0060058525,0.0,0.0013525432,0.0097377645,0.060042433,0.018948032,0.00444052,0.005924238,-0.03104955,0.04124644,0.006597009,0.07169221,1.5785812,-0.012224075,488.04565,0.1,0.4924713,0.49546412,0.2684805,0.17439905,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13492000,13488000,1196000,47.3977419,8.545594,0.0002832876,0.003671697,0.025370065,0.014667245,-0.0060058525,0.0,-0.00043314305,0.014864082,0.06264644,0.015709711,0.00444052,0.005924238,-0.03104955,-0.010068808,0.09315142,0.114140026,1.5794439,-0.012224075,488.04565,0.1,0.5059809,0.4980336,0.2763325,0.17253284,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13992000,13988000,1196000,47.3977419,8.545594,0.0043568523,0.0042655864,0.031709105,0.014667245,-0.0060058525,0.0,0.0013911098,0.017128345,0.07182599,0.023883333,0.00444052,0.005924238,-0.03104955,-0.0011594475,-0.054805785,0.073798865,1.5807662,-0.012224075,488.04565,0.1,0.52083373,0.50041115,0.28338942,0.17041437,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14492000,14488000,1196000,47.3977419,8.545594,0.0056902086,0.0016810137,0.03494378,0.014667245,-0.0060058525,0.0,-0.002972847,0.01558722,0.08273324,0.027319482,0.00444052,0.005924238,-0.03104955,0.01560533,0.029163351,0.0027501322,1.5810053,-0.012224075,488.04565,0.1,0.4769864,0.4865173,0.238947,0.15783687,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14992000,14988000,1196000,47.3977419,8.545594,0.0056690318,0.00038322553,0.041316148,0.014667245,-0.0060058525,0.0,-0.00360466,0.016997116,0.08572773,0.025258388,0.00444052,0.005924238,-0.03104955,0.011791794,0.014794245,0.028568255,1.5813328,-0.012224075,488.04565,0.1,0.48950642,0.48871014,0.24545461,0.1561683,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
15492000,15488000,1196000,47.3977419,8.545594,0.006301631,9.6886e-05,0.055115625,0.014667245,-0.0060058525,0.0,-0.002869879,0.018428048,0.0964543,0.03623367,0.00444052,0.005924238,-0.03104955,-0.069348015,0.030333294,0.0676689,1.5823828,-0.012224075,488.04565,0.1,0.50308794,0.49065134,0.25142765,0.15435714,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
15992000,15988000,1196000,47.3977419,8.545594,0.008755853,-0.0027170922,0.06997265,0.014667245,-0.0060058525,0.0,0.010815358,0.018847132,0.101173386,0.03961856,0.00444052,0.005924238,-0.03104955,0.03092982,-0.004681782,0.025525624,1.5831664,-0.012224075,488.04565,0.1,0.5176458,0.49234572,0.25701216,0.1524479,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
16492000,16488000,1196000,47.3977419,8.545594,0.016596582,-0.008813197,0.076324,0.014667245,-0.0060058525,0.0,0.03716132,0.009850997,0.1042639,0.03286069,0.00444052,0.005924238,-0.03104955,0.034691203,0.04745952,-0.05634228,1.5841142,-0.012224075,488.04565,0.1,0.47579446,0.48053655,0.22406502,0.14294963,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
16992000,16988000,1196000,47.3977419,8.545594,0.024243737,-0.008523047,0.082223356,0.014667245,-0.0060058525,0.0,0.053326562,0.014950353,0.10077817,0.0234707,0.00444052,0.005924238,-0.03104955,0.057735745,0.025344362,0.07485871,1.584123,-0.012224075,488.04565,0.1,0.48826995,0.48205808,0.26511726,0.1414662,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
17492000,17488000,1196000,47.3977419,8.545594,0.023648072,-0.0077816327,0.088390194,0.014667245,-0.0060058525,0.0,0.050494876,0.0143161835,0.097730525,0.018129399,0.00444052,0.005924238,-0.03104955,0.056673694,-0.013508936,0.017071078,1.5847715,-0.012224075,488.04565,0.1,0.5023725,0.48805994,0.3068996,0.1406575,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
17992000,17988000,1196000,47.3977419,8.545594,0.019725109,-0.0067660687,0.09935263,0.014667245,-0.0060058525,0.0,0.04156518,0.010201215,0.0985366,0.023045039,0.00444052,0.005924238,-0.03104955,0.11237726,0.04410702,0.025446462,1.5849766,-0.012224075,488.04565,0.1,0.51876664,0.48916608,0.32950503,0.13915226,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
18492000,18488000,1196000,47.3977419,8.545594,0.009844708,-0.012757309,0.107341595,0.014667245,-0.0060058525,0.0,0.023677187,0.0046170414,0.096716866,0.020252267,0.00444052,0.005924238,-0.03104955,0.06319114,0.0059249513,0.0028460585,1.5856524,-0.012224075,488.04565,0.1,0.47522813,0.47869036,0.26514405,0.13191065,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
18992000,18988000,1196000,47.3977419,8.545594,0.003860706,-0.014170869,0.11039604,0.014667245,-0.0060058525,0.0,0.0027799984,-0.00059160567,0.08810827,0.00803204,0.00444052,0.005924238,-0.03104955,-0.03716228,-0.013343111,-0.003241997,1.5857711,-0.012224075,488.04565,0.100724414,0.4881567,0.47969276,0.26723722,0.13102502,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
19492000,19488000,1196000,47.3977419,8.545594,-0.017958157,-0.015082685,0.100624554,0.014667245,-0.0060058525,0.0,-0.08283737,-0.009513385,-0.02614685,-0.106480025,0.00444052,0.005924238,-0.03104955,-0.1327251,-0.05158006,-0.6237002,1.5674932,-0.012224075,488.04565,0.11108149,0.5023109,0.48054504,0.26581314,0.13030718,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
19992000,19988000,1196000,47.3977419,8.545594,-0.06019626,-0.019152937,-0.04668281,0.014667245,-0.0060058525,0.0,-0.064680375,-0.007138622,-0.36692303,-0.4484984,0.00444052,0.005924238,-0.03104955,0.12789187,0.0485372,-0.4944103,1.5563867,-0.012224075,488.04565,0.25838885,0.51732427,0.48129287,0.2625931,0.12978463,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
20492000,20488000,1196000,47.3977419,8.545594,-0.063997306,-0.014340617,-0.32094857,0.014667245,-0.0060058525,0.0,0.019433133,0.008539901,-0.5168082,-0.59984756,0.00444052,0.005924238,-0.03104955,0.10752356,0.05293488,-0.11325354,1.5578572,-0.012224075,488.04565,0.53265464,0.47530738,0.47213733,0.21897712,0.12456988,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
20992000,20988000,1196000,47.3977419,8.545594,-0.026688883,-0.009922006,-0.6190549,0.014667245,-0.0060058525,0.0,0.07100239,0.013062771,-0.52110463,-0.5976766,0.00444052,0.005924238,-0.03104955,0.036174912,0.022087095,0.02885417,1.5611928,-0.012224075,488.04565,0.83076096,0.4878669,0.4728922,0.2180577,0.12463818,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
21492000,21488000,1196000,47.3977419,8.545594,0.025461614,-0.007823516,-0.901285,0.014667245,-0.0060058525,0.0,0.073693536,0.014428381,-0.4503259,-0.525275,0.00444052,0.005924238,-0.03104955,-0.030315436,0.060412306,0.195614,1.5636683,-0.012224075,488.04565,1.1129911,0.50086147,0.47360197,0.21715188,0.124872185,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,0,0
21992000,21988000,1196000,47.3977419,8.545594,0.07199006,-0.0008842693,-1.147802,0.014667245,-0.0060058525,0.0,0.051236607,0.020785613,-0.35609716,-0.43440044,0.00444052,0.005924238,-0.03104955,-0.030682798,8.396778e-05,0.2453578,1.5651851,-0.012224075,488.04565,1.359508,0.5141304,0.4743179,0.21664397,0.12526421,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,0,0
22492000,22488000,1196000,47.3977419,8.545594,0.10363174,0.007345534,-1.3488655,0.014667245,-0.0060058525,0.0,0.009746486,0.023388052,-0.27171335,-0.35309032,0.00444052,0.005924238,-0.03104955,-0.07240686,0.025067732,0.2309074,1.5660847,-0.012224075,488.04565,1.5605716,0.47496015,0.46627668,0.19032541,0.121311925,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,0,0
22992000,22988000,1196000,47.3977419,8.545594,0.11342416,0.016474126,-1.5085317,0.014667245,-0.0060058525,0.0,-0.0237511,0.01784714,-0.19784191,-0.2801971,0.00444052,0.005924238,-0.03104955,-0.044454746,-0.098219775,0.17886229,1.5646563,-0.0034257085,488.04565,1.7202377,0.4863897,0.46711218,0.190855,0.12206843,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,0,0
23492000,23488000,1196000,47.3977419,8.545594,0.10608373,0.018655919,-1.6402798,0.014667245,-0.0060058525,0.0,-0.04429011,0.009291679,-0.1779319,-0.26463267,0.00444052,0.005924238,-0.03104955,0.013285737,-0.018669311,-0.95610416,1.5690842,-0.0034257085,488.04565,1.8519858,0.49784058,0.46803442,0.21772909,0.12292365,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,0,0
23992000,23988000,1196000,47.3977419,8.545594,0.09471019,0.017721687,-1.9035226,0.014667245,-0.0060058525,0.0,-0.025380362,-0.0030990746,-0.674967,-0.76069367,0.00444052,0.005924238,-0.03104955,0.0019293112,-0.033128995,-0.7543359,1.5695891,-0.0034257085,488.04565,2.1152287,0.51068354,0.46904376,0.26296303,0.123850174,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,0,0
24492000,24488000,1196000,47.3977419,8.545594,0.08503267,0.008834856,-2.2308288,0.014667245,-0.0060058525,0.0,-0.03940571,-0.0039591254,-0.34981102,-0.43586767,0.00444052,0.005924238,-0.03104955,-0.042163134,0.054590613,0.8424193,1.5688953,-0.0034257085,488.04565,2.442535,0.47332856,0.46179542,0.2418879,0.12044166,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,0,0
24992000,24988000,1196000,47.3977419,8.545594,0.060296185,-0.0007265191,-2.364629,0.014667245,-0.0060058525,0.0,-0.047373664,0.001071146,-0.051948663,-0.13696446,0.00444052,0.005924238,-0.03104955,0.021947633,0.032563984,0.43881118,1.5699193,-0.0034257085,488.04565,2.576335,0.48507878,0.46296006,0.25286248,0.121532254,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,0,0
25492000,25488000,1196000,47.3977419,8.545594,0.038759716,-0.0059450394,-2.392,0.014667245,-0.0060058525,0.0,-0.04052782,0.010400753,0.09123745,0.0079819085,0.00444052,0.005924238,-0.03104955,-0.034726262,-0.00787287,0.25457788,1.5700065,-0.0034257085,488.04565,2.603706,0.4985484,0.46835256,0.25814277,0.12317292,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,0,0
25992000,25988000,1196000,47.3977419,8.545594,0.03340771,-0.009599467,-2.3690655,0.014667245,-0.0060058525,0.0,-0.025085088,0.016482143,0.15324727,0.072545625,0.00444052,0.005924238,-0.03104955,-0.03460871,0.0019231708,0.13868691,1.5694816,-0.0034257085,488.04565,2.5807714,0.513262,0.46975026,0.25938982,0.124304906,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,0,0
26492000,26488000,1196000,47.3977419,8.545594,0.03211808,-0.018729348,-2.3307014,0.014667245,-0.0060058525,0.0,-0.022027194,0.013045482,0.16904604,0.08676207,0.00444052,0.005924238,-0.03104955,-0.024441842,0.035805017,-0.04713709,1.5699805,-0.0034257085,488.04565,2.5424075,0.47372216,0.46285963,0.21906741,0.120987594,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,0,0
26992000,26988000,1196000,47.3977419,8.545594,0.035086628,0.005563905,-2.272095,0.014667245,-0.0060058525,0.0,-0.02145037,0.34365058,0.18201177,0.10466741,0.00444052,0.005924238,-0.03104955,-0.019797558,2.2771072,-0.08595368,1.5697966,-0.0034257085,488.04565,2.483801,0.4860465,0.46434656,0.21903044,0.12216041,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,0,0
27492000,27488000,1196000,47.3977419,8.545594,0.052077692,0.42243358,-2.227457,0.014667245,-0.0060058525,0.0,-0.018667642,1.2284797,0.1135185,0.047439568,0.00444052,0.005924238,-0.03104955,0.00071079604,0.6364265,0.004308235,1.5706612,-0.0034257085,488.04565,2.4391632,0.4989678,0.46592602,0.22032584,0.12326632,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,0,0
27992000,27988000,1196000,47.3977419,8.545594,0.0808804,1.0480055,-2.1948147,0.014667245,-0.0060058525,0.0,-0.025120024,1.2590073,0.115779355,0.057317976,0.00444052,0.005924238,-0.03104955,-0.09671498,-0.3670086,-0.035035484,1.570832,-0.0034257085,488.04565,2.4065208,0.51226425,0.46757045,0.22005905,0.12441924,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,0,0
