timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
696000,696000,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.27000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996000,996000,0.0,0.0,0.0,1.2220855,1.2220855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.315935,0.0,0.0,nan,0.0,0.0,0.25696418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500000,1500000,0.0,0.0,0.0,0.32303393,0.32303393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.222961,0.0,0.0,nan,0.0,0.0,0.2518893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000000,2000000,0.0,0.0,0.0,0.53206646,0.53206646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.926849,0.0,0.0,nan,0.0,0.0,0.25399458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500000,2500000,0.0,0.0,0.0,0.510509,0.510509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.862218,0.0,0.0,nan,0.0,0.0,0.25415558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000000,3000000,0.0,0.0,0.0,0.5575565,0.5575565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.882443,0.0,0.0,nan,0.0,0.0,0.25360835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500000,3500000,0.0,0.0,0.0,0.5467601,0.54675984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.935101,0.0,0.0,nan,0.0,0.0,0.2530625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000000,4000000,0.0,0.0,0.0,0.5197095,0.5197094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.986771,0.0,0.0,nan,0.0,0.0,0.25262794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4488000,4488000,0.0,0.0,0.0,0.48721132,0.48721117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.027359,0.0,0.0,nan,0.0,0.0,0.2522978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000000,5000000,0.0,0.0,0.0,0.47286433,0.4728638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038374,0.0,0.0,nan,0.0,0.0,0.25202927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5500000,5500000,0.0,0.0,0.0,0.461129,0.46112806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.040328,0.0,0.0,nan,0.0,0.0,0.2518201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000000,6000000,0.0,0.0,0.0,0.4440863,0.4440859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.024674,0.0,0.0,nan,0.0,0.0,0.2516502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6500000,6500000,0.0,0.0,0.0,0.43245074,0.4324506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.004182,0.0,0.0,nan,0.0,0.0,0.25150982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6988000,6988000,0.0,0.0,0.0,0.41534287,0.41534254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.988319,0.0,0.0,nan,0.0,0.0,0.10139412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7500000,7500000,0.14419919,0.1441987,0.252319,1.504291,1.504291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.765848,0.0,0.0,nan,0.0,0.0,0.09292063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000000,8000000,0.16049492,0.160494,0.24639101,1.3431752,1.3431753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.662345,0.0,0.0,nan,0.0,0.0,0.09169416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8500000,8500000,0.1710805,0.17107964,0.24341659,1.2654703,1.2654704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.608446,0.0,0.0,nan,0.0,0.0,0.091234736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000000,9000000,0.16505808,0.16505817,0.24201813,1.1927501,1.19275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.578716,0.0,0.0,nan,0.0,0.0,0.09099068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9500000,9500000,0.15982413,0.15982449,0.24238892,1.1738259,1.1738257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5426855,0.0,0.0,nan,0.0,0.0,0.090858415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000000,10000000,0.15620004,0.15620047,0.24285583,1.1605952,1.1605952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.53254,0.0,0.0,nan,0.0,0.0,0.090788156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10500000,10500000,0.1542096,0.15421015,0.24278842,1.1510843,1.1510843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.525455,0.0,0.0,nan,0.0,0.0,0.0907463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000000,11000000,0.15304774,0.15304807,0.24271065,1.13888,1.1388799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.524513,0.0,0.0,nan,0.0,0.0,0.09072755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11500000,11500000,0.15253681,0.15253732,0.24186036,1.1349249,1.1349249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.503178,0.0,0.0,nan,0.0,0.0,0.09071823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12000000,12000000,0.15169467,0.15169498,0.24118382,1.1318897,1.1318897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.503902,0.0,0.0,nan,0.0,0.0,0.09071782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12500000,12500000,0.1502389,0.1502392,0.24032362,1.1295425,1.1295425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.506889,0.0,0.0,nan,0.0,0.0,0.09071625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13000000,13000000,0.14613596,0.14613613,0.23787165,1.1262835,1.1262834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.509121,0.0,0.0,nan,0.0,0.0,0.09071684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13500000,13500000,0.14374614,0.1437462,0.23673564,1.125162,1.1251621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4939995,0.0,0.0,nan,0.0,0.0,0.09071371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000000,14000000,0.14134265,0.14134273,0.23524266,1.1242815,1.1242814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.496534,0.0,0.0,nan,0.0,0.0,0.090710066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14500000,14500000,0.13894701,0.13894701,0.23409168,1.1235899,1.1235899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.499111,0.0,0.0,nan,0.0,0.0,0.090704605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000000,15000000,0.13447286,0.13447288,0.23155476,1.1226201,1.1226201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.502855,0.0,0.0,nan,0.0,0.0,0.09069556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15500000,15500000,0.13242671,0.13242885,0.23049681,1.122286,1.1222861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.489059,0.0,0.0,nan,0.0,0.0,0.09068238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16000000,16000000,0.13054365,0.1305483,0.22948205,1.1220227,1.1220229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.492459,0.0,0.0,nan,0.0,0.0,0.09066978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16488000,16488000,0.12879273,0.12879613,0.22824349,1.121816,1.1218162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.494573,0.0,0.0,nan,0.0,0.0,0.090657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17000000,17000000,0.13834888,0.13835037,0.22620998,1.1217806,1.1217808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.496494,0.0,0.0,nan,0.0,0.0,0.09064058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17500000,17500000,0.14537132,0.14537221,0.22539555,1.1216925,1.1216925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4856825,0.0,0.0,nan,0.0,0.0,0.09062553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18000000,18000000,0.14683408,0.14683527,0.22462432,1.121531,1.1215311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.487338,0.0,0.0,nan,0.0,0.0,0.090608634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18500000,18500000,0.14409547,0.14409709,0.22367375,1.1213703,1.1213704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.487341,0.0,0.0,nan,0.0,0.0,0.09059431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19000000,19000000,0.13479741,0.13479815,0.2223602,1.1211624,1.1211625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.489658,0.0,0.0,nan,0.0,0.0,0.09057908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19500000,19500000,0.13035867,0.13035934,0.22157663,1.1211182,1.1211182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.479461,0.0,0.0,nan,0.0,0.0,0.090564795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000000,20000000,0.12648085,0.12648308,0.22105518,1.121097,1.121097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.480611,0.0,0.0,nan,0.0,0.0,0.090550646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20500000,20500000,0.123188466,0.123192795,0.22059128,1.1210992,1.1210994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.482508,0.0,0.0,nan,0.0,0.0,0.09053597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000000,21000000,0.11818213,0.118183866,0.21966103,1.1211314,1.1211314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.483346,0.0,0.0,nan,0.0,0.0,0.09052362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21500000,21500000,0.11636722,0.11636796,0.21936844,1.1211419,1.1211419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.475308,0.0,0.0,nan,0.0,0.0,0.09050872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000000,22000000,0.11494221,0.11494295,0.21896034,1.12114,1.12114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.476097,0.0,0.0,nan,0.0,0.0,0.090495504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22500000,22500000,0.11387089,0.11387204,0.21876568,1.1211203,1.1211205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4768505,0.0,0.0,nan,0.0,0.0,0.090481885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23000000,23000000,0.11268624,0.1126889,0.21834196,1.1210172,1.1210172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.478436,0.0,0.0,nan,0.0,0.0,0.090470485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23500000,23500000,0.11248766,0.1124907,0.21826006,1.1209357,1.1209357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.470558,0.0,0.0,nan,0.0,0.0,0.09045799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24000000,24000000,0.11250094,0.11250332,0.21820699,1.1208386,1.1208386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.47219,0.0,0.0,nan,0.0,0.0,0.090446874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24500000,24500000,0.112706065,0.1127077,0.2180326,1.1207312,1.1207312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.473049,0.0,0.0,nan,0.0,0.0,0.09043611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000000,25000000,0.11342195,0.11342355,0.21789502,1.120512,1.120512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.473998,0.0,0.0,nan,0.0,0.0,0.09042677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25500000,25500000,0.11382793,0.113829374,0.21791819,1.120415,1.1204151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.467734,0.0,0.0,nan,0.0,0.0,0.09041672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25988000,25988000,0.11412395,0.114121065,0.21795438,1.1203353,1.1203355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.467885,0.0,0.0,nan,0.0,0.0,0.09932872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26500000,26500000,0.11007944,0.11007847,0.21786283,1.1207409,1.1207411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.469851,0.0,0.0,nan,0.0,0.0,0.09275757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26988000,26988000,0.11287,0.11288333,0.21791634,1.120932,1.1209319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.471098,0.0,0.0,nan,0.0,0.0,0.09164886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27500000,27500000,0.1321215,0.13214183,0.21790144,1.1200475,1.1200472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.464605,0.0,0.0,nan,0.0,0.0,0.091162466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28000000,28000000,0.1366536,0.13666812,0.21796478,1.1196334,1.1196334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.466742,0.0,0.0,nan,0.0,0.0,0.09089976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28488000,28488000,0.13617349,0.13618292,0.21802671,1.1194625,1.1194623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4681835,0.0,0.0,nan,0.0,0.0,0.09074225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29000000,29000000,0.12960126,0.12920764,0.21804303,1.1196092,1.1196059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.470539,0.0,0.0,nan,0.0,0.0,0.09062403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29500000,29500000,0.12588029,0.12571041,0.21810108,1.119776,1.1197746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.464272,0.0,0.0,nan,0.0,0.0,0.09054582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000000,30000000,0.12259037,0.12254818,0.21801567,1.1199678,1.1199646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.465837,0.0,0.0,nan,0.0,0.0,0.09048598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30500000,30500000,0.11983919,0.11978872,0.2180695,1.1201581,1.1201524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.468274,0.0,0.0,nan,0.0,0.0,0.09044018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31000000,31000000,0.11559949,0.11545146,0.21804711,1.1204742,1.120469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.469973,0.0,0.0,nan,0.0,0.0,0.0904054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31500000,31500000,0.113965765,0.113823034,0.21810287,1.1205821,1.1205785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.464621,0.0,0.0,nan,0.0,0.0,0.09037592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32000000,32000000,0.11263193,0.11252118,0.21815366,1.1206509,1.1206485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.466286,0.0,0.0,nan,0.0,0.0,0.09035276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32500000,32500000,0.111598484,0.11152603,0.21806642,1.1206777,1.1206753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.468016,0.0,0.0,nan,0.0,0.0,0.09033445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33000000,33000000,0.11037965,0.11035811,0.21816213,1.1206102,1.1206067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.462785,0.0,0.0,nan,0.0,0.0,0.090320505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33500000,33500000,0.11013975,0.1101289,0.21807249,1.1205232,1.1205194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.464449,0.0,0.0,nan,0.0,0.0,0.09030846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33988000,33988000,0.11010235,0.11009429,0.21811967,1.1204097,1.120406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.465178,0.0,0.0,nan,0.0,0.0,0.09029987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
