timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
7000000,7000000,47.39774204671599,8.545593797076098,488.00974,488.04703,-0.0,1.4142135,1.3071505,487.92123,2,0,1,0
7008000,7008000,47.39774204326598,8.545593799658578,488.01025,488.04755,-0.0,1.4142162,1.3071523,487.92123,2,0,1,0
8000000,8000000,47.3977417448374,8.545593850907032,488.03903,488.0746,-0.0,1.2351303,1.1831771,487.93768,2,0,1,0
9000000,9000000,47.39774180913221,8.545593891795054,488.03204,488.06555,-0.0,1.15246,1.142572,487.93582,2,0,1,0
10000000,10000000,47.39774215565263,8.54559385616171,488.02176,488.05414,-0.0,1.120376,1.123846,487.9355,2,0,1,0
11000000,11000000,47.39774208774032,8.545593904384898,488.02905,488.06094,-0.0,1.1239023,1.1233686,487.93863,2,0,1,0
11988000,11988000,47.39774187047813,8.545593882741,488.02997,488.06097,-0.0,1.1337831,1.1235938,487.93274,2,0,1,0
13000000,13000000,47.39774167080129,8.54559395065686,488.02188,488.0519,-0.0,1.1166272,1.1173171,487.92978,2,0,1,0
14000000,14000000,47.397741758727136,8.545594004781364,488.0169,488.04718,-0.0,1.1042483,1.1119779,487.93967,2,0,1,0
14988000,14988000,47.397741996522434,8.545593971681697,488.01614,488.04623,-0.0,1.1183355,1.1145403,487.9182,2,0,1,0
16000000,16000000,47.397742090881586,8.54559398089381,488.00113,488.03238,-0.0,1.1097945,1.1111578,487.91156,2,0,1,0
17000000,17000000,47.39774228194847,8.545594047104483,487.98355,488.01816,-0.0,1.101042,1.107615,487.8874,2,0,1,0
17988000,17988000,47.397742185531904,8.545594007595477,487.97824,488.0156,-0.0,1.1116512,1.1110213,487.87766,2,0,1,0
19000000,19000000,47.397742105025344,8.545593976507995,487.96466,488.00705,-0.0,1.1020957,1.1078348,487.8649,2,0,1,0
19988000,19988000,47.397741322755415,8.545593743018747,487.95566,488.00208,-0.0,1.1124507,1.1086602,487.8575,2,0,1,0
21000000,21000000,47.39773895450135,8.54559244052428,487.9564,488.00922,-0.0,1.1025659,1.1056143,487.853,2,0,1,0
22000000,22000000,47.397736059158554,8.545590696299527,487.97366,488.03104,-0.0,1.1129099,1.1064178,nan,2,0,0,0
23000000,23000000,47.397733391590634,8.545588719676859,487.98517,488.05103,-0.0,1.1026256,1.1032863,nan,2,0,0,0
24000000,24000000,47.39773063120189,8.545586527057852,488.02097,488.09286,-0.0,1.112311,1.1040248,nan,2,0,0,0
25000000,25000000,47.39772798735245,8.54558433725226,488.05927,488.13907,-0.0,1.1023022,1.1013186,nan,2,0,0,0
25988000,25988000,47.39772529719684,8.545581984625484,488.10184,488.18613,-0.0,1.111392,1.1036088,nan,2,0,0,0
27000000,27000000,47.39772291672284,8.545579413280008,488.14896,488.23825,-0.0,1.1020764,1.1015661,nan,2,0,0,0
28000000,28000000,47.39772094159384,8.545576567323092,488.1946,488.2855,-0.0,1.0966669,1.0997041,nan,2,0,0,0
29000000,29000000,47.39771937115806,8.545573909306517,488.23605,488.3277,-0.0,1.1078616,1.1012033,nan,2,0,0,0
30000000,30000000,47.39771815688054,8.545571416464846,488.28113,488.37332,-0.0,1.0999798,1.0994918,nan,2,0,0,0
31000000,31000000,47.397717214597,8.545569168638425,488.33563,488.42786,-0.0,1.1106408,1.1011133,nan,2,0,0,0
32000000,32000000,47.397716407364875,8.545567124390617,488.39996,488.49124,-0.0,1.101435,1.0993983,nan,2,0,0,0
33000000,33000000,47.39771569041433,8.545565188329835,488.47586,488.56516,-0.0,1.1114901,1.1010127,nan,2,0,0,0
34000000,34000000,47.3977149806124,8.54556351384128,488.54254,488.62744,-0.0,1.1018722,1.1008879,nan,2,0,0,0
35000000,35000000,47.39771413767166,8.545562022403962,488.61597,488.6975,-0.0,1.1115179,1.1024905,nan,2,0,0,0
36000000,36000000,47.39771315410691,8.54556076822463,488.68094,488.75775,-0.0,1.1018736,1.1006124,nan,2,0,0,0
37000000,37000000,47.39771214961534,8.545559798823195,488.7528,488.8264,-0.0,1.1112672,1.1021562,nan,2,0,0,0
38000000,38000000,47.39771103176899,8.545558857961737,488.8276,488.8972,-0.0,1.1017218,1.1002562,nan,2,0,0,0
39000000,39000000,47.39770986426419,8.545558131390091,488.9009,488.96814,-0.0,1.1109741,1.1017615,nan,2,0,0,0
40000000,40000000,47.39770863183451,8.545557318635097,488.98093,489.04446,-0.0,1.101549,1.0998509,nan,2,0,0,0
41000000,41000000,47.39770725318879,8.5455564443469,489.068,489.12866,-0.0,1.1107203,1.1013281,nan,2,0,0,0
42000000,42000000,47.39770577857086,8.545555397330869,489.177,489.23172,-0.0,1.1014016,1.1010826,nan,2,0,0,0
42988000,42988000,47.39770421351266,8.545554259665264,489.2894,489.33893,-0.0,1.1100395,1.1022379,nan,2,0,0,0
44000000,44000000,47.39770263219322,8.545553148642224,489.4051,489.4456,-0.0,1.1012905,1.1006618,nan,2,0,0,0
45000000,45000000,47.397700915715085,8.545551855797315,489.5005,489.53534,-0.0,1.1103811,1.1021605,nan,2,0,0,0
46000000,46000000,47.39769913110871,8.545550591251672,489.5971,489.62442,-0.0,1.1013362,1.1002388,nan,2,0,0,0
47000000,47000000,47.39769735668271,8.545549195679323,489.68143,489.70477,-0.0,1.1087385,1.1017277,nan,2,0,0,0
48000000,48000000,47.397695469427234,8.545547803588333,489.7729,489.7912,-0.0,1.1001675,1.0998192,nan,2,0,0,0
48988000,48988000,47.39769343056314,8.545546243191607,489.85037,489.86615,-0.0,1.1095983,1.1026458,nan,2,0,0,0
50000000,50000000,47.39769137696448,8.545544844024619,489.9294,489.94302,-0.0,1.1011921,1.1010523,nan,2,0,0,0
50988000,50988000,47.3976891893522,8.54554350888407,490.01923,490.03195,-0.0,1.1107619,1.1022062,nan,2,0,0,0
52000000,52000000,47.39768720123596,8.545542335910628,490.08054,490.0926,-0.0,1.1223902,1.1041375,nan,2,0,0,0
53000000,53000000,47.39768555235005,8.54554141898155,490.0852,490.0967,-0.0,1.1110847,1.1021265,nan,2,0,0,0
54000000,54000000,47.39768396103462,8.545540680307766,490.08664,490.0987,-0.0,1.1016251,1.1002109,nan,2,0,0,0
54988000,54988000,47.39768238372056,8.545540061333506,490.0859,490.0988,-0.0,1.1113814,1.1014609,nan,2,0,0,0
56000000,56000000,47.3976809190515,8.545539361440298,490.08627,490.10193,-0.0,1.1052817,1.1002283,nan,2,0,0,0
57000000,57000000,47.3976796416396,8.54553860973174,490.08932,490.10953,-0.0,1.0983791,1.0986587,nan,2,0,0,0
58000000,58000000,47.3976784185047,8.545537857763419,490.09747,490.12158,-0.0,1.1080998,1.102011,nan,2,0,0,0
59000000,59000000,47.39767736399,8.545537079966545,490.09915,490.1302,-0.0,1.0999912,1.1003046,nan,2,0,0,0
59988000,59988000,47.39767684718116,8.545536820935508,490.1147,490.1505,-0.0,1.1089934,1.1016108,nan,2,0,0,0
61000000,61000000,47.397682669708466,8.545542715317719,490.11417,490.1559,-0.0,1.1007465,1.1001664,nan,2,0,0,0
62000000,62000000,47.397692211538974,8.545551819275795,490.00375,490.04938,-0.0,1.1100668,1.1017436,nan,2,0,0,0
63000000,63000000,47.39769947189834,8.545558592681777,489.79794,489.84796,-0.0,1.1010526,1.0998896,nan,2,0,0,0
64000000,64000000,47.39770500393492,8.54556370153863,489.50854,489.5605,-0.0,1.110244,1.1014078,nan,2,0,0,0
65000000,65000000,47.39770918152868,8.545567394135634,489.12415,489.17902,-0.0,1.1011387,1.0995318,nan,2,0,0,0
65988000,65988000,47.39771231717253,8.545570110793728,488.64548,488.7026,-0.0,1.1097747,1.1023568,nan,2,0,0,0
67000000,67000000,47.397714727141484,8.545571789752602,488.0103,488.06967,-0.0,1.10114,1.1007859,nan,2,0,0,0
68000000,68000000,47.39771574808705,8.545572140935114,487.61914,487.70273,-0.0,1.11022,1.1023008,nan,2,0,0,0
69000000,69000000,47.397715665357076,8.545571616837341,487.58588,487.71933,-0.0,1.1011112,1.1003693,nan,2,0,0,0
70000000,70000000,47.39771567218169,8.545570581810923,487.70142,487.86566,-0.0,1.1102142,1.1018617,nan,2,0,0,0
71000000,71000000,47.397715839294364,8.545569497246694,487.87796,488.07632,-0.0,1.1011113,1.0999471,nan,2,0,0,0
72000000,72000000,47.39771617279724,8.54556803924245,488.11438,488.3242,-0.0,1.1101997,1.1014286,nan,2,0,0,0
73000000,73000000,47.39771656737191,8.545566492047104,488.36917,488.57776,-0.0,1.1011003,1.0995334,nan,2,0,0,0
74000000,74000000,47.397717224729234,8.5455648226132,488.6075,488.80447,-0.0,1.1101611,1.1026976,nan,2,0,0,0
75000000,75000000,47.397717822489824,8.545562920793152,488.83963,489.00626,-0.0,1.1010748,1.1007582,nan,2,0,0,0
76000000,76000000,47.39771820904084,8.545560781607625,489.00034,489.1408,-0.0,1.1100988,1.1022646,nan,2,0,0,0
77000000,77000000,47.39771334673944,8.545553941487938,488.2738,488.38052,-0.0,1.1010242,1.1003319,nan,2,0,0,0
77988000,77988000,47.3977119725419,8.545550586660775,487.69348,487.81168,-0.0,1.1094131,1.101466,nan,2,0,0,0
79000000,79000000,47.39771230946463,8.545549552719045,487.58298,487.74234,-0.0,1.1008972,1.0999088,nan,2,0,0,0
80000000,80000000,47.39771252035831,8.545548002668264,487.6327,487.8201,-0.0,1.1099329,1.1013888,nan,2,0,0,0
81000000,81000000,47.39771202085495,8.545547795610533,487.81503,488.024,-0.0,1.100874,1.0994904,nan,2,0,0,0
82000000,82000000,47.39771210190355,8.545547152440305,488.05716,488.253,-0.0,1.0957619,1.0989138,nan,2,0,0,0
82988000,82988000,47.397712285073936,8.54554706837582,488.20776,488.38034,-0.0,1.1060723,1.0984814,nan,2,0,0,0
84000000,84000000,47.397712530244625,8.54554709744762,488.41296,488.5325,-0.0,1.0992887,1.0961204,nan,2,0,0,0
