timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
196000,1310988,1310988,1310996,1311004,0,0.01684642,0.001743088,0.015261155,0.0,1310988,1310988,1310996,1311004,0,0.0002776376,0.0001021955,0.00024428236,0.0,1,1,1,0,1,1,1,0
400000,1310988,1310988,1310996,1311004,0,0.0015489466,0.00062753493,0.0013406491,0.0,1310988,1310988,1310996,1311004,0,0.00018870253,7.305366e-05,0.00011718506,0.0,1,1,1,0,1,1,1,0
596000,1310988,1310988,1310996,1311004,0,0.0022358138,0.0011648182,0.0010710458,0.0,1310988,1310988,1310996,1311004,0,8.591004e-05,4.2169606e-05,4.3821223e-05,0.0,1,1,1,0,1,1,1,0
796000,1310988,1310988,1310996,1311004,0,0.0016162243,0.0008756743,0.0015389716,0.0,1310988,1310988,1310996,1311004,0,9.543353e-05,4.9937786e-05,7.748422e-05,0.0,1,1,1,0,1,1,1,0
996000,1310988,1310988,1310996,1311004,0,0.00080224976,0.0005021173,0.00074737263,0.0,1310988,1310988,1310996,1311004,0,0.0001274599,0.00016982292,5.0991566e-05,0.0,1,1,1,0,1,1,1,0
1200000,1310988,1310988,1310996,1311004,0,0.0020407196,0.0021520206,0.002448843,0.0,1310988,1310988,1310996,1311004,0,0.000332997,0.00034167324,0.000437557,0.0,1,1,1,0,1,1,1,0
1400000,1310988,1310988,1310996,1311004,0,0.0019215837,0.0040789745,0.004008268,0.0,1310988,1310988,1310996,1311004,0,0.00033181245,0.00029526677,0.0003439629,0.0,1,1,1,0,1,1,1,0
1600000,1310988,1310988,1310996,1311004,0,0.0035729022,0.0022600505,0.0021642684,0.0,1310988,1310988,1310996,1311004,0,0.00029600962,0.00053503964,0.0002953088,0.0,1,1,1,0,1,1,1,0
1796000,1310988,1310988,1310996,1311004,0,0.0034048804,0.0050057005,0.004823131,0.0,1310988,1310988,1310996,1311004,0,0.00014644647,0.00035955873,0.00036058348,0.0,1,1,1,0,1,1,1,0
2000000,1310988,1310988,1310996,1311004,0,0.0018448906,0.0010921544,0.0023880976,0.0,1310988,1310988,1310996,1311004,0,0.00014580827,9.1744994e-05,0.00016700539,0.0,1,1,1,0,1,1,1,0
2200000,1310988,1310988,1310996,1311004,0,0.0031559183,0.0019119219,0.0023995917,0.0,1310988,1310988,1310996,1311004,0,0.0003402058,0.00018628611,0.000248064,0.0,1,1,1,0,1,1,1,0
2396000,1310988,1310988,1310996,1311004,0,0.0042863158,0.0021234117,0.004249533,0.0,1310988,1310988,1310996,1311004,0,0.0002510734,0.00045313334,0.0005521009,0.0,1,1,1,0,1,1,1,0
2600000,1310988,1310988,1310996,1311004,0,0.0033950584,0.0008420208,0.0029317527,0.0,1310988,1310988,1310996,1311004,0,0.0001894542,0.00027627504,0.000108831744,0.0,1,1,1,0,1,1,1,0
2796000,1310988,1310988,1310996,1311004,0,0.005277344,0.0022813242,0.00397897,0.0,1310988,1310988,1310996,1311004,0,0.00031925156,0.00036137234,7.932594e-05,0.0,1,1,1,0,1,1,1,0
2996000,1310988,1310988,1310996,1311004,0,0.0034138772,0.0007266877,0.0027480705,0.0,1310988,1310988,1310996,1311004,0,0.00039835795,0.00029268782,0.00013868985,0.0,1,1,1,0,1,1,1,0
3196000,1310988,1310988,1310996,1311004,0,0.003301039,0.0043345615,0.002646278,0.0,1310988,1310988,1310996,1311004,0,0.00038073145,0.0004563938,0.00018697776,0.0,1,1,1,0,1,1,1,0
3400000,1310988,1310988,1310996,1311004,0,0.005059011,0.002700786,0.0031271055,0.0,1310988,1310988,1310996,1311004,0,0.00043958775,0.0002914028,0.00020878376,0.0,1,1,1,0,1,1,1,0
3596000,1310988,1310988,1310996,1311004,0,0.0053879702,0.0023043065,0.0032829368,0.0,1310988,1310988,1310996,1311004,0,0.00020515067,9.7322474e-05,0.00011358025,0.0,1,1,1,0,1,1,1,0
3796000,1310988,1310988,1310996,1311004,0,0.0055427,0.0027209162,0.004228147,0.0,1310988,1310988,1310996,1311004,0,0.00046489167,0.00034765838,0.00038076422,0.0,1,1,1,0,1,1,1,0
3996000,1310988,1310988,1310996,1311004,0,0.0032059385,0.0018540894,0.0014006121,0.0,1310988,1310988,1310996,1311004,0,0.00041745,0.00029984894,0.0001618315,0.0,1,1,1,0,1,1,1,0
