timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
7020000,7020000,0.7016834,0.0023410816,0.0044370913,0.71247125,0.7018575,-1.9223012e-09,-1.1084194e-09,0.7123174,1
7024000,7024000,0.70167476,0.0023556408,0.004444572,0.71247965,0.7018575,-1.9223012e-09,-1.1084194e-09,0.7123174,1
7524000,7524000,0.70767605,0.0029848013,0.0050699073,0.7065126,0.9999493,1.4331092e-10,8.053381e-10,-0.01007204,2
8024000,8024000,0.7070305,0.0020612436,0.0042418013,0.7071673,0.9999493,1.4331092e-10,8.053381e-10,-0.01007204,2
8524000,8524000,0.70636666,0.00057255384,0.0020191958,0.70784307,0.9999493,1.4331092e-10,8.053381e-10,-0.01007204,2
9024000,9024000,0.70605475,0.000999803,0.0019422495,0.7081539,0.9999493,1.4331092e-10,8.053381e-10,-0.01007204,2
9524000,9524000,0.70579475,0.0034362925,0.0042644115,0.70839524,0.9999493,1.4331092e-10,8.053381e-10,-0.01007204,2
10020000,10020000,0.70561576,0.005178731,0.0062968265,0.70854783,0.9999493,1.4331092e-10,8.053381e-10,-0.01007204,2
10524000,10524000,0.7054307,0.006722673,0.007431394,0.7087081,0.9999493,1.4331092e-10,8.053381e-10,-0.01007204,2
11020000,11020000,0.70501727,0.0077568046,0.008201896,0.70910037,0.9999493,1.4331092e-10,8.053381e-10,-0.01007204,2
11520000,11520000,0.70489264,0.007542524,0.0081162555,0.70922756,0.9999493,1.4331092e-10,8.053381e-10,-0.01007204,2
12024000,12024000,0.70472246,0.007348902,0.00780652,0.70940214,0.9999493,1.4331092e-10,8.053381e-10,-0.01007204,2
12520000,12520000,0.70442003,0.00784463,0.0077588195,0.70969766,0.9999493,1.4331092e-10,8.053381e-10,-0.01007204,2
13024000,13024000,0.7043372,0.008928288,0.0081461985,0.70976275,0.9999493,1.4331092e-10,8.053381e-10,-0.01007204,2
