timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
4840000,4840000,0.7091351,0.0070844404,0.009600227,0.70497173,0.7089097,-1.1861262e-09,8.615041e-12,0.7052992,1
4844000,4844000,0.7091245,0.0070370897,0.0095761595,0.7049832,0.7089097,-1.1861262e-09,8.615041e-12,0.7052992,1
4892000,4892000,0.7097266,0.006637592,0.009259593,0.7043852,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
4940000,4940000,0.70974976,0.0062966044,0.008956446,0.7043688,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
4992000,4992000,0.70972306,0.0060119205,0.008667737,0.7044019,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5040000,5040000,0.70958227,0.005814578,0.008567722,0.7045466,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5092000,5092000,0.70923775,0.005636185,0.008384108,0.70489705,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5140000,5140000,0.70889604,0.0055744713,0.008365232,0.7052414,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5192000,5192000,0.70861846,0.0054920693,0.008330621,0.7055214,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5240000,5240000,0.70844007,0.005565358,0.008318944,0.70570004,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5292000,5292000,0.7083191,0.005530123,0.008254462,0.70582247,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5340000,5340000,0.70825124,0.005503474,0.008197742,0.70589143,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5392000,5392000,0.7082238,0.0054817996,0.008070148,0.70592064,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5440000,5440000,0.7082254,0.0054487563,0.008008249,0.7059199,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5492000,5492000,0.70830745,0.0054268367,0.007803193,0.70584005,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5544000,5544000,0.7082882,0.0053715054,0.0076426943,0.7058616,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5592000,5592000,0.7082809,0.0052291644,0.0075215376,0.70587134,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5640000,5640000,0.7082555,0.005146508,0.0073091476,0.7058996,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5696000,5696000,0.70823556,0.0051249466,0.0071908417,0.705921,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5740000,5740000,0.708241,0.0051182914,0.007156256,0.70591605,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5796000,5796000,0.7081963,0.0051288093,0.007180593,0.7059605,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5844000,5844000,0.7081952,0.0050900653,0.007243738,0.7059613,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5896000,5896000,0.70819664,0.0050972644,0.0072833896,0.7059593,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5944000,5944000,0.7081676,0.0050974414,0.007287382,0.7059884,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
5992000,5992000,0.7081584,0.005070428,0.007317951,0.7059975,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6044000,6044000,0.70813066,0.005090887,0.0074267364,0.70602405,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6096000,6096000,0.7080572,0.0050513814,0.0075322916,0.7060969,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6144000,6144000,0.7080272,0.0050620483,0.0075713694,0.70612645,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6192000,6192000,0.70797765,0.0050433907,0.0075673796,0.70617634,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6240000,6240000,0.7079703,0.005034377,0.0075326036,0.70618415,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6292000,6292000,0.7079573,0.0050715604,0.007547963,0.70619667,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6340000,6340000,0.7079911,0.0051037865,0.007513509,0.706163,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6392000,6392000,0.7080302,0.0050681303,0.0074899406,0.7061243,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6440000,6440000,0.70807236,0.005069806,0.007487818,0.70608205,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6492000,6492000,0.7081281,0.005079777,0.007477494,0.7060262,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6544000,6544000,0.7081628,0.0051171253,0.007428866,0.70599157,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6596000,6596000,0.70814425,0.005133645,0.007371135,0.7060107,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6640000,6640000,0.7081408,0.005163958,0.007371659,0.706014,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6692000,6692000,0.7080817,0.005182241,0.0073757833,0.70607305,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6740000,6740000,0.70808935,0.0052317022,0.007417015,0.7060645,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6792000,6792000,0.70806247,0.005320953,0.0074707093,0.7060903,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6840000,6840000,0.7080507,0.0052182213,0.0074271,0.7061033,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6892000,6892000,0.7079796,0.0050876806,0.0072453464,0.7061774,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6940000,6940000,0.7079682,0.0049647563,0.007080828,0.7061914,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
6992000,6992000,0.7080095,0.004882288,0.0069774566,0.70615166,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
7040000,7040000,0.70803183,0.0047717304,0.006860723,0.7061311,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
7096000,7096000,0.7080292,0.004810085,0.006880412,0.7061333,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
7140000,7140000,0.7080459,0.0047996575,0.006936007,0.7061161,0.9999997,4.4198079e-10,-3.5650338e-10,-0.00083039154,2
