timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
696000,696000,0,nan,nan,3.898788e-05,1.6652136e-06,5.3123733e-07,0.0,0.0,0.0,0.007654071,0.00021484958,0.00027017118,0.00026882504,0.014111252,0.0007362689,0.0,-1.5340655,-0.12810278,0.070967644,1.5691024,1.5691214,nan,0.1,0.70622146,3.5000029,7.071068,0.45001987,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
996000,996000,0,nan,nan,-0.0038346674,-0.00082174,-0.0009262651,0.0,0.0,0.0,-0.024591863,0.002631306,0.019286864,0.01280912,0.014111252,0.0007362689,0.0,0.49539483,-0.36423734,0.53266615,1.5690928,1.5691214,nan,0.1,0.8984876,1.5665958,4.530837,0.45324126,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1500000,1500000,1200000,47.3977419,8.5455939,-0.009865626,-0.0106366705,0.020080918,0.0,0.0,0.0,-0.014273988,-0.045734253,0.03708485,0.043302815,0.014111252,0.0007362689,0.0,0.40761718,-0.27284172,-0.20392802,1.5692344,1.5691214,488.04077,0.1,0.8866337,0.9500968,1.9204513,0.47089538,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2000000,2000000,1200000,47.3977419,8.5455939,-0.018435568,-0.02190507,0.04502325,0.0,0.0,0.0,-0.07927392,-0.047359154,0.075992115,0.0742622,0.014111252,0.0007362689,0.0,0.21909131,0.15123785,0.29970047,1.569225,1.5691214,488.04077,0.1,0.5657479,0.8019189,1.2521982,0.5013359,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2500000,2500000,1200000,47.3977419,8.5455939,-0.040483672,-0.015852714,0.06279839,0.0,0.0,0.0,-0.11187196,-0.0055626044,0.052480932,0.03699155,0.014111252,0.0007362689,0.0,0.1612353,-0.09956591,-0.42447543,1.5688765,1.5691214,488.04077,0.1,0.6655397,0.7629989,1.5712005,0.53310865,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3000000,3000000,1200000,47.3977419,8.5455939,-0.049594335,0.0037092231,0.08695315,0.0,0.0,0.0,-0.09627024,0.0287883,0.088584535,0.066551924,0.014111252,0.0007362689,0.0,0.62289184,0.49719003,-0.3251406,1.5684106,1.5691214,488.04077,0.1,0.5366267,0.7955886,1.2888727,0.56228656,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3500000,3500000,1200000,47.3977419,8.5455939,-0.021640807,0.015805617,0.10087985,0.0,0.0,0.0,-0.031748787,0.012783802,0.1075819,0.07317612,0.014111252,0.0007362689,0.0,-0.5034173,0.013737601,-0.37242755,1.5683357,1.5691214,488.04077,0.1,0.61118156,0.8280597,1.2777127,0.5728147,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4000000,4000000,1200000,47.3977419,8.5455939,0.021853982,0.0042551644,0.115152285,0.0,0.0,0.0,0.08283386,0.022839483,0.09692973,0.04487647,0.014111252,0.0007362689,0.0,-0.45707506,0.31761026,0.30238825,1.5683382,1.5691214,488.04077,0.1,0.6748784,0.85728586,1.2601942,0.568317,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4500000,4500000,1200000,47.3977419,8.5455939,0.065021254,0.012466624,0.108858034,0.0,0.0,0.0,0.17600986,0.022780433,0.077421285,0.010264109,0.014111252,0.0007362689,0.0,0.7460225,-0.07957314,0.104076155,1.5685592,1.5691214,488.04077,0.1,0.52686554,0.87388813,0.9886411,0.5524189,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
5000000,5000000,1200000,47.3977419,8.5455939,0.082670346,-0.00245681,0.10991644,0.0,0.0,0.0,0.10803168,-0.05428286,0.13612844,0.06014977,0.014111252,0.0007362689,0.0,-0.15574993,-0.014303786,-0.21487945,1.5681343,1.5691214,488.04077,0.1,0.5811871,0.8788434,0.9931203,0.5307256,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
5500000,5500000,1200000,47.3977419,8.5455939,0.055447303,-0.01907769,0.116727896,0.0,0.0,0.0,0.072431564,-0.026376443,0.09768008,0.015000051,0.014111252,0.0007362689,0.0,0.68337154,-0.11240757,-0.06352185,1.5679603,1.5691214,488.04077,0.1,0.6336702,0.8752466,0.9934911,0.50694543,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
6000000,6000000,1200000,47.3977419,8.5455939,0.011368338,-0.009162521,0.10457533,0.0,0.0,0.0,-0.019908646,0.025249543,0.056881383,-0.032247007,0.014111252,0.0007362689,0.0,0.60664207,0.030934175,0.26962247,1.5677408,1.5691214,488.04077,0.1,0.5125219,0.86637276,0.79284835,0.48316774,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6500000,6500000,1200000,47.3977419,8.5455939,-0.020468969,0.02420634,0.073049456,0.0,0.0,0.0,-0.027917758,0.08180805,0.0011593113,-0.082345255,0.014111252,0.0007362689,0.0,0.2968596,-0.047672935,-0.2246397,1.5678647,1.5691214,488.04077,0.1,0.5532705,0.85513234,0.77961636,0.4605508,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
7000000,7000000,1200000,47.3977419,8.5455939,-0.0092711635,0.053727444,0.028595565,0.0,0.0,0.0,0.05644247,0.12164957,-0.03224437,-0.11006796,0.014111252,0.0007362689,0.0,0.37770098,0.7400592,-1.1008261,1.5738636,0.0057517886,488.04077,0.103012875,0.45689997,0.842354,0.62626004,0.438928,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
7500000,7500000,1200000,47.3977419,8.5455939,0.011061636,0.0127434265,0.0043303436,-0.0069128983,-0.024027184,0.0,0.05753212,-0.02042932,0.05332428,-0.012109367,-0.04036218,-0.07488963,0.024480954,-0.5588187,0.03500899,-0.009274173,1.5782539,0.0057517886,488.04077,0.106306605,1.0035262,0.74626726,0.30595195,0.22128868,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
8000000,8000000,1200000,47.3977419,8.5455939,0.0048157494,0.006450027,-0.0009422895,-0.0069128983,-0.024027184,0.0,-0.0012198015,0.037234586,-0.013167269,-0.06374875,-0.04036218,-0.07488963,0.024480954,-0.49632493,0.22165596,0.19176205,1.5802277,0.0057517886,488.04077,0.11279096,0.71482486,0.65115947,0.2822519,0.18898483,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
8500000,8500000,1200000,47.3977419,8.5455939,0.006260144,0.015643656,-0.007815571,-0.0069128983,-0.024027184,0.0,0.03885332,0.0150806755,0.006952008,-0.02293344,-0.04036218,-0.07488963,0.024480954,-0.29411486,-0.04781007,-0.33392015,1.5816667,0.0057517886,488.04077,0.11527905,0.6539216,0.59875095,0.31842232,0.18640676,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
9000000,9000000,1200000,47.3977419,8.5455939,0.0047417134,-0.0069890395,0.0061575924,-0.0069128983,-0.024027184,0.0,-0.025064902,-0.05036484,0.05702471,0.03686059,-0.04036218,-0.07488963,0.024480954,-0.2681699,0.057766978,-0.055895247,1.5805086,0.0057517886,488.04077,0.101489805,0.61881447,0.5677901,0.3362354,0.187983,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
9500000,9500000,1200000,47.3977419,8.5455939,-0.009270129,-0.024977764,0.031981792,-0.0069128983,-0.024027184,0.0,-0.040083244,-0.074288785,0.08828581,0.058969915,-0.04036218,-0.07488963,0.024480954,0.34634578,0.4719616,0.90343773,1.5795016,0.0057517886,488.04077,0.1,0.60058147,0.5493964,0.34733808,0.19184975,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
10000000,10000000,1200000,47.3977419,8.5455939,0.0077050226,-0.0027350476,0.028387742,-0.0069128983,-0.024027184,0.0,-0.0057189604,-0.013332863,0.056893114,0.014446645,-0.04036218,-0.07488963,0.024480954,-0.5077191,-0.034578707,-0.22598733,1.5796884,0.0057517886,488.04077,0.1,0.5259772,0.5206564,0.27235276,0.18013726,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
10500000,10500000,1200000,47.3977419,8.5455939,0.019880302,0.0114204455,0.021785226,-0.0069128983,-0.024027184,0.0,0.053750437,0.025509309,0.034255486,-0.012312209,-0.04036218,-0.07488963,0.024480954,0.4363502,-0.06608851,-0.22160825,1.5804453,0.0057517886,488.04077,0.1,0.5228131,0.51394665,0.28753087,0.18460166,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11000000,11000000,1200000,47.3977419,8.5455939,0.029816074,0.018482536,0.01229746,-0.0069128983,-0.024027184,0.0,0.10221498,0.006347527,0.038549524,-0.0072499574,-0.04036218,-0.07488963,0.024480954,-0.5465316,0.10759959,0.17215584,1.5819433,0.0057517886,488.04077,0.1,0.5250312,0.5162895,0.30561045,0.18932962,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11500000,11500000,1200000,47.3977419,8.5455939,0.049317382,0.0038666953,0.017149905,-0.0069128983,-0.024027184,0.0,0.12926853,-0.03235877,0.04562326,0.0041050115,-0.04036218,-0.07488963,0.024480954,0.46207908,0.5347501,-1.0577227,1.5821311,0.0057517886,488.04077,0.101490416,0.5316847,0.51539534,0.32488456,0.19232754,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12000000,12000000,1200000,47.3977419,8.5455939,0.02940863,0.019939044,-0.0026933828,-0.0069128983,-0.024027184,0.0,0.03554403,0.0354188,-0.027465768,-0.06824059,-0.04036218,-0.07488963,0.024480954,0.68111897,-0.07133737,-0.049626514,1.5827676,0.0057517886,488.04077,0.11216285,0.4826504,0.4965273,0.2656743,0.17835595,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12500000,12500000,1200000,47.3977419,8.5455939,0.014687619,0.015572191,0.0019818412,-0.0069128983,-0.024027184,0.0,0.009603923,0.007173133,0.020742537,-0.00016226937,-0.04036218,-0.07488963,0.024480954,-0.30341402,0.033804487,-0.31340685,1.583828,0.0057517886,488.04077,0.11054356,0.49015108,0.4977715,0.28034016,0.17983936,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13000000,13000000,1200000,47.3977419,8.5455939,-0.009926088,0.001774384,0.020087766,-0.0069128983,-0.024027184,0.0,-0.054712668,-0.015085387,0.070847064,0.049346887,-0.04036218,-0.07488963,0.024480954,-0.4088432,0.17618683,0.15584186,1.5835304,0.0057517886,488.04077,0.1,0.5001422,0.49971026,0.2943858,0.1805209,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13500000,13500000,1200000,47.3977419,8.5455939,-0.0041609704,0.012600788,0.014377109,-0.0069128983,-0.024027184,0.0,0.0017236315,0.027654856,0.04185246,0.007123357,-0.04036218,-0.07488963,0.024480954,-0.524125,0.25131115,0.19968852,1.5845053,0.0057517886,488.04077,0.1,0.5124919,0.5020413,0.30756152,0.18048678,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14000000,14000000,1200000,47.3977419,8.5455939,0.0051424033,0.021887157,0.011278827,-0.0069128983,-0.024027184,0.0,-0.009134569,0.0011637046,0.068426,0.03178101,-0.04036218,-0.07488963,0.024480954,-0.55218214,0.20241584,-0.16735126,1.5857546,0.0057517886,488.04077,0.1,0.47014037,0.4870801,0.251447,0.16698982,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14500000,14500000,1200000,47.3977419,8.5455939,-0.01847639,0.016874848,0.011531948,-0.0069128983,-0.024027184,0.0,-0.060228154,0.049484488,0.045187175,0.0014880965,-0.04036218,-0.07488963,0.024480954,-0.4660543,0.28716686,0.63158005,1.585409,0.0057517886,488.04077,0.1,0.48065352,0.48958802,0.2612267,0.1665491,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
15000000,15000000,1200000,47.3977419,8.5455939,0.00041746593,0.037150282,-0.0066386354,-0.0069128983,-0.024027184,0.0,-0.015744824,0.09209828,0.017738363,-0.030292675,-0.04036218,-0.07488963,0.024480954,0.24068448,0.7637051,-1.0634177,1.5856203,0.0057517886,488.04077,0.1,0.45191658,0.47821417,0.23148815,0.15625036,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
